"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","Nutrient Management","Turmeric Micronutrient application","Recommended for spray Ferrous sulphate 150 gm  + Borax  150 gm + Zinc sulphate 150 gm  + Urea 150 gm  / 100 litter of water","TAMILNADU","DHARMAPURI","HARUR                                             ","2014-11-01 07:12:59.640"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","Recommended for spray chlorpyrifos 2ml / lit","TAMILNADU","DHARMAPURI","PENNAGARAM                                        ","2014-11-01 10:40:44.293"
"KHARIF","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","onion","recommended to contact horticulture department.","TAMILNADU","DHARMAPURI","PALAKKODU                                         ","2014-11-01 14:41:08.807"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Nutrient Management","coconut fertilizer maangement","Recommended for apply urea 1.300kg + super phosphate 2kg + potash 2 kg + neem cake 5kg + farm yard manure 50kg + micro mixture 1kg /tree/year","TAMILNADU","DHARMAPURI","PALAKKODU                                         ","2014-11-01 15:00:30.717"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton boll worm","recommended for spray Chlorantraniliprole 20 SC 80 ml/acre","TAMILNADU","DHARMAPURI","HARUR                                             ","2014-11-01 15:30:47.167"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Leaf hopper  in cotton","Recommended for spray imidacloprid 2ml + neem oil 3ml + teepol 1ml/lit of water","TAMILNADU","DHARMAPURI","DHARMAPURI                                        ","2014-11-01 15:43:51.003"
"KHARIF","HORTICULTURE","Flowers","Tuberose","	Plant Protection	","mealybug in tuberose.","recommended for spray imidachloprid 2 ml+ sticking agent./ lit.","TAMILNADU","DHARMAPURI","KARIMANGALAM                                      ","2014-11-01 15:54:36.603"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","varieties for paddy","Recommended for varieties for paddy ADT 36, ADT 39, ASD 16, ASD 18, MDU 5, CO 47,CORH 3, ADT 43, ADT (R) 45","TAMILNADU","DHARMAPURI","NALLAMPALLI                                       ","2014-11-01 16:32:33.043"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","stem weevil in cotton","recommended for Drenching collar region with chlorpyriphos 20 EC @ 2.5ml/","TAMILNADU","DHARMAPURI","KARIMANGALAM                                      ","2014-11-01 16:35:39.427"
"RABI","AGRICULTURE","Others","Others","Weather","Weather report & Rainfall forcasting detail","recommended for today is a  rainy day","TAMILNADU","DHARMAPURI","DHARMAPURI                                        ","2014-11-01 16:48:13.937"
"KHARIF","HORTICULTURE","Vegetables","Cluster Bean","Cultural Practices","Cluster beans sowing season","Recommended for cluster beans sowing season: June- July and October -November","TAMILNADU","DHARMAPURI","HARUR                                             ","2014-11-01 17:31:45.980"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy top dressing","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 10 kg/ ac","TAMILNADU","DHARMAPURI","DHARMAPURI                                        ","2014-11-01 17:33:30.857"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","Fertilizer management for cotton","Recommended for apply Urea 48 kg + potash 20 kg + micro food 5 kg/ac","TAMILNADU","DHARMAPURI","KARIMANGALAM                                      ","2014-11-01 17:42:56.817"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","Fertilizer management for cotton","Recommedned for apply Urea 48 kg + potash 20 kg + micro food 5 kg/ac","TAMILNADU","DHARMAPURI","KARIMANGALAM                                      ","2014-11-01 18:20:19.723"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","Tobacco caterpillar in blackgram","Recommended for spray quinalphos 2ml / lit.","TAMILNADU","DHARMAPURI","NALLAMPALLI                                       ","2014-11-01 19:30:41.580"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","banana fruit size increases","Recommended for spray potassium sulphate 10 - 15gm / lit","TAMILNADU","DHARMAPURI","PALAKKODU                                         ","2014-11-01 20:05:34.770"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","Turmeric leaf spot","recommended for Spray carbandazim 2 gm /lit","TAMILNADU","DHARMAPURI","HARUR                                             ","2014-11-01 20:59:58.537"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","leaf folder in paddy","Recommended for spray chlorpyrifos 2ml / lit","TAMILNADU","DHARMAPURI","HARUR                                             ","2014-11-02 07:07:39.120"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","Turmeric leaf spot","recommended for Spray carbandazim 2 gm /lit","TAMILNADU","DHARMAPURI","HARUR                                             ","2014-11-02 07:28:56.407"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","leafspot in turmeric","recommended for spray coc 2.5 g/ lit.","TAMILNADU","DHARMAPURI","HARUR                                             ","2014-11-02 07:32:44.723"
"KHARIF","HORTICULTURE","Flowers","China Astor","Market Information","ater market rate","recommended as Rs 30-40/ bundle.","TAMILNADU","DHARMAPURI","PALAKKODU                                         ","2014-11-02 08:45:21.183"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","thrips in cotton","recommended for spiromecifen 2ml+neemoil 3ml+teepol 1ml/lit of water","TAMILNADU","DHARMAPURI","DHARMAPURI                                        ","2014-11-02 09:47:51.840"
"KHARIF","AGRICULTURE","Cereals","Triticale","Nutrient Management","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","DHARMAPURI","HARUR                                             ","2014-11-02 10:23:52.917"
"KHARIF","AGRICULTURE","Others","Others","Weather","rainfall for dharmapuri dist","Recommended for today no rainfall","TAMILNADU","DHARMAPURI","NALLAMPALLI                                       ","2014-11-02 13:12:33.770"
