"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Apple","Field Preparation","apple seedlings availability","recommended for contact to Horticultural Research Station, Rose Garden,Vijayanagaram Farms,Ooty -Phone: 0423-2442170","TAMILNADU","KANNIYA KUMARI","AGASTISWARAM                                      ","2014-11-01 07:11:48.110"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","Sowing season of brinjal","Recommedned for brinjal Sowing season: December – January and May – June.","TAMILNADU","KANNIYA KUMARI","THIRUVATTAR                                       ","2014-11-01 17:40:25.083"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Spices and Condiment Crops","suitable season for brinjal","recommended season is december-january","TAMILNADU","KANNIYA KUMARI","AGASTISWARAM                                      ","2014-11-02 20:08:52.213"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy top fertilizer management","recommended for apply urea 25 kilo + potash 15 kilo + neem cake 5 kilo / acre","TAMILNADU","KANNIYA KUMARI","AGASTISWARAM                                      ","2014-11-03 10:27:40.360"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Nutrient Management","coconut fertilizer management","Recommended for apply urea 1.300kg + super phosphate 2kg + pottash 2 kg + neem cake 5kg + farm yard manure 50kg + micro mixture 1kg /tree/year","TAMILNADU","KANNIYA KUMARI","THOVALA                                           ","2014-11-03 17:37:34.723"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","Rhizome weevil in banana","recommended for the spray Stem injection with monocrotophos","TAMILNADU","KANNIYA KUMARI","MUNCHIRA                                          ","2014-11-03 21:15:39.597"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Nutrient Management","coconut fertilizer","recommended for apply urea 300 g + super phosphate 500 g+ potash 500 g + FYm 50 kg/ tree","TAMILNADU","KANNIYA KUMARI","MUNCHIRA                                          ","2014-11-05 08:52:40.867"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","about fertilizer and seeds supcidy details","recommended for contact to ADA office","TAMILNADU","KANNIYA KUMARI","RAJAKKAMANGALAM                                   ","2014-11-06 11:12:37.287"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","Sigatoka leaf spot in banana","Recommended for spray carbendazim 2gm / lit","TAMILNADU","KANNIYA KUMARI","THIRUVATTAR                                       ","2014-11-06 16:00:24.487"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","root grub in brinjal","recommended for drench with chlorphyriphos 2ml/liter water","TAMILNADU","KANNIYA KUMARI","THIRUVATTAR                                       ","2014-11-07 19:05:02.930"
