"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","leaf spot in brinjal","recommended for spray zineb 2g/lit of water","TAMILNADU","KARUR","KADAVUR                                           ","2014-11-01 06:39:09.343"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Nutrient Management","groundnut fertilizer management","Recommended for spray TNAU Groundnut rich 2.20kg / ac","TAMILNADU","KARUR","THANTHONI                                         ","2014-11-01 08:56:48.807"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-11-01 09:52:38.883"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","banana fruit size increases","Recommended for spray potassium sulphate 10 - 15gm / lit","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-01 10:29:26.617"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","	Plant Protection	","whitefly in tapioca","Recommended for spray Phosphamidon 2.5ml / lit.","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-01 14:37:32.470"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","Recommended for spray chlorpyrifos 2ml / lit","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-01 15:05:15.373"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","brinjal foliar application","recommended for Spray borax 5 gm/ litre","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-11-01 17:43:54.687"
"KHARIF","HORTICULTURE","Vegetables","Snake Gourd","Fertilizer Use and Availability","snake gourd top dressing fertilizer management","Recommended for apply urea 10gm / pit","TAMILNADU","KARUR","KADAVUR                                           ","2014-11-01 21:43:03.933"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","paddy spacing","recommended for 20 cm * 15 cm.","TAMILNADU","KARUR","THANTHONI                                         ","2014-11-02 07:56:44.430"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","Nutrient Management","moringa fertilizer management","Recommended for apply urea 45gm / plant","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-11-02 09:22:11.093"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Seeds and Planting Material","bhendi seed rate","recommended for 1 kg/ acre.","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-02 09:52:44.400"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","recommended for spray chloripyiphos 2ml/ acre.","TAMILNADU","KARUR","K.PARAMATHY                                       ","2014-11-02 10:59:06.780"
"KHARIF","HORTICULTURE","Vegetables","Curry Leaf","	Plant Protection	","melay bug in curry leaf","Recommended for Spray Imidachloprid 2 ml / lit","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-02 11:06:03.297"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","brinjal shoot borer","Recommedned for Spray quinalphos 2 ml + neem oil 3 ml /liter of water","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-02 14:16:59.140"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","Nut Weevil in mango","Recommended for spray Fenthion 2ml/lit","TAMILNADU","KARUR","THANTHONI                                         ","2014-11-02 15:50:32.783"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","market rate for sesamum","recommended market rate for sesamum rs:11300-13000/quintal","TAMILNADU","KARUR","THOGAIMALAI                                       ","2014-11-02 16:28:50.523"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy fertilizer management","Recommended for apply micro mixture 5kg / ac","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-02 18:51:29.860"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","Field Preparation","Annual moringa (Moringa oleifera L.)Varieties and Preparatory cultivation","PKM 1, PKM 2 and KKM 1 and Dig pits of size 45 cm x 45 cm x 45 cm with a spacing of 2.0 - 2.5 m either way. Apply 15 kg of compost or FYM/pit after mixing with top soil.","TAMILNADU","KARUR","KARUR                                             ","2014-11-03 06:38:57.637"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy skipper","Drain the water and spray chlorpyriphos 20 EC 2 ml / 1 litre of water","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-11-03 08:40:41.270"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy gall midge","recommended for spray Chlorpyriphos 20% EC 2 ml / 1 litre of water","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-03 09:10:59.483"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Foliar nutrition for paddy","recommended for spray urea 10gm +DAP 20gm + potassium chloride 10 gm /lit of water","TAMILNADU","KARUR","K.PARAMATHY                                       ","2014-11-03 13:41:31.460"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","top dressing fertilizer management for  maize","Recommended for apply urea 60 kg + potash 20 kg + Micro food 5 kg/ac","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-11-03 15:17:39.073"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Nutrient Management","maize foliar spray","recommended for spray  zn so4 5 g + fe so4 5 g/ lit.","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-11-03 15:21:28.273"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","Market Information","drumstick market information","recommended for drumstick market information Rs 35/kg","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-11-03 15:49:29.487"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","seeds availability for paddy","Recommended contact to block level agriculture office","TAMILNADU","KARUR","THANTHONI                                         ","2014-11-03 16:19:10.720"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Field Preparation","coconut seedlings availability","recommended for contact to  coconut nursery 0422 - 2432484","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-04 06:39:16.230"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Paddy stem borer","Recommended for spray quinalphos 2ml/litre of water","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-04 06:41:35.420"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","khaira disease in paddy","recommended for spray zinch sulphate 500gm/acre","TAMILNADU","KARUR","K.PARAMATHY                                       ","2014-11-04 09:44:27.423"
"KHARIF","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","Seeds","agri department contact no.","recommended  0430-231299 number","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-11-04 14:17:38.007"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","Recommended for spray Profenofos 2ml / lit.","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-04 18:37:21.180"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","KARUR","ARAVAKURICHI                                      ","2014-11-04 20:11:48.190"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-04 20:39:51.250"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","banana fertilizer management","Recommended for apply 150 gm urea + 200 gm super phosphate + 200 gm potash /plant","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-04 20:47:37.437"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","banana fertilizer management","Recommended for apply 150 gm urea + 200 gm super phosphate + 200 gm potash /plant","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-04 20:55:29.320"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Cultural Practices","black gram season","recommended for september- november.","TAMILNADU","KARUR","THOGAIMALAI                                       ","2014-11-05 06:20:40.897"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 5 kg/ ac","TAMILNADU","KARUR","K.PARAMATHY                                       ","2014-11-05 09:47:32.597"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","paddy top dreesing","recommended for apply urea 25 kg, potash 15 kg/ acre.","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-11-05 10:16:09.443"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Nutrient Management","foliar spray in chilli","recommended for spray micro food 5g/lit of water","TAMILNADU","KARUR","KADAVUR                                           ","2014-11-05 14:59:48.900"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Ash weevils in brinjal","recommended for teh spray  carbaryl 2gm/lit of water","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-11-05 17:16:25.273"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","Recommended for Top dressing fertilizer management for paddy apply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 5 kg/ ac","TAMILNADU","KARUR","KULITTALAI                                        ","2014-11-05 17:29:44.520"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","Root rot in banana","Recommended for apply Trichoderma viride 1kg + FYM 20kg / ac (or) Pseudomonas fluorescens 1kg + FYM 20kg / ac","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-11-05 19:04:01.520"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton sucking pest","recommended for spray Dimethoate 2 ml / 1 litre of water","TAMILNADU","KARUR","THANTHONI                                         ","2014-11-06 07:14:30.263"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy leaf folder","recommended for spray Chlorpyriphos 20 EC 2 ml / 1 litre of water","TAMILNADU","KARUR","KRISHNARAYAPURAM                                  ","2014-11-06 10:06:15.247"
