"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Flowers","Rose","Nutrient Management","rose fertilizer management","Recommended for apply urea 30gm + potash 60gm + super phosphate 60gm / plant","TAMILNADU","KRISHNAGIRI","THALLY                                            ","2014-11-01 08:31:52.083"
"KHARIF","HORTICULTURE","Flowers","Jasmine","	Plant Protection	","bud worm in jasmine","Recommended for spray MALATHION 50EC 2ml+neem oil 3ml+teepol 1ml/lit of water","TAMILNADU","KRISHNAGIRI","KRISHNAGIRI                                       ","2014-11-01 16:03:03.510"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","Brinjal top dressing fertilizer","Recommended for apply urea 40 kg + potash 15 kg + Micro food 5 kg/ac","TAMILNADU","KRISHNAGIRI","UTTANGARAI                                        ","2014-11-01 16:06:16.003"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","spacing for rose","recommended for rose spacing 2.0 x 1.0 m","TAMILNADU","KRISHNAGIRI","HOSUR                                             ","2014-11-01 16:08:34.130"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","Bengalgram season","recommended for november.","TAMILNADU","KRISHNAGIRI","KAVERIPATTINAM                                    ","2014-11-01 16:11:10.923"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy basal fertilizer","Recommended for apply DAP 50 kg + zinc sulphate 10kg + neem cake 10 kg/ac","TAMILNADU","KRISHNAGIRI","BARGUR                                            ","2014-11-01 17:09:21.637"
"KHARIF","HORTICULTURE","Flowers","Rose","Nutrient Management","rose fertilizer management","Recommended for apply urea 30gm + potash 60gm + super phosphate 60gm / plant","TAMILNADU","KRISHNAGIRI","SHOOLAGIRI                                        ","2014-11-01 17:47:31.910"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","root rot in red gram","recommended for drench with copper oxchyloride 2 gm/lit of water","TAMILNADU","KRISHNAGIRI","BARGUR                                            ","2014-11-01 17:48:05.713"
"KHARIF","AGRICULTURE","Others","Others","Weather","asking about weather details","Recommended for today rainy day","TAMILNADU","KRISHNAGIRI","KAVERIPATTINAM                                    ","2014-11-01 18:06:51.223"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","banana fertilizer management","Recommended for apply 150 gm urea + 200 gm super phosphate + 200 gm potash /plant","TAMILNADU","KRISHNAGIRI","VEPPANAPALLI                                      ","2014-11-01 18:09:50.600"
