"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Lab Lab","	Plant Protection	","caterpillar in lab lab","recommended for spray chlorpyriphos 2ml / lit","TAMILNADU","MADURAI","SEDAPATTI                                         ","2014-11-01 10:17:32.913"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","query : paddy top fertilizer management","ans : recommended for apply urea 25 kilo + potash 15 kilo + neem cake 5 kilo / acre","TAMILNADU","MADURAI","KALLIKUDI                                         ","2014-11-01 13:53:50.897"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","varieties for paddy","Recommended for varieties for paddy ADT 36, ADT 37, ASD 16, ASD 18, MDU 5, CORH 3","TAMILNADU","MADURAI","TIRUPPARANGUNRAM                                  ","2014-11-01 15:12:08.203"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","Panama disease in banana","recommended for spray Corm injection of 3 ml of 2% Carbendezim injected in the corm by making a hole to a depth of 10cm with 45 0 angle on 5 th and 7 th month as mentioned earlier","TAMILNADU","MADURAI","SEDAPATTI                                         ","2014-11-01 15:15:43.860"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","contact to kvk dept","Recommendede for contact to kvk dept number 04182 – 247271","TAMILNADU","MADURAI","CHELLAMPATTI                                      ","2014-11-01 15:53:31.190"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Fruit Borer in tomato","recommended for spray Flubendiamide 5 g/10 lit of water","TAMILNADU","MADURAI","CHELLAMPATTI                                      ","2014-11-01 17:14:38.373"
"KHARIF","AGRICULTURE","Others","Others","Fertilizer Use and Availability","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","MADURAI","MADURAI EAST                                      ","2014-11-01 18:56:25.683"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","Field Preparation","spacing for drumstick","recommended for Dig pits of size 45 cm x 45 cm x 45 cm with a spacing of 2.0 - 2.5 m either","TAMILNADU","MADURAI","MADURAI EAST                                      ","2014-11-02 06:29:58.970"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","Sigatoka leaf spot in banana","Recommended for spray Carbendazim 2gm / lit","TAMILNADU","MADURAI","CHELLAMPATTI                                      ","2014-11-02 07:00:34.573"
"KHARIF","HORTICULTURE","Vegetables","Pumpkin","Nutrient Management","pumpkin foliar spray","recommended for spray pottasiyam naitret 5 g/ lit.","TAMILNADU","MADURAI","CHELLAMPATTI                                      ","2014-11-02 07:06:38.090"
