"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Condiments and Spices","Cardamom","Field Preparation","pepper and coconut seedling material availability","recommended for contact to Department of Spices Phone:0422-6611284 Coconut Research Station Phone: 04373-260205","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-11-01 06:57:37.320"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","leaf hopper  in cotton","Recommended for spray imidacloprid 2ml + neem oil 3ml + teepol 1ml/lit of water","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-11-01 13:17:45.250"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","mealy bug in cotton","Recommended for spray imidacloprid 2ml+neem oil 3ml+teepol 1ml/lit of water","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-11-01 15:00:07.793"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","Seeds and Planting Material","coriander seed availabilty detais","Recommended contact to block level Horticulture office contact no: 04328-291099","TAMILNADU","PERAMBALUR","VEPPUR                                            ","2014-11-01 15:15:14.267"
"KHARIF","HORTICULTURE","Condiments and Spices","Coriander","Seeds and Planting Material","corinander seeds","recommended 04143-238353 number.to contact kvk.","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-11-01 17:16:53.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy basal fertilizer","Recommended for apply DAP 50 kg + zinc sulphate 10kg + neem cake 10 kg/ac","TAMILNADU","PERAMBALUR","VEPPUR                                            ","2014-11-01 17:27:38.717"
"KHARIF","HORTICULTURE","Flowers","Jasmine","	Plant Protection	","fertilizer recommended in jathi malli","recommended for spray 60;120;120; kg of NPK /HECTER","TAMILNADU","PERAMBALUR","ALATHUR                                           ","2014-11-01 17:59:46.103"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton leaf hopper","recommended for spray spiromesifen 1 ml + neem oil 3 ml + teepol 1 ml / 1 litre of water","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-11-01 18:22:01.357"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","whitefly in cotton","recommended for spray imidachloprid 1 ml/ lit.","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-11-01 18:51:57.963"
"KHARIF","HORTICULTURE","Flowers","Tuberose","Market Information","Tuberose market rate","Recommended for tuberose market rate: Rs.400/kg","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-11-01 19:09:43.473"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Cotton flower dropping","Recommedned for Spray cotton plus 2.5kg + mix apsha 80 100ml/ac","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-11-01 19:16:16.620"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","khaira disease in paddy","recommended for spray zinch sulphate 500gm/acre","TAMILNADU","PERAMBALUR","ALATHUR                                           ","2014-11-01 19:38:53.127"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","american bollaworm in cotton","recommended for spray thiodicarb 2 g/ lit.","TAMILNADU","PERAMBALUR","ALATHUR                                           ","2014-11-01 20:28:01.177"
"KHARIF","HORTICULTURE","Vegetables","Onion","Market Information","onion market rate","recommended as Rs 13-42/ kg.","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-11-01 20:54:36.530"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","leaf curl in cotton","Recommendd for spray methyldemeton 2ml / lit.","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-11-01 21:49:23.897"
"KHARIF","HORTICULTURE","Vegetables","Radish","Fertilizer Use and Availability","radish top dressing fertilizer management","Recommended for apply urea 20kg / acre","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-11-02 11:23:47.657"
"KHARIF","HORTICULTURE","Vegetables","Radish","Nutrient Management","radish top dressing fertilizer management","Recommended for apply urea 20kg / acre","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-11-02 11:30:23.340"
"KHARIF","HORTICULTURE","Vegetables","Onion","Nutrient Management","basal fertilizer management for onion","Recommended for apply 25kg urea + superphosphate 145kg + potash 20kg/ac","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-11-02 11:35:11.057"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report in perambalur","recommended have rain","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-11-02 14:43:54.207"
"KHARIF","HORTICULTURE","Vegetables","Radish","	Plant Protection	","flea beetle in radish","recommended for spray dimethoate 2ml/lit","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-11-02 15:01:45.810"
"RABI","HORTICULTURE","Flowers","Tuberose","Market Information","tuberose market rate","recommended for tuberose market rate Rs 250/KG","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-11-02 15:13:22.513"
"KHARIF","HORTICULTURE","Fruits","Mango","Fertilizer Use and Availability","mango fertilizer management","Recommended for apply FYM 5kg / tree","TAMILNADU","PERAMBALUR","VEPPANTHATTAI                                     ","2014-11-02 18:04:04.543"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","cotton foliar application details","Recommended for spray TNAU cotton plus 2.5kg / 200 lit / ac","TAMILNADU","PERAMBALUR","VEPPUR                                            ","2014-11-03 06:48:15.967"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","paddy varieties and season","Navarai (Dec -Jan) and ADT (R) 49 ADT 36, ASD 16, ASD 18, MDU 5, CO 47, ADT 43, ADT 45, CORH 3","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-11-03 10:39:28.487"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","top dressing fertilizer management paddy","apply 25 kg urea + 15 kg potash + 5 kg neemcake/ac","TAMILNADU","PERAMBALUR","VEPPUR                                            ","2014-11-03 14:44:53.770"
"RABI","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","Root rot in onion","Recommended for soil drench with copper oxychloride 2gm / lit","TAMILNADU","PERAMBALUR","ALATHUR                                           ","2014-11-03 16:57:08.463"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","root rot in onion","recommended for spray Copper oxychloride 2gm/lit of water","TAMILNADU","PERAMBALUR","ALATHUR                                           ","2014-11-03 17:06:03.163"
"KHARIF","AGRICULTURE","Others","Others","Weather","asking about weather details","Recommended for Today No Rain Fall","TAMILNADU","PERAMBALUR","VEPPUR                                            ","2014-11-03 17:38:53.287"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-11-03 19:07:06.080"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-11-03 19:08:55.640"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","PERAMBALUR","PERAMBALUR                                        ","2014-11-03 19:10:46.417"
