"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Field Preparation	","groundnut SEASON AND VARIETIES","season - Karthigaipattam - Nov- Dec TMV 7, CO 3, COGn 4, VRI 2, VRI 3, ALR 3, VRIGn5, VRIGn 6, TMVGn 13","TAMILNADU","SALEM","IDAPPADI                                          ","2014-11-01 06:34:47.160"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","Leaf spot in turmeric","Recommended for spray Carbendazim 2gm / lit","TAMILNADU","SALEM","GANGAVALLI                                        ","2014-11-01 07:46:10.100"
"KHARIF","HORTICULTURE","Flowers","Marigold","Nutrient Management","Marigold top dressing fertilizer","recommended for Apply urea 40 kg + micro food 3 kg / ac","TAMILNADU","SALEM","OMALUR                                            ","2014-11-01 08:31:46.900"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Market Information","market rate for bhendi","Bhendi Thalaivasal Market Local 11.00-12.00/Kg","TAMILNADU","SALEM","KOLATHUR                                          ","2014-11-01 08:35:54.023"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","cotton foliar application details","Recommended for spray TNAU cotton plus 2.5kg / 200 lit / ac","TAMILNADU","SALEM","ATTUR                                             ","2014-11-01 08:50:41.910"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Organic Farming","organic manure for paddy","recommended for apply Azophos 4 packets inoculants with 25 kg FYM +Pseudomonas fluorescens (Pf 1) at1 kg/acre mixed with 50 kg FYM","TAMILNADU","SALEM","ATTUR                                             ","2014-11-01 10:28:27.107"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Cultural Practices","season for maize","recommended season for Purattasipattam (September - October)","TAMILNADU","SALEM","GANGAVALLI                                        ","2014-11-01 10:36:32.650"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather detail in salem","have no rain in salem","TAMILNADU","SALEM","KADAIYAMPATTY                                     ","2014-11-01 13:46:22.540"
"RABI","HORTICULTURE","Fruits","Papaya","Market Information","market information for papaya","recommended for papaya market rate Rs 30/Kg","TAMILNADU","SALEM","ATTUR                                             ","2014-11-01 14:01:15.597"
"KHARIF","HORTICULTURE","Vegetables","Lab Lab","Fertilizer Use and Availability","lab lab foliar application details","Recommended for spray 19:19:19 50gm / tank","TAMILNADU","SALEM","SALEM                                             ","2014-11-01 15:08:38.327"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy top dressing","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","SALEM","NANGAVALLI                                        ","2014-11-01 15:13:05.380"
"KHARIF","HORTICULTURE","Flowers","Rose","	Plant Protection	","leaf spot in rose","Recommended for spray mancozeb 2gm / lit.","TAMILNADU","SALEM","ATTUR                                             ","2014-11-01 15:34:44.477"
"KHARIF","HORTICULTURE","Flowers","Jasmine","Fertilizer Use and Availability","jasmine fertilizer management","Recommended for apply urea 30gm + super phosphate 60gm + potash 60gm / plant","TAMILNADU","SALEM","AYODHIYAPATTINAM                                  ","2014-11-01 15:41:27.827"
"KHARIF","HORTICULTURE","Vegetables","Onion","Nutrient Management","onion nutrient management","recommended for spray pottasiyum salpet 5 g/ lit.","TAMILNADU","SALEM","VALAPADY                                          ","2014-11-01 15:47:07.810"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Calcium Deficiency in tomato","Recommended for spray Calcium chloride 5gm / lit.","TAMILNADU","SALEM","SALEM                                             ","2014-11-01 16:39:37.040"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","Recommended for spray chlorpyrifos 2ml / lit.","TAMILNADU","SALEM","PEDDANAICKENPALAYAM                               ","2014-11-01 16:56:43.277"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Mint","Cultural Practices","varieties for mint","Recommended for MAS-1, MA-2, Hybrid-77, Shivalik and EC-41911","TAMILNADU","SALEM","ATTUR                                             ","2014-11-01 17:31:41.707"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot and fruit borer in brinjal","Recommended for spray quinalphos 2ml + neem oil 3ml + teepol 1ml / lit of water","TAMILNADU","SALEM","SALEM                                             ","2014-11-01 17:45:07.927"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","market information for tapioca","recommended for tapioca market rate Rs 1500-2400/quintal","TAMILNADU","SALEM","ATTUR                                             ","2014-11-01 18:02:41.790"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Shoot and fruit borer in brinjal","recommended for spray Flubendiamide 7.5gm/10lit of water","TAMILNADU","SALEM","ATTUR                                             ","2014-11-01 18:39:16.890"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Seeds and Planting Material","Coconut inter cropping","recommended for Groundnut, sesamum, sunflower, tapioca, turmeric and banana","TAMILNADU","SALEM","SANKARI                                           ","2014-11-01 18:43:33.277"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Leaf roller in cotton","Recommended for spray chlorpyriphos 20 EC 2ml/liter of water","TAMILNADU","SALEM","IDAPPADI                                          ","2014-11-01 18:52:12.300"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","cotton foliar application details","Recommendd for spray TNAU cotton plus 2.5kg / 200 lit / ac","TAMILNADU","SALEM","KONGANAPURAM                                      ","2014-11-01 21:12:45.877"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forecast","recommended for today is  a rainy day","TAMILNADU","SALEM","VALAPADY                                          ","2014-11-01 21:31:58.890"
