"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","recommended Spray profenophos 2ml/lit","TAMILNADU","SIVAGANGA","SIVAGANGA                                         ","2014-11-01 08:05:07.053"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Fertilizer Use and Availability","Organic farming details in groundnut","recommended for use panchakavya + jeevamirtham+ fym","TAMILNADU","SIVAGANGA","KALAIYARKOIL                                      ","2014-11-01 15:12:32.563"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy basal fertilizer management","Recommended for apply DAP 50 kg + zinc sulphate 10 kg + neem cake 10kg + FYM 10ton /ac","TAMILNADU","SIVAGANGA","S. PUDUR                                          ","2014-11-01 16:36:04.973"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy basal fertilizer","Recommended for apply DAP 50 kg + zinc sulphate 10kg + neem cake 10 kg/ac","TAMILNADU","SIVAGANGA","SIVAGANGA                                         ","2014-11-01 17:55:01.340"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Paddy basal fertilizer","Recommended for apply DAP 50 kg + zinc sulphate 10kg + neem cake 10 kg/ac","TAMILNADU","SIVAGANGA","SIVAGANGA                                         ","2014-11-01 17:56:15.677"
"RABI","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","Banana fertiliser management","Recommended for apply urea 150 gm+ super phosphate 200 gm + potash 200 gm on 3rd, 5th,7th month","TAMILNADU","SIVAGANGA","SIVAGANGA                                         ","2014-11-01 19:22:26.377"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy nursery fertilizer management","Recommended for apply DAP 2kg / ac","TAMILNADU","SIVAGANGA","MANAMADURAI                                       ","2014-11-01 19:37:54.997"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","spacing for paddy","Recommended for spacing for paddy 25 cm*25 cm","TAMILNADU","SIVAGANGA","SIVAGANGA                                         ","2014-11-01 20:29:51.443"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Market Information","chilli market rate","Recommended for chilli market rate : 20 - 30 Rs./Kg","TAMILNADU","SIVAGANGA","TIRUPPATHUR                                       ","2014-11-02 12:31:30.200"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy basal fertilizer","recommended for apply DAP 50 kg + zinc salpet 10 kg/ acre.","TAMILNADU","SIVAGANGA","SIVAGANGA                                         ","2014-11-02 13:57:56.850"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","asking about paddy seedlings availability details","Recommended Krishi Vigyan Kendra, Tirur, Thiruvallur District contact no. 044-27620705","TAMILNADU","SIVAGANGA","SIVAGANGA                                         ","2014-11-03 11:34:17.950"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","season varieties for paddy","recommended for the paddy varieties;ADT 36, ADT 39, MDU 5, PMK (R) 3, Anna (R) 4","TAMILNADU","SIVAGANGA","TIRUPPUVANAM                                      ","2014-11-03 14:57:28.007"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy basal fertilizer.","recommended for apply DAP 50 kg + zinc sulphate 10 kg / acre","TAMILNADU","SIVAGANGA","SIVAGANGA                                         ","2014-11-03 15:47:15.523"
"KHARIF","HORTICULTURE","Vegetables","Onion","Cultural Practices","onion sowing season","Recommended for onion sowing season : October – November","TAMILNADU","SIVAGANGA","ILAYANKUDI                                        ","2014-11-03 17:49:21.723"
"KHARIF","HORTICULTURE","Fruits","Banana","Nutrient Management","banana fruit size increases","Recommended for spray potassium sulphate 10 - 15gm / lit","TAMILNADU","SIVAGANGA","SAKKOTTAI                                         ","2014-11-03 18:00:30.237"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","Recommended for spray chlorpyrifos 2ml / lit","TAMILNADU","SIVAGANGA","KALAIYARKOIL                                      ","2014-11-03 18:48:36.653"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Nutrient Management","sugarcane top dressing fertilizer management","recommended for apply urea 80 kg + potash 25 kg / ac","TAMILNADU","SIVAGANGA","KALAIYARKOIL                                      ","2014-11-04 06:59:21.980"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","Top dressing fertilizer management for sugarcane","recommended for apply urea 80 + potash 50kg /ac","TAMILNADU","SIVAGANGA","KALAIYARKOIL                                      ","2014-11-04 07:16:45.597"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","kaira disease in paddy","recommended for spray zinc sulphate 5gm/lit of water","TAMILNADU","SIVAGANGA","KALAIYARKOIL                                      ","2014-11-04 07:44:54.597"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","Fertilizer management for cotton","Recommended for Fertilizer management for cotton Apply Urea 48 kg + potash 20 kg + micro food 5 kg/ac","TAMILNADU","SIVAGANGA","SINGAMPUNARI                                      ","2014-11-04 16:52:37.100"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Foliar nutrition for paddy","Recommended for Foliar nutrition for paddy spray urea 10gm +DAP 20gm + potassium chloride 10 gm /lit of water","TAMILNADU","SIVAGANGA","SAKKOTTAI                                         ","2014-11-04 18:39:05.220"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","season varieties for paddy","recommended for the varieties; ADT 36, ADT 39, MDU 5, PMK (R) 3, Anna (R) 4","TAMILNADU","SIVAGANGA","MANAMADURAI                                       ","2014-11-04 21:46:08.227"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather detail in sivaganga","have no rain in sivaganga","TAMILNADU","SIVAGANGA","KALAIYARKOIL                                      ","2014-11-05 13:02:32.990"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy top dressing fertilizer management","Recommended for paddy top dressing fertilizer management
 apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","SIVAGANGA","DEVAKOTTAI                                        ","2014-11-05 21:54:42.837"
"KHARIF","AGRICULTURE","Others","Others","Seeds","FOREST DEPARTMENT, SIVAGANGAI contact number","recommended to contact 04575-240438","TAMILNADU","SIVAGANGA","KALAIYARKOIL                                      ","2014-11-06 08:29:22.850"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","SIVAGANGA","SINGAMPUNARI                                      ","2014-11-06 09:32:22.930"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","asking about govt.schemes details","Recommended contact to block level agriculture office","TAMILNADU","SIVAGANGA","TIRUPPATHUR                                       ","2014-11-06 16:03:49.260"
"KHARIF","AGRICULTURE","Others","Others","Seeds","contact to forest dept","Recommended for contact to forest dept  number 04565 -236431","TAMILNADU","SIVAGANGA","S. PUDUR                                          ","2014-11-06 17:31:36.057"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","Asking about tree transplanting","Recommended for contact to horticulture department","TAMILNADU","SIVAGANGA","SIVAGANGA                                         ","2014-11-07 14:36:47.773"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","SIVAGANGA","KALAIYARKOIL                                      ","2014-11-07 15:23:04.143"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 5 kg/ ac","TAMILNADU","SIVAGANGA","S. PUDUR                                          ","2014-11-07 15:32:36.537"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","banana fertilizer management","Recommended for apply 150 gm urea + 200 gm super phosphate + 200 gm potash /plant","TAMILNADU","SIVAGANGA","TIRUPPUVANAM                                      ","2014-11-07 17:38:35.790"
"RABI","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","Chilli top dressing fertilizer management","Recommended for apply urea 25kg / ac","TAMILNADU","SIVAGANGA","ILAYANKUDI                                        ","2014-11-07 17:44:10.297"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","asking about soil test laboratory details","Recommended Krishi Vigyan Kendra sivaganga district, kundrakudi contact no. 04577 - 264288","TAMILNADU","SIVAGANGA","TIRUPPUVANAM                                      ","2014-11-08 11:43:31.627"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","soil testing lab contact number","recommended to contact Thiru R.Narayanasamy Senior Agricultural Officer Mobile: 9443797039","TAMILNADU","SIVAGANGA","TIRUPPUVANAM                                      ","2014-11-08 11:47:50.107"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Leaf curl mosaic virus in chilli","recommended for spray spiromesifen 1 ml + neem oil 3 ml + teepol 1 ml / 1 litre of water","TAMILNADU","SIVAGANGA","TIRUPPATHUR                                       ","2014-11-08 11:56:44.400"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Leaf curl mosaic virus in chilli","recommended for spray spiromesifen 1 ml + neem oil 3 ml + teepol 1 ml / 1 litre of water","TAMILNADU","SIVAGANGA","TIRUPPATHUR                                       ","2014-11-08 12:02:05.217"
"RABI","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","Fertilizer management for brinjal","Recommended for Fertilizer management for brinjal apply urea 42 kg +superphosphate 125 kg+potash 20 kg /ac","TAMILNADU","SIVAGANGA","DEVAKOTTAI                                        ","2014-11-08 18:01:49.257"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy basal fertilizer management","Recommended for apply DAP 50 kg + zinc sulphate 10 kg + neem cake 10kg + FYM 10ton /ac","TAMILNADU","SIVAGANGA","SINGAMPUNARI                                      ","2014-11-08 19:04:38.830"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 5 kg/ ac","TAMILNADU","SIVAGANGA","MANAMADURAI                                       ","2014-11-08 19:06:50.470"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","Panama disease in banana","Recommended for Corm injection carbendazim 2gm / lit","TAMILNADU","SIVAGANGA","MANAMADURAI                                       ","2014-11-09 08:38:28.460"
"KHARIF","HORTICULTURE","Vegetables","Snake Gourd","	Plant Protection	","leaf caterpillar in snakegourd","Recommended for spray Dichlorvos 2ml / lit","TAMILNADU","SIVAGANGA","KANNANKUDI                                        ","2014-11-09 08:58:32.383"
"KHARIF","AGRICULTURE","Others","Others","Weather","query : about rain details","ans : having medium rain today","TAMILNADU","SIVAGANGA","S. PUDUR                                          ","2014-11-09 12:08:45.577"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Nutrient Management","foliar spray in chilli","recommended for MN mixture 5g/lit of water","TAMILNADU","SIVAGANGA","TIRUPPATHUR                                       ","2014-11-09 13:33:27.427"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Nutrient Management","coconut fertilizer management","Recommended for apply urea 1.300kg + super phosphate 2kg + potash 2 kg + neem cake 5kg + farm yard manure 50kg + micro mixture 1kg /tree/year","TAMILNADU","SIVAGANGA","ILAYANKUDI                                        ","2014-11-09 13:46:26.083"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","leaf spot in banana.","recommended for spray coc 2.5 g/ lit.","TAMILNADU","SIVAGANGA","TIRUPPATHUR                                       ","2014-11-09 16:07:21.157"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Nutrient Management","Chilli top dressing fertilizer management","Recommended for apply urea 25kg / ac","TAMILNADU","SIVAGANGA","ILAYANKUDI                                        ","2014-11-09 17:36:34.953"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Paddy blast","Recommended for Paddy blast Spray edifenphos 2 gm /lit","TAMILNADU","SIVAGANGA","KALAIYARKOIL                                      ","2014-11-09 17:50:03.117"
"KHARIF","HORTICULTURE","Fruits","Papaya","Seeds and Planting Material","papaya seed availability","recommended to contact 0452 - 2422956","TAMILNADU","SIVAGANGA","SIVAGANGA                                         ","2014-11-10 08:27:48.190"
"KHARIF","HORTICULTURE","Fruits","Papaya","Field Preparation","papaya seeds availability","recommended for contact to horti office","TAMILNADU","SIVAGANGA","SIVAGANGA                                         ","2014-11-10 09:59:36.407"
