"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","THANJAVUR","TIRUVIDAIMARUDUR                                  ","2014-11-01 07:27:40.473"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","basal fertiliser for paddy","Recommended apply DAP50kg + neem cake 10kg + FYM 10ton / ac","TAMILNADU","THANJAVUR","PATTUKKOTTAI                                      ","2014-11-01 08:24:38.890"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","Recommended for spray chlorpyrifos 2ml+neem oil +teepol 1ml/lit of water","TAMILNADU","THANJAVUR","THIRUVAIYARU                                      ","2014-11-01 08:45:35.057"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","Recommended for spray QUINALPHOS  25 EC 2ml + neem oil 3ml + teepol 1ml / lit of water","TAMILNADU","THANJAVUR","TIRUVIDAIMARUDUR                                  ","2014-11-01 10:38:10.573"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Brown plant leafhopper in paddy","Recommended for spray monocrotophos 2ml / lit","TAMILNADU","THANJAVUR","PAPANASAM                                         ","2014-11-01 10:58:34.987"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","leaf caterpillar in red gram","reecommended for spray quinalphos 2ml/ lit.","TAMILNADU","THANJAVUR","AMMAPETTAI                                        ","2014-11-01 14:44:10.720"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","asking about govt.schemes details","Recommended contact to block level agriculture office","TAMILNADU","THANJAVUR","BUDALUR                                           ","2014-11-01 14:47:59.540"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 10 kg/ ac","TAMILNADU","THANJAVUR","AMMAPETTAI                                        ","2014-11-01 14:50:49.463"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bacterial leaf blight in paddy","Recommended for Spray bactreiomycin 18 gm /ac","TAMILNADU","THANJAVUR","PAPANASAM                                         ","2014-11-01 17:06:31.620"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 5 kg/ ac","TAMILNADU","THANJAVUR","TIRUVIDAIMARUDUR                                  ","2014-11-01 17:19:14.593"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy basal fertilizer management","Recommended for apply DAP 50 kg + zinc sulphate 10 kg + neem cake 10kg + FYM 10ton /ac","TAMILNADU","THANJAVUR","THIRUVAIYARU                                      ","2014-11-01 17:46:57.177"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","THANJAVUR","THIRUPPANANDAL                                    ","2014-11-01 18:05:18.807"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 5 kg/ ac","TAMILNADU","THANJAVUR","ORATTANADU                                        ","2014-11-01 18:06:55.010"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","leafspot black gram","recommended for spray mancozeb 2 giram/ lit.","TAMILNADU","THANJAVUR","THIRUPPANANDAL                                    ","2014-11-01 19:13:38.850"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","Recommended for spray chlorpyrifos 2ml / lit","TAMILNADU","THANJAVUR","TIRUVIDAIMARUDUR                                  ","2014-11-01 20:11:49.060"
