"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Flowers","Carnation","Nutrient Management","nutrient deficiency in carnation","recommended for spray micro food 5gm/lit","TAMILNADU","THE NILGIRIS","KOTAGIRI                                          ","2014-11-01 08:06:25.190"
"KHARIF","HORTICULTURE","Vegetables","Carrot","	Plant Protection	","carrot season","recommended for the season  July – February.","TAMILNADU","THE NILGIRIS","UDHAGAMANDALAM                                    ","2014-11-02 15:19:14.563"
"RABI","FISHERIES","Inland","Fresh Water","Coastal Aquaculture","fisheries department contact details","recommended for fisheris department  contact no 0423-2443946","TAMILNADU","THE NILGIRIS","UDHAGAMANDALAM                                    ","2014-11-03 18:32:30.343"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","Market Information","turmeric cut worm.","recommended for spray thiochloprid 1 ml/ lit.","TAMILNADU","THE NILGIRIS","KOTAGIRI                                          ","2014-11-03 20:30:13.757"
"KHARIF","HORTICULTURE","Vegetables","Beet Root (Garden Beet/Stock Beet)","Market Information","beet root price increase details","recommended for contact to DEMIC department 0422-2431405","TAMILNADU","THE NILGIRIS","UDHAGAMANDALAM                                    ","2014-11-04 06:50:59.503"
"KHARIF","HORTICULTURE","Vegetables","Chapan Kaddu","Fertilizer Use and Availability","chow chow fertilizer management","recommended for chow chow fertilizer management 10 kg of FYM, 250 g of urea, 500 g of Super phosphate and 500 g of Muriate of Potash","TAMILNADU","THE NILGIRIS","KOTAGIRI                                          ","2014-11-04 08:33:40.717"
"KHARIF","HORTICULTURE","Condiments and Spices","Pepper","	Plant Protection	","foot rot in pepper.","recommended for drench with coc 2.5 g/ lit.","TAMILNADU","THE NILGIRIS","GUDALUR                                           ","2014-11-04 17:32:54.190"
"KHARIF","HORTICULTURE","Flowers","Jasmine","Nutrient Management","Jasmine foliar application details","recommended for Jasmine foliar spray for 19:19:19 50 gm/tank","TAMILNADU","THE NILGIRIS","KOTAGIRI                                          ","2014-11-05 07:09:40.943"
"KHARIF","HORTICULTURE","Vegetables","Others","	Plant Protection	","root for chow chow","Recommended for spray copper oxychloride 2gm / lit.","TAMILNADU","THE NILGIRIS","COONOOR                                           ","2014-11-06 17:01:19.283"
"KHARIF","HORTICULTURE","Condiments and Spices","Pepper","Seeds and Planting Material","varieties of pepper","recommended varieties of pepper anniyur 1, 2, 3, 4, 5, 6 and 7, Karimunda, Sreekara, Subhakara, Panchami,Pournami, IISR Thevam,IISR Malabar Excel, IISR Girimunda, IISR Sakthi, PLD-2.","TAMILNADU","THE NILGIRIS","GUDALUR                                           ","2014-11-08 13:31:41.127"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Cultural Practices","Bordeaus mixture preparation details","Recommended Bordeaus mixture preparation : copper sulphate 400gm / 20 litter + calcium carbonate 400gm / 20 litter of water separately. The copper sulphate solution should be added to the lime solution constantly stirring the mixture","TAMILNADU","THE NILGIRIS","GUDALUR                                           ","2014-11-09 08:17:19.467"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","asking about cow farming details","Recommended Veterinary University Training and Research Centre, coimbatore, saravanampatti contact no. 0422 - 2669965","TAMILNADU","THE NILGIRIS","GUDALUR                                           ","2014-11-10 12:15:26.020"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","Fertilizer management for banana","recommended for apply urea 150gm+superphosphate 200gm+potash 200gm /plant","TAMILNADU","THE NILGIRIS","GUDALUR                                           ","2014-11-12 10:56:34.377"
"RABI","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","leaf blotch in turmeric","Recommended for spray carbendazim 2gm /lit.","TAMILNADU","THE NILGIRIS","GUDALUR                                           ","2014-11-15 20:28:09.883"
"RABI","HORTICULTURE","Fruits","Banana","	Plant Protection	","cut worm in banana","Recommended for Spray chlorpyriphos 2ml / lit","TAMILNADU","THE NILGIRIS","GUDALUR                                           ","2014-11-16 11:36:04.150"
"RABI","HORTICULTURE","Vegetables","Beans ","Bio-Pesticides and Bio-Fertilizers","Beans flower drop in beans","Recommended for spray planofix 5ml/liter of water","TAMILNADU","THE NILGIRIS","UDHAGAMANDALAM                                    ","2014-11-16 20:14:49.030"
"RABI","HORTICULTURE","Flowers","Jasmine","Nutrient Management","Jasmine foliar application details","recommended for Jasmine foliar spray for 19:19:19 50 gm/tank","TAMILNADU","THE NILGIRIS","KOTAGIRI                                          ","2014-11-20 20:45:13.463"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","BLOCK LEVEL AGRI DEPARTMENT CONTAT NUMBER","recommended for the contact number; 0423-2444085","TAMILNADU","THE NILGIRIS","KOTAGIRI                                          ","2014-11-22 12:19:19.447"
"RABI","HORTICULTURE","Condiments and Spices","Pepper","Market Information","contact to agriculture dept","Recommended for contact to agriculture dept number 0422-2431405","TAMILNADU","THE NILGIRIS","GUDALUR                                           ","2014-11-25 14:53:29.220"
"KHARIF","HORTICULTURE","Vegetables","Potato","Market Information","potato market rate","recommended as Rs 25-30/ kg.","TAMILNADU","THE NILGIRIS","GUDALUR                                           ","2014-11-26 21:52:40.753"
"RABI","AGRICULTURE","Others","Others","Weather","weather detail in nilgiris","have rain in nilgiris","TAMILNADU","THE NILGIRIS","KOTAGIRI                                          ","2014-11-28 08:25:20.437"
