"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Rice skipper:","Drain the water and spray chlorpyriphos 20 EC 2 ml / 1 litre of water","TAMILNADU","THIRUVALLUR","PALLIPATTU                                        ","2014-11-01 06:46:05.270"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in paddy","recommended for spray chloripyriphos 2ml/lit","TAMILNADU","THIRUVALLUR","TIRUVALLUR                                        ","2014-11-01 07:01:21.683"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather detail in thiruvallur","have no rain in thiruvallur","TAMILNADU","THIRUVALLUR","KADAMBATHUR                                       ","2014-11-01 10:21:25.357"
"KHARIF","AGRICULTURE","Others","Others","Seeds","forest entrension centre contact no.","recommended 044-27660487 number to contact forest extension centre.","TAMILNADU","THIRUVALLUR","POONAMALLEE                                       ","2014-11-01 15:24:28.210"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weed Management","weeds control in paddy","Recommended for spray pendimethalin 400gm / ac on 5 days after sowing","TAMILNADU","THIRUVALLUR","TIRUVALLUR                                        ","2014-11-01 16:07:59.830"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Leaf folder in paddy","Recommended for Spray chlorpyriphos 2 ml /litre of water","TAMILNADU","THIRUVALLUR","TIRUVALLUR                                        ","2014-11-01 18:29:11.447"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","contact to kvk dept","Recommended for contact to kvk dept number 04367-260666","TAMILNADU","THIRUVALLUR","TIRUTTANI                                         ","2014-11-01 18:53:31.387"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy foliar spray.","recommended for spray zinc salpet 5 g + urea 10 / lit.","TAMILNADU","THIRUVALLUR","R.K.PET                                           ","2014-11-01 19:18:21.943"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Fertilizer Use and Availability","bhendi top dressing fertilizer management","Recommended for apply urea 17kg / ac","TAMILNADU","THIRUVALLUR","TIRUVALLUR                                        ","2014-11-01 19:24:27.367"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","recommended for today is  a rainy day","TAMILNADU","THIRUVALLUR","TIRUVALLUR                                        ","2014-11-01 19:46:35.993"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Varieties","paddy short duration varieties","recommended for IR-64, CO-47, ADT-43, ADT-45, ADT-47, ADT-48, ASD-20 and MDU-5.","TAMILNADU","THIRUVALLUR","PALLIPATTU                                        ","2014-11-02 08:38:34.377"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","paddy stem borer","recommended for spray cartap hydrochloride 2 g/ lit.","TAMILNADU","THIRUVALLUR","POONDI                                            ","2014-11-02 08:47:51.913"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy foliar spray","recommended for spray zn salpet 5 g + urea 10 giram/ lit.","TAMILNADU","THIRUVALLUR","TIRUVALLUR                                        ","2014-11-02 09:02:52.040"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Nutrient Management","brinjal increase flowering","recommended for spray planofix 5 ml/10lit of water","TAMILNADU","THIRUVALLUR","POONAMALLEE                                       ","2014-11-02 11:10:01.333"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","Training and Exposure Visits","asking about mushroom training details","Recommended TNAU Mushroom dept. contact no. 0422 - 6611336","TAMILNADU","THIRUVALLUR","TIRUVALLUR                                        ","2014-11-02 16:16:52.667"
"KHARIF","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","onion sowing season","Recommended for onion sowing season : october - november","TAMILNADU","THIRUVALLUR","TIRUTTANI                                         ","2014-11-02 16:23:50.747"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Root rot in paddy","Recommended for apply Pseudomonas fluorescens 1kg + FYM 20kg / ac","TAMILNADU","THIRUVALLUR","MINJUR                                            ","2014-11-02 17:12:58.317"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","Gram pod borer in blackgram","recommended for spray quinalphos 2 ml + neem oil 3 ml /liter of water","TAMILNADU","THIRUVALLUR","POONAMALLEE                                       ","2014-11-02 18:43:33.247"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Rice tungro diesease","recommended for spray Imidacloprid 2ml / lit","TAMILNADU","THIRUVALLUR","R.K.PET                                           ","2014-11-02 19:59:47.830"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 5 kg/ ac","TAMILNADU","THIRUVALLUR","TIRUTTANI                                         ","2014-11-02 20:03:22.923"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Top dressing fertilizer management for paddy","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 5 kg/ ac","TAMILNADU","THIRUVALLUR","R.K.PET                                           ","2014-11-02 20:10:19.577"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","THIRUVALLUR","PALLIPATTU                                        ","2014-11-02 20:38:18.793"
