"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","maize top dressing fertilizer management","Recommended for apply urea 60kg / ac 30days after sowing","TAMILNADU","THOOTHUKUDI","VILATHIKULAM                                      ","2014-11-01 14:43:52.357"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","mushroom cultivation training","recommended to contact kvk.","TAMILNADU","THOOTHUKUDI","TIRUCHENDUR                                       ","2014-11-01 16:20:53.933"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Nutrient Management","maize top dressing","Recommended for apply urea 60kg / ac 30days after sowing.","TAMILNADU","THOOTHUKUDI","KARUNGULAM                                        ","2014-11-01 16:48:38.047"
"KHARIF","HORTICULTURE","Fruits","Sapota","Nutrient Management","sapota leaf blight","recommended for spray carbendazim 2 g/ lit.","TAMILNADU","THOOTHUKUDI","KARUNGULAM                                        ","2014-11-01 18:09:50.633"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Integrated Farming","disease management for cow","Vaccine Research Centre-Viral Vaccines, 
Centre for Animal Health Studies
Tamil Nadu Veterinary and Animal Sciences University
Madhavaram Milk Colony, Chennai – 600 051 
Telephone : 0091(0)44 25551573 | Mobile: 00919962754861","TAMILNADU","THOOTHUKUDI","KAYATHAR                                          ","2014-11-02 06:57:23.727"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","fruit borer in brinjal","recommended for quinolphos 2ml+neemoil 3ml+teepol 1ml/lit of water","TAMILNADU","THOOTHUKUDI","KOVILPATTI                                        ","2014-11-02 08:17:39.243"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Seeds and Planting Material","coconut seedlings.","recommended 0461-2269306 number to contact kvk.","TAMILNADU","THOOTHUKUDI","OTTAPIDARAM                                       ","2014-11-02 10:20:56.110"
"KHARIF","AGRICULTURE","Others","Others","Seeds","coconut development board, chennai contact no.","recommended 044 26164048 number.","TAMILNADU","THOOTHUKUDI","KARUNGULAM                                        ","2014-11-02 11:06:50.767"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Market Information","copra market rate","Recommended for copra market rate : 9500 - 11000 Rs./Quintal","TAMILNADU","THOOTHUKUDI","KAYATHAR                                          ","2014-11-02 12:19:31.130"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","root rot in green gram.","recommended for drench with coco 2.5 g/ lit.","TAMILNADU","THOOTHUKUDI","KAYATHAR                                          ","2014-11-02 12:40:17.583"
