"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","foliar spray in paddy","recommended for spray MN mixture 5g/lit of water","TAMILNADU","TIRUCHIRAPPALLI","MANACHANELLUR                                     ","2014-11-01 07:49:51.710"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","basal fertiliser for paddy","Recommended apply DAP50kg + neem cake 10kg + FYM 10ton / ac","TAMILNADU","TIRUCHIRAPPALLI","UPPILIAPURAM                                      ","2014-11-01 07:53:55.203"
"KHARIF","AGRICULTURE","Others","Others","Seeds","FOREST DEPARTMENT, KARUR contact number","recommended to contact 04324-232229","TAMILNADU","TIRUCHIRAPPALLI","ANDANALLUR                                        ","2014-11-01 08:31:36.430"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","flower drops (fusarium) in brinjal","Recommended for spray carbendazim 2gm / lit","TAMILNADU","TIRUCHIRAPPALLI","TURAIYUR                                          ","2014-11-01 09:43:53.570"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","Top dressing fertilizer management for paddy","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg + Microfood 5 kg/ ac","TAMILNADU","TIRUCHIRAPPALLI","TATTAYYANGARPETTAI                                ","2014-11-01 14:51:55.980"
"KHARIF","HORTICULTURE","Vegetables","Onion","Market Information","Onion market rate","Recommended for Onion market rate: Rs.2100/50kg","TAMILNADU","TIRUCHIRAPPALLI","MANACHANELLUR                                     ","2014-11-01 15:07:31.927"
"KHARIF","HORTICULTURE","Vegetables","Snake Gourd","	Plant Protection	","Fruit fly  in snake gourd","recommended for spray  Dichlorvos 2ml/lit of water","TAMILNADU","TIRUCHIRAPPALLI","MARUNGAPURI                                       ","2014-11-01 15:43:40.090"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","TIRUCHIRAPPALLI","MANAPPARAI                                        ","2014-11-01 15:58:24.887"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","bacterial leaf blight in paddy","Recommended for spray bacteromycin 18 g / Ac","TAMILNADU","TIRUCHIRAPPALLI","ANDANALLUR                                        ","2014-11-01 16:32:53.640"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Paddy stem borer","Recommended for spray quinalphos 2ml/litre of water","TAMILNADU","TIRUCHIRAPPALLI","PULLAMBADI                                        ","2014-11-01 16:50:33.913"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","aphids in cotton","recommended for spray imidachloprid 1 ml/ lit.","TAMILNADU","TIRUCHIRAPPALLI","MUSIRI                                            ","2014-11-01 17:07:26.060"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","asking about govt.schemes details","Recommended contact to block level agriculture office","TAMILNADU","TIRUCHIRAPPALLI","TATTAYYANGARPETTAI                                ","2014-11-01 17:26:28.173"
