"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","Nutrient Management","blackgram fertilizer management","Recommended for spray pulses onder 2.25kg / ac 200 litter of water","TAMILNADU","TIRUNELVELI","SANKARANKOVIL                                     ","2014-11-01 08:35:05.590"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","skeletonizer in Teak","Recommended for spray chlorpyrifos 2ml / lit","TAMILNADU","TIRUNELVELI","PALAYANKOTTAL                                     ","2014-11-01 11:41:05.937"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report for thiruvallur.","recommended as chances for raining.","TAMILNADU","TIRUNELVELI","ALANGULAM                                         ","2014-11-01 15:26:50.663"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","chiili thrips","Recommended for spray imidacloprid 2 ml / liter of water","TAMILNADU","TIRUNELVELI","VALLIYOOR                                         ","2014-11-01 15:43:11.157"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy basal fertilizer","recommended for apply DAP 50 kg + zinc suphate 10 kg/ acre.","TAMILNADU","TIRUNELVELI","VASUDEVANALLUR                                    ","2014-11-01 16:55:10.930"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Thrips in cotton","recommended for spray Imidacloprid  2ml/;lit of water","TAMILNADU","TIRUNELVELI","VALLIYOOR                                         ","2014-11-01 17:02:10.170"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","maize top dressing fertilizer management","Recommended for apply urea 60kg / ac 30days after sowing","TAMILNADU","TIRUNELVELI","VASUDEVANALLUR                                    ","2014-11-01 18:01:18.683"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","Gram pod borer in blackgram","Recommended for spray quinalphos 2 ml + neem oil 3 ml /liter of water","TAMILNADU","TIRUNELVELI","KEELAPAVOOR                                       ","2014-11-01 18:35:02.957"
"KHARIF","HORTICULTURE","Fruits","Banana","Bio-Pesticides and Bio-Fertilizers","banana fruit size increases","Recommended for spray potassium sulphate 10 - 15gm / lit","TAMILNADU","TIRUNELVELI","PALAYANKOTTAL                                     ","2014-11-01 18:41:44.870"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","Grass blue butterfly in black gram","recommended for spray quinalphos 2ml/lit of water","TAMILNADU","TIRUNELVELI","KEELAPAVOOR                                       ","2014-11-01 18:50:41.183"
