"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","Training and Exposure Visits","asking about mushroom training details","Recommended TNAU Mushroom dept. contact no. 0422 - 6611336","TAMILNADU","TIRUPUR","Tirrpur","2014-11-01 11:04:38.283"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather detail in tirupur","have no rain in tirupur","TAMILNADU","TIRUPUR","Udumalaipettai","2014-11-01 11:33:03.663"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","aphids in cotton","recommended for spray imidachloprid 1 ml/ lit","TAMILNADU","TIRUPUR","Dharapuram","2014-11-01 14:53:57.110"
"KHARIF","AGRICULTURE","Others","Others","Weather","asking about weather details","Recommended for today rainy day","TAMILNADU","TIRUPUR","Udumalaipettai","2014-11-01 15:28:50.363"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Market Information","copra market rate","recommended as rs 9265-9705/quintal.","TAMILNADU","TIRUPUR","Dharapuram","2014-11-01 16:24:42.890"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forecast","recommended for today is  a rainy day","TAMILNADU","TIRUPUR","Pongalur","2014-11-01 16:53:35.477"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Market Information","market price for copra","recommended for the price;10500-10600Rs/quintal","TAMILNADU","TIRUPUR","Madathukulam","2014-11-01 16:53:41.563"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","cotton top dressing fertilizer management","Recommendd for apply urea 33kg / ac","TAMILNADU","TIRUPUR","Mulanor","2014-11-01 19:36:07.133"
"KHARIF","HORTICULTURE","Fruits","Banana","Cultural Practices","spacing for banana","Recommended for spacing for banana 2.1 m*2.1 m","TAMILNADU","TIRUPUR","Kangyam","2014-11-01 19:52:09.487"
"KHARIF","HORTICULTURE","Vegetables","Ribbed Gourd (Kali Tori)","	Plant Protection	","Fruit fly for ribbed gourd","Recommended for Spray dichlorvos 2 ml/liter of water","TAMILNADU","TIRUPUR","Gudimanlam","2014-11-01 20:49:51.443"
"KHARIF","HORTICULTURE","Vegetables","Beet Root (Garden Beet/Stock Beet)","Cultural Practices","weed management in beetroot.","recommended for handweeing","TAMILNADU","TIRUPUR","Pongalur","2014-11-01 21:16:41.877"
