"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","asking about cow farming details","Recommended Veterinary University Training and Research Centre, Tiruvannamalai contact no. 04175 - 253077","TAMILNADU","TIRUVANNAMALAI","POLUR                                             ","2014-11-01 06:57:58.670"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","caterpillar in paddy","recommended for spray chlorpyrifos 2ml+neem oil +teepol 1ml/lit of water","TAMILNADU","TIRUVANNAMALAI","KALASAPAKKAM                                      ","2014-11-01 07:20:01.403"
"KHARIF","HORTICULTURE","Flowers","Tuberose","	Plant Protection	","Leaf spot in tuberose","recommended for spray mancozeb + carbendazim (SAAF)2.5gm/lit of water","TAMILNADU","TIRUVANNAMALAI","CHENGAM                                           ","2014-11-01 07:34:33.870"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy nursery green leafhopper","recommended for spray monocrotophos 1 ml / 1 lit of water","TAMILNADU","TIRUVANNAMALAI","THANDRAMPET                                       ","2014-11-01 08:48:13.333"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy nursery fertilizer management","Recommended for apply DAP 2kg / ac","TAMILNADU","TIRUVANNAMALAI","KALASAPAKKAM                                      ","2014-11-01 10:01:05.717"
"KHARIF","HORTICULTURE","Flowers","Jasmine","Nutrient Management","foliar spray in kakada","recommended for spray 19:19:19 5g/lit of water","TAMILNADU","TIRUVANNAMALAI","PUDUPALAYAM                                       ","2014-11-01 11:43:48.393"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Nutrient Management","groundnut top dressing fertilizer management","Recommended for apply zypsum 150kg / ac","TAMILNADU","TIRUVANNAMALAI","KALASAPAKKAM                                      ","2014-11-01 12:32:01.317"
"KHARIF","HORTICULTURE","Flowers","Tuberose","	Plant Protection	","Leaf spot in tuberose","recommendedf for spray mancozeb + carbendazim (SAAF)2.5gm/lit of water","TAMILNADU","TIRUVANNAMALAI","CHENGAM                                           ","2014-11-01 13:08:27.890"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather detail in tiruvannamalai","have no rain in tiruvannamalai","TAMILNADU","TIRUVANNAMALAI","CHETPUT                                           ","2014-11-01 13:28:50.897"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","early shoot borer in sugarcane","Recommended for spray chlorpyrifos 2ml/lit of water","TAMILNADU","TIRUVANNAMALAI","THANDRAMPET                                       ","2014-11-01 15:31:10.423"
