"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Banana","Seeds and Planting Material","planting season for banana","recommended planting season for banana nov-dec","TAMILNADU","VELLORE","TIRUPPATTUR                                       ","2014-11-01 06:53:02.170"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Ear head bug in paddy","recommended for SPRAY Malathion 2ML/liter of water","TAMILNADU","VELLORE","VELLORE                                           ","2014-11-01 14:40:24.100"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Cultural Practices","sowing season for chillie","recommended for the season ;September- October","TAMILNADU","VELLORE","PERANAMBATTU                                      ","2014-11-01 14:51:23.183"
"KHARIF","HORTICULTURE","Fruits","Banana","Nutrient Management","banana foliar spray.","Recommended for spray potassium sulphate 10 - 15gm / lit.","TAMILNADU","VELLORE","MADHANUR                                          ","2014-11-01 15:19:06.943"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","contact to kvk dept","Recommended for contact to kvk dept number 0416-2272221","TAMILNADU","VELLORE","ANAICUT                                           ","2014-11-01 15:23:43.107"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","shoot and fruit borer in brinjal","Recommended for spray chloripyriphos 2ml / lit","TAMILNADU","VELLORE","WALAJAPET                                         ","2014-11-01 15:51:27.920"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","SEASON FOR bengal gram","recommended for the season;November (Winter season) Rainfed","TAMILNADU","VELLORE","TIMIRI                                            ","2014-11-01 16:38:05.253"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Root rot in bhendi","Recommended for drench with carbendazim 2gm/liter of water","TAMILNADU","VELLORE","NEMILI                                            ","2014-11-01 16:57:20.317"
"KHARIF","AGRICULTURE","Beekeeping","Beekeeping","Training and Exposure Visits","beekeeping training details contact number","recommended for the contact number ;0416- 
2914453","TAMILNADU","VELLORE","WALAJAPET                                         ","2014-11-01 17:43:54.067"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Tapioca (Cassava)","Cultural Practices","season for tapioca","recommended for the season ; October – November.","TAMILNADU","VELLORE","ALANGAYAN                                         ","2014-11-01 20:28:02.303"
"RABI","HORTICULTURE","Vegetables","Chillies","Cultural Practices","Chilli hybrid variety","Recommended for chilli hybrid variety - Arka Meghana, Arka Harita, Arka Sweta and Arka Lohit.","TAMILNADU","VELLORE","ARAKKONAM                                         ","2014-11-01 20:28:47.157"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","paddy nursery fertilizer management","Recommended for apply DAP 2kg / ac","TAMILNADU","VELLORE","NEMILI                                            ","2014-11-01 21:23:22.087"
"KHARIF","HORTICULTURE","Flowers","Crossandra","	Plant Protection	","crossandra gall midge","recommended for spray imidachloprid 0.4 ml/liter water","TAMILNADU","VELLORE","TIRUPPATTUR                                       ","2014-11-02 07:50:32.670"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","leaf curl in cotton","Recommended for spray methyldemeton 2ml / lit","TAMILNADU","VELLORE","SHOLINGHUR                                        ","2014-11-02 08:03:44.967"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy fertilizer management","Recommended for apply micro mixture 5kg / ac","TAMILNADU","VELLORE","KAVERIPAKKAM                                      ","2014-11-02 08:49:44.317"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","pod borer in cowpea","recommended for quinolphos 2ml+neemoil 3ml+teepol 1ml/lit of water","TAMILNADU","VELLORE","ALANGAYAN                                         ","2014-11-02 09:00:03.220"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","fusarium wilt in cotton","recommended for trichoderma 1kg/ac mixed with FYM 50kg","TAMILNADU","VELLORE","TIRUPPATTUR                                       ","2014-11-02 09:36:30.327"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","Training and Exposure Visits","mushroom training","recommended for contact Krishi Vigyan Kendra
Virinjipuram, Distt. Vellore -632 104
Email:kvkvrinjipuram@tnau.ac.in 0416-2914453","TAMILNADU","VELLORE","ARCOT                                             ","2014-11-02 09:43:23.183"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","leaf curl in cotton","Recommended for spray methyldemeton 2ml / lit","TAMILNADU","VELLORE","SHOLINGHUR                                        ","2014-11-02 11:20:55.160"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Cultural Practices","flower drop in cotton","recommended for spray planofix 5 ml/ 10 l","TAMILNADU","VELLORE","GUDIYATTAM                                        ","2014-11-02 11:27:58.637"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Market Information","bhendi market rate","recommended as Rs 25 / kg.","TAMILNADU","VELLORE","ANAICUT                                           ","2014-11-02 12:10:56.263"
