"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton foliar application details","Recommended for spray TNAU cotton plus 2.5kg / 200 lit / ac","TAMILNADU","VIRUDHUNAGAR","SIVAKASI                                          ","2014-11-01 10:29:02.670"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton aphids, white fly and thrips","spray methyl demeton 2.5ml+ neem oil 3ml+ teepol 1ml/lit of water","TAMILNADU","VIRUDHUNAGAR","ARUPPUKOTTAI                                      ","2014-11-01 15:37:14.660"
"KHARIF","HORTICULTURE","Vegetables","Ridge Gourd","Fertilizer Use and Availability","Ribbed gourd top dressing fertilizer management","Recommended for apply urea 10gm / pit.","TAMILNADU","VIRUDHUNAGAR","NARIKUDI                                          ","2014-11-01 18:25:22.840"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","Gram pod borer in blackgram","Recommended for Spray quinalphos 2 ml + neem oil 3 ml + teepol 1ml /liter of water","TAMILNADU","VIRUDHUNAGAR","VEMBAKOTTAI                                       ","2014-11-01 20:45:42.713"
"RABI","AGRICULTURE","Others","Others","Weather","Virudhunagar weather report","recommended for today is a  rainy day","TAMILNADU","VIRUDHUNAGAR","VEMBAKOTTAI                                       ","2014-11-01 20:52:05.107"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","Paddy SRI spacing","Recommended for Paddy SRI spacing : 25cm x 25cm","TAMILNADU","VIRUDHUNAGAR","KARIAPATTI                                        ","2014-11-02 11:28:39.413"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","drip irrigation subsity","recommended to contact agri engg department
04562 252 192","TAMILNADU","VIRUDHUNAGAR","SIVAKASI                                          ","2014-11-02 12:37:12.983"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","forest department contact number","recommended for the contact number;04562-243558","TAMILNADU","VIRUDHUNAGAR","VIRUDHUNAGAR                                      ","2014-11-02 17:55:49.567"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Asking about govt schemes details","Recommended for contact to block level agriculture office","TAMILNADU","VIRUDHUNAGAR","NARIKUDI                                          ","2014-11-02 21:07:44.860"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather detail for virudhunagara dist","date from 3 to 7 have rain","TAMILNADU","VIRUDHUNAGAR","SIVAKASI                                          ","2014-11-03 08:07:52.733"
