"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","stem borer in MAIZE","recommended  chloripyriphos 2.5ml/lit water","TELANGANA","KHAMMAM","KONIJERLA                                         ","2014-12-02 16:12:21.503"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","white fly in chilli","recommended  fipronil  2ml/lit water","TELANGANA","KHAMMAM","MULAKALAPALLY                                     ","2014-12-02 17:44:45.960"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","vegetative growth in chillie","SPRAY MULTI K 1kg/acr","TELANGANA","KHAMMAM","KUSUMANCHI                                        ","2014-12-02 18:21:13.053"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Water Management	","mg deficiency in cotton","magnesium sulphate 2 g/l","TELANGANA","KHAMMAM","MADHIRA                                           ","2014-12-02 18:27:11.543"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","root rot in chilli","recomended blitex 3g/lit water","TELANGANA","KHAMMAM","MUDIGONDA                                         ","2014-12-03 07:03:47.157"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","curling in chilli","recomended prid 40g/acre","TELANGANA","KHAMMAM","KOTHAGUDEM                                        ","2014-12-03 10:32:20.590"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","root rot in chilli","recomended blitex  3g/lit water","TELANGANA","KHAMMAM","GARLA                                             ","2014-12-03 10:35:59.000"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","leaf blight in maize","recommended mancozeb 2.5g/lit water","TELANGANA","KHAMMAM","NELAKONDAPALLY                                    ","2014-12-04 17:36:35.840"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","curling in chilli","recommended confidor o.6ml/lit water","TELANGANA","KHAMMAM","KALLUR                                            ","2014-12-04 18:47:37.167"
"RABI","HORTICULTURE","Vegetables","Ridge Gourd","	Plant Protection	","LEAF CURLING IN RIDGEGOURD","RECOMMENDED TO SPRAY QUINOLPHOS(EKALUX, FLASH, DHANULUX,QUINGUARD) 400 ML PER ACRE","TELANGANA","KHAMMAM","BHADRACHALAM                                      ","2014-12-05 08:02:17.773"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","TRIPS IN CHILLIE","RECOMMENDED TO SPRAY FIPRONIL(REGENT, BILLGRAN, SALVO) 400 ML PER ACRE","TELANGANA","KHAMMAM","CHINTHAKANI                                       ","2014-12-05 09:52:27.290"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","FLOWER FOLDING IN CHILLIE","RECOMMENDED TO SPRAY TRIAZOPHOS (HOSTATHION, TITAN, SUTATHION) 300 ML PER ACRE","TELANGANA","KHAMMAM","KUSUMANCHI                                        ","2014-12-05 10:16:51.500"
