"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf folder in rice","RECOMMENDED TO SPRAY CHLORPYRPHOS(KORBAN, DURSBAN, LETHAL, CLASSIC, RADAR) 500 ML PER ACRE","TELANGANA","NALGONDA","CHIVVEMLA                                         ","2014-12-01 08:04:50.030"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","MUSHROOM","9912655843—RAJESHWARI Madam","TELANGANA","NALGONDA","BOMMALA RAMARAM                                   ","2014-12-01 11:28:52.503"
"RABI","HORTICULTURE","Fruits","Citrus","	Plant Protection	","fruit dropping in citrus","borax 1.5 g/l or planofix 2.5 ml/ 10 lit of water","TELANGANA","NALGONDA","BHUVANAGIRI                                       ","2014-12-02 14:16:43.427"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","CATTER PILLER IN GREEN GRAM","recomended acephate 1.5g/lit water","TELANGANA","NALGONDA","BOMMALA RAMARAM                                   ","2014-12-03 08:22:50.400"
"RABI","HORTICULTURE","Vegetables","Ridge Gourd","	Plant Protection	","catter piller","recomended malathion  2ml/lit water","TELANGANA","NALGONDA","CHIVVEMLA                                         ","2014-12-03 13:41:50.137"
"RABI","HORTICULTURE","Flowers","Marigold","	Plant Protection	","sucking pest in mari gold","RECOMMENDED TO SPRAY ACEPHATE (ANTAF, ARTIN, LUCID )  300 GRAMS PER ACRE","TELANGANA","NALGONDA","GUNDALA                                           ","2014-12-04 15:57:18.923"
"RABI","HORTICULTURE","Vegetables","Watermelon","	Plant Protection	","VARIEIES OF WATERMELON","SUGARBABY,ARKAJYOTHI,ARKAMANIK,DURGAPUR KESAR,DURGAPUR MEETA","TELANGANA","NALGONDA","VEMULA PALLY","2014-12-05 11:04:00.960"
"RABI","AGRICULTURE","Millets","Maize (Makka)","Varieties","MAIZE VARIETIES FOR RABI","DSH-117,113","TELANGANA","NALGONDA","ATMAKUR(M)","2014-12-07 07:33:18.457"
"RABI","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","stem borer in maize","CARBOFURAN(FURADAN,TATAFURAN)3 KG PER ACRE","TELANGANA","NALGONDA","VEMULA PALLY","2014-12-07 16:18:50.260"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 16:48:21.907"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 16:53:51.743"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 16:55:41.930"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 16:55:42.630"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 16:57:34.193"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 16:59:24.860"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 17:04:56.833"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 17:17:51.343"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 17:17:51.870"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 17:21:32.730"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 17:25:14.630"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 17:25:15.137"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 17:27:05.847"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 17:27:06.360"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 17:36:17.647"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 17:43:38.933"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Market Information","market rate","minimum 3580   maximum 4000  RS","TELANGANA","NALGONDA","CHANDUR                                           ","2014-12-07 17:47:19.850"
