"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Plantation Crops","Arecanut","Cultural Practices","QUERY REGADRING CULTURAL PRACTICE OF ARECANUT","EXPLAINED DETAILS","TRIPURA","DHALAI","AMBASSA                                           ","2014-11-01 09:35:35.990"
"RABI","HORTICULTURE","Vegetables","Tomato","Cultural Practices","CULTURAL PRACTICES IN TOMATO","EXPLAINED DETAILED ACCORDING TO THE PACKAGES PRACTICES","TRIPURA","DHALAI","MANU                                              ","2014-11-01 11:09:48.387"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ASKING ABOUT GOVERNMENT SCHEMES","ADVICE TO CONTACT WITH KVK","TRIPURA","DHALAI","DUMBURNAGAR                                       ","2014-11-03 13:30:40.380"
"RABI","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER REPORT","EXPLAIN DETAILS ACCORDING TO IMD REPORT","TRIPURA","DHALAI","AMBASSA                                           ","2014-11-06 14:54:33.287"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","MANAGEMENT OF FUSARIUM WILT IN CHILLY","RECOMMENDED HIM TO SPRAY CARBENDAZIM @2G/LT OF WATER","TRIPURA","DHALAI","DUMBURNAGAR                                       ","2014-11-06 19:32:49.557"
"RABI","HORTICULTURE","Flowers","Gerbera","Cultural Practices","QUERY REGARDING CULTURAL PRACTICE OF GERBERA","EXPLAINED DETAILS","TRIPURA","DHALAI","AMBASSA                                           ","2014-11-10 09:11:17.000"
"RABI","HORTICULTURE","Vegetables","Pointed Gourd","Cultural Practices","QUERY REGARDING CONTROL MEASURES OF FUNGAL WILT IN POINTED GOURD","RECOMMENDED TO CAPTAN @ 2 GM PER LITR OF WATER","TRIPURA","DHALAI","AMBASSA                                           ","2014-11-10 09:31:13.670"
"RABI","HORTICULTURE","Flowers","Cymbidium","	Plant Protection	","ASKING CONTROL OF LEAF SPOT IN CYMBIDIUM","APPLY BLITOX-50 @ 2 GRAM PER LITRE OF WATER","TRIPURA","DHALAI","AMBASSA                                           ","2014-11-12 11:52:00.043"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","Asking about the medicine for poultry.","Advice-Lixen powder-5 gm/lit. of water daily x5 days. Ostocalcium-5 ml/lit. of water daily x15 days. Ambiplex-5ml/lit. of water daily x15 days.","TRIPURA","DHALAI","DUMBURNAGAR                                       ","2014-11-12 12:06:24.500"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Query about disease management in cauliflower","i suggested him to spray carbendazim @ 2G/LT of water thrice in 15 days","TRIPURA","DHALAI","DUMBURNAGAR                                       ","2014-11-22 21:10:05.453"
"RABI","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","Management of Downey mildew in cucumber.","I suggest him to spray Dithane M-45 @ 2 gram per litre of water 3 times at 5 days interval.","TRIPURA","DHALAI","AMBASSA                                           ","2014-11-23 17:50:04.413"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","CONTROL MEASURES OF BLIGHT","ADVICE TO SPRAY INDOFIL M 45 @ 2 GM/L WATER","TRIPURA","DHALAI","AMBASSA                                           ","2014-11-27 14:25:33.313"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","FERTILIZER REQUIRMENT IN POTATO AS BASAL DOSE","APPLY UREA 19 KG, SSP 45 KG, MOP 12 KG AND COWDUNG 1 TON PER BIGHA AS BASAL DOSE","TRIPURA","DHALAI","AMBASSA                                           ","2014-11-28 07:32:21.483"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL OF WHITE FLY IN CHILLI","SPRAY MALATHION 50 EC @ 2 ML PER LITER OF WATER","TRIPURA","DHALAI","AMBASSA                                           ","2014-11-28 11:11:38.177"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","problem of aphids in tomato.","ADVISED HIM TO APPLY ROGOR 35 EC @ 2 ML / LITRE OF WATER.","TRIPURA","DHALAI","AMBASSA                                           ","2014-11-30 12:04:53.790"
