"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","ASKING CONTROL OF CATERPILLAR ATTACK IN CABBAGE","SPRAY SUPERKILLER @ 1 ML PER LITRE OF WATER","TRIPURA","NORTH TRIPURA","KADAMTALA                                         ","2014-11-05 13:08:56.160"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","Management of Aphids in Beans.","I suggest him to spray Classic 20 EC @ 2 ml per litre of water.","TRIPURA","NORTH TRIPURA","KADAMTALA                                         ","2014-11-06 14:50:01.227"
"RABI","HORTICULTURE","Vegetables","Dolichos Bean","	Plant Protection	","ASKING CONTROL MEASURE OF LEAF MINER ATTACK IN DOLICHOS BEAN","SPRAY MATADOR @ 1 ML PER LITRE OF WATER","TRIPURA","NORTH TRIPURA","KADAMTALA                                         ","2014-11-07 10:25:41.860"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","ASKING ABOUT MANAGEMENT OF FLOWER DROPPING IN BEANS","RECOMMENDED HIM TO SPRAY MONTEX PGR @1ML/LT AND BORAX 200G/PLANT WHICH WILL REDUCES THE FLOWER DROPPING","TRIPURA","NORTH TRIPURA","GOURNAGAR                                         ","2014-11-07 14:30:37.187"
"RABI","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","asking about the managenment of pest and inducing flower rate in cucumber","recommended her to spray decis @ 2ml/lt for pest and montex @ 1ml/lt of water for increasing flowering rate.","TRIPURA","NORTH TRIPURA","DAMCHERRA                                         ","2014-11-10 19:01:07.097"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Management of Late Blight in Tomato.","I suggest him to spray Bavistin @ 2 gram per litre of water 3 times at 5 days interval.","TRIPURA","NORTH TRIPURA","PANISAGAR                                         ","2014-11-10 19:40:33.710"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Management of Leaf spot in Brinjal","I suggest him to spray Blitox 50 @ 2.5 gram per litre of water 3 times atb 5 days interval.","TRIPURA","NORTH TRIPURA","KADAMTALA                                         ","2014-11-12 18:03:09.533"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT SEED TREATMENT","ADVICE TO SEED TREATMENT WILTH INDOFIL M 45 @ 2 GM/L WATER","TRIPURA","NORTH TRIPURA","DASDA                                             ","2014-11-13 13:11:51.993"
"RABI","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","QUERY FROM DISEASE MANAGEMENT IN POULTRY FARM","CALL FORWARDED TO VETY EXPERT FOR FURTHER DETAILS","TRIPURA","NORTH TRIPURA","KUMARGHAT                                         ","2014-11-18 06:38:14.010"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","Management of aphid in beans.","I suggest him  to spray Rogor 50 EC @ 2 ml per litre of water.","TRIPURA","NORTH TRIPURA","GOURNAGAR                                         ","2014-11-19 18:26:56.063"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","Fertiliser Management for 5 year coconut.","I suggest him to apply 50 kg FYM, 320 gram UREA, 560 gram SSP, 1200 gram MOP and 300 gram Borax at the base of the plant.","TRIPURA","NORTH TRIPURA","KADAMTALA                                         ","2014-11-20 19:59:14.410"
"RABI","HORTICULTURE","Vegetables","Knol-Khol","	Plant Protection	","ASKING FOR CONTROL OF ROTTING","RECOMMENDED HIM TO APPLY BLITOX-50 @ 1 GRAM PER 5 LITRE OF WATER","TRIPURA","NORTH TRIPURA","JAMPUI HILLS                                      ","2014-11-21 18:30:22.900"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","QUERY ABOUT MANAGEMENT OF LATE BLIGHT IN POTATO","I SUGGESTED HIM TO SPRAY CARBENDAZIM @ 2G/ML OF WATER THRICE IN 10 DAYS","TRIPURA","NORTH TRIPURA","DAMCHERRA                                         ","2014-11-22 21:21:36.203"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","Fertilizer Use and Availability","ASKING ABOUT FERTILIZER DOSE","ADVICE TO APPLY UREA=5 KG,SSP=25 KG,MOP=7 KG/BIGHA","TRIPURA","NORTH TRIPURA","PANISAGAR                                         ","2014-11-26 18:04:43.450"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","ASKING ABOUT FERTILZER DOSE","ADVICE TO APPLY UREA=19 KG,SSP=45 KG,MOP=12 KG/BIGHA","TRIPURA","NORTH TRIPURA","GOURNAGAR                                         ","2014-11-27 14:55:13.853"
"RABI","AGRICULTURE","Others","Others","Market Information","QUERY ABOUT THE CULTIVATION OF MUSHROOM","I SUGGESTED HIM TO VISIT KVK AND ICAR RESEARCH CENTRE FOR FURTHER INFORMATION ABOUT THE CULTIVATION OF MUSHROOM","TRIPURA","NORTH TRIPURA","KUMARGHAT                                         ","2014-11-29 18:41:10.667"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING ABOUT PEST CONTROL","ADVICE TO SPRAY MALATHION 50 EC @ 2 ML/L WATER","TRIPURA","NORTH TRIPURA","DAMCHERRA                                         ","2014-11-30 09:40:17.390"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","ASKING ABOUT FRUIT DROP","ADVICE TO APPLY BORAX 50 GM/PLANT","TRIPURA","NORTH TRIPURA","KUMARGHAT                                         ","2014-11-30 19:21:44.520"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL MEASURES OF FRUIT ROT","ADVICE TO SPRAY AMISTER @ 1 ML/L WATER","TRIPURA","NORTH TRIPURA","DAMCHERRA                                         ","2014-11-30 20:07:14.417"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASKING ABOUT FRUIT ROT CONTROL","ADVICE TO SPRAY CAPTAN @  2 GM/L WATER","TRIPURA","NORTH TRIPURA","DAMCHERRA                                         ","2014-11-30 20:16:18.887"
