"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ASKING ABOUT BENEFITS OF KISAN CALL CENTER","YOU CAN TAKE ADVICE FOR ANY TYPE OF PROBLEM REGARDING AGRICULTURE,FISHERY AND VETENARY","TRIPURA","SOUTH TRIPURA","RUPAICHARI                                        ","2014-11-03 10:57:39.743"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ASKING ABOUT SOIL TESTING","ADVICE TO CONTACT WITH KVK","TRIPURA","SOUTH TRIPURA","AMARPUR                                           ","2014-11-04 08:07:48.710"
"RABI","HORTICULTURE","Vegetables","Potato","Nutrient Management","FERTILIZER DOSE OF POTATO","SUGGESTED FERTILIZER DOSE AS UREA-19KG,SSP-45KG,MOP-11KG/BIGHA","TRIPURA","SOUTH TRIPURA","SATCHAND                                          ","2014-11-05 20:04:42.717"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","ASKING FOR FERT DOSE OF RAINFED POTATO","RECOMMENDED HIM TO APPLY 11 KG UREA, 15 KG DAP AND 13 KG MOP PER BIGHA","TRIPURA","SOUTH TRIPURA","BOKAFA","2014-11-06 09:01:02.890"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL MEASURES OF CERCOSPORA LEAF SPOT","ADVICE TO SPRAY AMISTER @ 1ML/L WATER","TRIPURA","SOUTH TRIPURA","BOKAFA","2014-11-06 12:08:15.593"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","ASKING ABOUT ADVANTAGES AND DISADVANTAGES OF USING PESTICIDES","DETAILED EXPLAINED TO HIM ACCORDING AS PER THE TOXICOLOGY STUDIES","TRIPURA","SOUTH TRIPURA","RUPAICHARI                                        ","2014-11-07 13:52:26.603"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Asking about the Agricultural","Answer is transferred to Agri-expert","TRIPURA","SOUTH TRIPURA","RAJNAGAR                                          ","2014-11-12 11:07:28.907"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","Asking about the Agricultural","Answer is transferred to Agri-expert","TRIPURA","SOUTH TRIPURA","RAJNAGAR                                          ","2014-11-12 11:12:59.397"
"RABI","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","Management of Downey mildew in Cucumber.","I suggest him to spray either Metalyxl or Bavistin @ 2 gram per litre of water 3 times at 5 days interval.","TRIPURA","SOUTH TRIPURA","AMARPUR                                           ","2014-11-12 16:52:10.510"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL MESURES OF FUNGAL TREATMENT","ADVICE TO SPRAY AMISTER @ 1 GM/L WATER","TRIPURA","SOUTH TRIPURA","MATABARI                                          ","2014-11-14 11:09:12.077"
"RABI","HORTICULTURE","Plantation Crops","Arecanut","	Plant Protection	","CONTROL MEASURES OF POST HARVEST PROCESS FOR MAKING SUPARI","ADVICE TO BOIL IN WATER AND KEEP IT FOR SUN SHINE","TRIPURA","SOUTH TRIPURA","BOKAFA","2014-11-14 11:54:05.130"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL MEASURES OF FRUIT ROT","ADVICE TO SPRAY AMISTER @ 1 ML/L WATER","TRIPURA","SOUTH TRIPURA","HRISHYAMUKH                                       ","2014-11-14 12:01:23.960"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ASKING CONTROL OF ROOT ROT IN BRINJAL","DRENCH THE SOIL ALONG WITH ROOT PORTION WITH BLITOX-50 @ 2 GRAM PER LITRE OF WATER","TRIPURA","SOUTH TRIPURA","OMPI                                              ","2014-11-14 18:23:57.690"
"RABI","HORTICULTURE","Vegetables","Ash Gourd (Petha)","	Plant Protection	","asking about the plant protection in ash gourd","explained in details","TRIPURA","SOUTH TRIPURA","RAJNAGAR                                          ","2014-11-17 20:12:44.823"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ASKING CONTROL MEASURE OF ROOT ROT IN BRINJAL","DRENCH THE SOIL ALONG WITH ROOT PORTION WITH BLITOX-50 @ 2 GRAM PER LITRE OF WATER","TRIPURA","SOUTH TRIPURA","OMPI                                              ","2014-11-17 20:41:01.287"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ASKING ABOUT THE CONTROL OF YELLOWING OF LEAF.","SUGGESTED TO APPLY BAVISTIN @2GM PER LITRE OF WATER.","TRIPURA","SOUTH TRIPURA","HRISHYAMUKH                                       ","2014-11-19 09:20:36.233"
"RABI","HORTICULTURE","Vegetables","Potato","Nutrient Management","ASKING USE OF MICRONUTRIENT PRODUCT IN POTATO CULTIVATION","APPLY MULTIPLEX POTATO @ 2 GRAM PER LITRE OF WATER 40-45 DAYS AFTER PLANTING","TRIPURA","SOUTH TRIPURA","HRISHYAMUKH                                       ","2014-11-19 15:46:06.837"
"RABI","HORTICULTURE","Medicinal and Aromatic Plants","Betel Vine","	Plant Protection	","Management of Phytophthora wilt in Betel vine.","I suggest him to apply Trichoderma viride @ 5 gram per plant","TRIPURA","SOUTH TRIPURA","RAJNAGAR                                          ","2014-11-19 19:14:44.820"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","ASKING SEED TREATMENT METHOD OF POTATO","SOAK THE SEEDS IN THE SOLUTION OF INDOFIL M-45 @ 2 GRAM PER LITRE OF WATER FOR 10-15 MINUTES AND THEN SHADE DRY","TRIPURA","SOUTH TRIPURA","SATCHAND                                          ","2014-11-20 12:20:39.527"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","ASKING ABOUT PEST CONTROL IN CAULIFLOWER.","SUGGESTED TO SPRAY MALATHION TO CONTROL PEST IN POTATO.","TRIPURA","SOUTH TRIPURA","MATABARI                                          ","2014-11-20 17:55:55.677"
"RABI","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","HORTICULTURE RELATED PROBLEM.","TRANSFER TO HORTICULTURE EXPERT.","TRIPURA","SOUTH TRIPURA","BOKAFA","2014-11-20 18:35:05.440"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","ASKING FOR NAME OF VAR OF ONION","RECOMMENDED HIM PREMA","TRIPURA","SOUTH TRIPURA","BOKAFA","2014-11-20 18:37:36.093"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","ASKING VARIETY OF MUSTARD","GROW VARIETY OF MUSTARD LIKE-TS-36,M-27,TS-38","TRIPURA","SOUTH TRIPURA","SATCHAND                                          ","2014-11-21 16:19:18.337"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","Fertilizer Use and Availability","ASKING ABOUT FERTILIZER DOSE","ADVICE TO APPLY UREA=11 ,SSP=29,MOP=3 KG/BIGHA","TRIPURA","SOUTH TRIPURA","RUPAICHARI                                        ","2014-11-22 12:55:34.030"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","Query about the  mango  fruits in bengali","call transferred to the bengali expert","TRIPURA","SOUTH TRIPURA","BOKAFA","2014-11-22 20:08:04.337"
"RABI","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","query about the disease management in chicken","call transfered to the veterinary expert","TRIPURA","SOUTH TRIPURA","MATABARI                                          ","2014-11-23 14:43:26.550"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","CONTROL OF STEM ROT IN PEA","SPRAY BLITOX 50 @ 2 GM PER LITER OF WATER","TRIPURA","SOUTH TRIPURA","BOKAFA","2014-11-23 20:43:39.147"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ASKING ABOUT KCC LOAN","ADVICE TO CONTACT WITH NEASREST NATIONALISED BANK","TRIPURA","SOUTH TRIPURA","SATCHAND                                          ","2014-11-24 17:31:09.550"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","CONTROL MEASURES OF BACTERIAL WILT","ADVICE TO SPRAY STREPTOMYCIN @ 1 GM/10 L WATER","TRIPURA","SOUTH TRIPURA","BOKAFA","2014-11-24 17:36:05.450"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ASKING FOR THE CONTROL OF CUT WORMS IN POTATO","RECOMMENDED TO SPRAY DESIS @ 2GM PER LITRE OF WATER","TRIPURA","SOUTH TRIPURA","RAJNAGAR                                          ","2014-11-26 07:51:49.967"
