"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","MANAGEMENT OF SOIL DWELLER INSECT PESTS","RECOMMENDED HIM TO APPLY MALATHION 5 D 500G/SQ METRE","TRIPURA","WEST TRIPURA","MOHANPUR                                          ","2014-11-01 10:15:22.937"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","asking about pest management in paddy","transfer to the bengali expert","TRIPURA","WEST TRIPURA","BISHALGARH                                        ","2014-11-01 10:38:43.387"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","MANAGEMENT OF DISESAES IN CAULIFLOWER AFTER TRANSPLANTING","RECOMMENDED HIM TO  SPRAY BAVISTIN 2G/LT OF WATER THRICE IN 15 DAYS INTERVAL","TRIPURA","WEST TRIPURA","BISHALGARH                                        ","2014-11-01 10:47:28.640"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","HORTICULTURE RELATED PROBLEM.","TRANSFER TO HORTICULTURE EXPERT.","TRIPURA","WEST TRIPURA","KHOWAI                                            ","2014-11-01 11:07:32.083"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about the weather report","Answer is given in details.Rainfall-0 mm, Max. temp.-29 degree c, Min. temp.-19 degree c.","TRIPURA","WEST TRIPURA","DUKLI                                             ","2014-11-01 12:22:55.993"
"RABI","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","ASKING ABOUT LEAF ROT IN BEAN.","SUGGESTED TO SPRAY BAVISTIN @ 2 GM/LITER OF WATER AND THEN SPARY.","TRIPURA","WEST TRIPURA","MOHANPUR                                          ","2014-11-02 15:30:39.407"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","ASKING ABOUT PREMATURE DROPPING IN MANGO","RECOMMENDED HIM TO APPLY MONTEX 1ML/LT OF WATER","TRIPURA","WEST TRIPURA","KHOWAI                                            ","2014-11-02 17:13:56.027"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","ASKING ABOUT PEST AND DISEASE MANAGEMENT IN BLACK GRAM AND CHILLY","RECOMMENDED HIM TO SPRAY BT VAR KURSTAKI @ 5G/LT OF WATER IN BLACK GRAM AND CARBENDAZIM IN CHILLY @ 2G/LT THRICE IN 15 DAYS INTERVAL","TRIPURA","WEST TRIPURA","BISHALGARH                                        ","2014-11-03 08:51:19.547"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","MANAGEMENT OF RODENT IN THE PADDY FIELD","RECOMMENDED HIM TO BUY ZINC PHOSPHIDE OR BROMODIOLONE AND APPLY IN THE LIVE BURROWS","TRIPURA","WEST TRIPURA","MOHANPUR                                          ","2014-11-03 11:44:35.777"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","CONTROL MEASURES OF CATERPILLERS","ADVICE TO SPRAY MALATHION 50 EC @ 2 ML/L WATER","TRIPURA","WEST TRIPURA","JIRANIA                                           ","2014-11-04 07:38:51.633"
