"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mosam ke bare batye","badal rhe ge","UTTAR PRADESH","AGRA","KHERAGARH                                         ","2014-11-01 11:29:55.643"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ALU ME KHAR PATAVAR HO RAHA HAI","Pendimethalin @3.75lit /ha KA CHHIDKAV KARE","UTTAR PRADESH","AGRA","JAITPUR KALAN                                     ","2014-11-01 11:55:54.490"
"RABI","AGRICULTURE","Others","Others","Weather","mausam kee jankari chahiye","Aapake yahan 07 November tak  mausam saaf rahega","UTTAR PRADESH","AGRA","KHERAGARH                                         ","2014-11-01 12:41:04.483"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","Gehun kee prajatiyan batayen","Gehun kee prajatiyan-WH-1105,PBW-343,UP-2338,UP-2382,PBW-502,DBW-17,PBW-550","UTTAR PRADESH","AGRA","KHERAGARH                                         ","2014-11-01 12:43:24.497"
"KHARIF","AGRICULTURE","Cereals","Wheat","Cultural Practices","wheat ki variety ki jankri","HD- 2967","UTTAR PRADESH","AGRA","KHERAGARH                                         ","2014-11-01 12:43:37.843"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","genhu ki prajati bataye","DBW-17,HD-2967,,pendimethileen- 3.3 liter/hectare","UTTAR PRADESH","AGRA","FATEHABAD                                         ","2014-11-01 14:47:50.480"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ONION SEED CENTER BATAO..?","KISAN BHAI D.H.O.CENTER SE SAMPARK KARE.","UTTAR PRADESH","AGRA","SHAMSABAD                                         ","2014-11-01 19:49:49.773"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Potato me fertilizer dose kya dale","Kisan bhai 120 kg nitrogen, 60 kg phosphorus, 60 kg potash /hectayer dale","UTTAR PRADESH","AGRA","ETMADPUR                                          ","2014-11-01 20:02:46.227"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","genhu me fertilizer dose kya dale","Kisan bhai 120 kg nitrogen, 60 kg phosphorus, 60 kg potash /hectayer dale","UTTAR PRADESH","AGRA","ETMADPUR                                          ","2014-11-01 20:04:30.310"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","alu ki kism bta de","alu ki kism - kufari badshah, kufri alankar, kufari bhar, kufari pukhraj, kufari chandramukhi","UTTAR PRADESH","AGRA","SHAMSABAD                                         ","2014-11-02 15:14:05.033"
"RABI","HORTICULTURE","Fruits","Guava","	Plant Protection	","amrudh ke paudhe per dag hai","Copper Oxychloride 50%WP 3 gram / liter pani ka spray kare","UTTAR PRADESH","AGRA","FATEHABAD                                         ","2014-11-02 15:28:50.547"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism bta de","gehu ki kism- DBW-17,PBW-343,PBW550,502,PBW373,HD-2967","UTTAR PRADESH","AGRA","ETMADPUR                                          ","2014-11-02 20:25:18.900"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism bta de","gehu ki kism- DBW-17,PBW-343,PBW550,502,PBW373,HD-2967","UTTAR PRADESH","AGRA","AKOLA                                             ","2014-11-03 11:14:10.820"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","alu ka sodhan kisase kare","3 % boric acid se sodhit kare","UTTAR PRADESH","AGRA","FATEHPUR SIKRI                                    ","2014-11-03 20:02:45.920"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","GEHU KI KISM KON SI HAI","k.-9107,h.p.-1731,narendra gehu-1012,h.u.w.-468,510,h.d.-2824,2967,p.v.w.-502,d.b.dablu.-17","UTTAR PRADESH","AGRA","FATEHPUR SIKRI                                    ","2014-11-03 21:02:24.500"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","Varieties","varieties of barley","Azad K-125, K-141, lakhan, haritma","UTTAR PRADESH","AGRA","KHANDAULI                                         ","2014-11-03 21:23:21.503"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","AALU ME SADIAN HAI KYA KARE","AALU ME DUBARA SE LAGAYE","UTTAR PRADESH","AGRA","FATEHPUR SIKRI                                    ","2014-11-04 10:30:14.620"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JANAKRI DE","AAJ KAL MAUSAM SAAF HAI","UTTAR PRADESH","AGRA","JAGNER                                            ","2014-11-04 14:11:34.170"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehun ki variety","pi.bi.dablu 343,pi.bi.dablu 550","UTTAR PRADESH","AGRA","JAGNER                                            ","2014-11-04 14:16:58.327"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jaankri de","aaj kal mausam saaf hai","UTTAR PRADESH","AGRA","FATEHPUR SIKRI                                    ","2014-11-04 19:07:01.980"
"RABI","AGRICULTURE","Others","Others","	Water Management	","khet ki 2 feet mitti nikali hai  to niche kankad mila hai kaun si phasal lagaye","masoor ,chana, jau  laga sakte hai","UTTAR PRADESH","AGRA","SHAMSABAD                                         ","2014-11-04 20:19:49.523"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","bhais bimar hai","1800 180 5141 par sampark kare","UTTAR PRADESH","AGRA","SHAMSABAD                                         ","2014-11-04 20:39:10.477"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","WHEAT VARIETY BATAO..?","PBW-343,UP-2425,DBW-17,UP-2382,K-9107.","UTTAR PRADESH","AGRA","SHAMSABAD                                         ","2014-11-04 21:21:56.363"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me kharpatwar ke liye kaun si dawa hai","oxy florfen 23.55%  300 ml/acre prayog karen","UTTAR PRADESH","AGRA","ACHHNERA                                          ","2014-11-05 11:05:27.567"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","POTATO SEED TREATMENT KISSE KARE ?","VITAVEX 200 GRAM/ACRE","UTTAR PRADESH","AGRA","BICHPURI                                          ","2014-11-05 12:53:22.190"
"RABI","HORTICULTURE","Vegetables","Potato","Water Management, Micro Irrigation","ALU ME NAMI KAM HAI ALU LAGA DEN","PANI LAGA DEN","UTTAR PRADESH","AGRA","SHAMSABAD                                         ","2014-11-05 13:08:22.253"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","GEHU KI KAUN SI PRAJATI UGAYEN","DBW 17 PRAJATI UGAYEN","UTTAR PRADESH","AGRA","KHERAGARH                                         ","2014-11-05 13:54:35.597"
"JAYAD","AGRICULTURE","Cereals","Wheat","Cultural Practices","VARITIES OF WHEAT","VARITIES ARE HD-2733,DBW-17,PBW-343 & HP-1731","UTTAR PRADESH","AGRA","KHERAGARH                                         ","2014-11-05 14:07:01.043"
"KHARIF","HORTICULTURE","Vegetables","Potato","Field Preparation","AALO MAI GHAAS","Spray Gramaxone @ 2.5 lit/ha in 500 lit of water as post – emergence.","UTTAR PRADESH","AGRA","FATEHPUR SIKRI                                    ","2014-11-05 16:14:44.067"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","gehu ki acchi upaj dene wali variety bataye","PBW-343, UO-2338, K-307 aur HD-2687 ye gehu ki variety hai","UTTAR PRADESH","AGRA","AKOLA                                             ","2014-11-05 16:34:42.710"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","baegan me kit lge hai","baegan me- trizofas @ 3 ml / liter pani, gehu ki kism- PBW-550,PBW-502,PBW-343","UTTAR PRADESH","AGRA","SHAMSABAD                                         ","2014-11-05 18:00:47.753"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","alu ki jankari","alu ki jankari di gai","UTTAR PRADESH","AGRA","SHAMSABAD                                         ","2014-11-05 20:50:56.230"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu me ghass ki dwa ko bataye","???????????? 30 % EC @ 3.30 ????/600 ???? ???? ?? ?? ???????? ?? ????? ?? ????? ??? ?? ???? ?? ???? ?????? ???","UTTAR PRADESH","AGRA","BARAULI AHIR                                      ","2014-11-06 07:44:08.697"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","alu me weed control","metribyujin 100gram/acre","UTTAR PRADESH","AGRA","BAH                                               ","2014-11-06 12:14:31.640"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","genhu me samsya hi","mitti ki janch karwain","UTTAR PRADESH","AGRA","AKOLA                                             ","2014-11-06 15:02:46.077"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki unnati kism bataye","gehu ki  unnatishil kism: pbw-343, dbw-17, up-2382,pbw-443, pbw-550,pbw-502,","UTTAR PRADESH","AGRA","FATEHABAD                                         ","2014-11-06 15:20:09.140"
"RABI","AGRICULTURE","Others","Others","Weather","Mousam ki jankari leni hai","Aaj Mousam saf rhega varsha ki sammbhawnanhi hai","UTTAR PRADESH","AGRA","FATEHPUR SIKRI                                    ","2014-11-06 15:43:54.653"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","Allu mai sichai kab kare","Nami banaye rakhe","UTTAR PRADESH","AGRA","SHAMSABAD                                         ","2014-11-06 16:19:01.990"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","saraso ki jad kali hai","Carbendazim 12% + Mancozeb 63% WP 400gram/acre","UTTAR PRADESH","AGRA","SAIYAN                                            ","2014-11-06 16:21:58.037"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism kon si h","kisan bhai gehu ki kism ke liye pbw 343,pbw443,wh 147,malviya 12,hd 2329 ki bobai kre","UTTAR PRADESH","AGRA","KHANDAULI                                         ","2014-11-06 16:23:15.727"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ke anudaan ke liye kaha jayen","kisan bhai sarkari beej par jayen","UTTAR PRADESH","AGRA","SAIYAN                                            ","2014-11-06 17:22:30.960"
"RABI","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","brinjal ki jjankari ke liye","Spray 2 ppm (1 ml in 500 lit) Triacontanol plus Sodium Borate or Borax 35 mg/l of water 15 days after transplanting and at the time of full bloom to increase the yield.","UTTAR PRADESH","AGRA","KHERAGARH                                         ","2014-11-07 11:48:06.303"
