"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Wheat","Market Information","ASKING ABOUT MANDI ALERT","MESSAGE ALERT ACTIVATED","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-11-01 09:36:35.310"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","SMS LAGAVANI HAI","SMS SEVA CHALU KAR DI GAI HAI","UTTAR PRADESH","AMBEDKAR NAGAR","BHIYAWAN                                          ","2014-11-01 10:29:19.347"
"RABI","AGRICULTURE","Cereals","Oats ","	Water Management	","mausam ki jankari","badal rahega","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-11-01 11:52:38.643"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","genhu ki DBW-17 prjati kaisi hai","DBW-17 achhi prajati hai, upaj-65 quintal/ha hai","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-11-01 12:41:02.467"
"JAYAD","AGRICULTURE","Pulses","Faba Bean (Horse Bean/windsor Bean)","	Plant Protection	","gehu ki variety batye","dvw-17,pbw-343,502, 550 HD -2967","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-11-01 12:58:57.080"
"RABI","AGRICULTURE","Others","Others","Government Schemes","message hatwana hai","message alert hata  diya hai","UTTAR PRADESH","AMBEDKAR NAGAR","BASKHARI                                          ","2014-11-01 13:41:50.310"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","POTATO KI VARIETY..?","KUFARI-CHIPSONA,KUFARI SEETMAN.","UTTAR PRADESH","AMBEDKAR NAGAR","BHIYAWAN                                          ","2014-11-01 17:21:17.123"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Agriculture Mechanization","bhindi ki kheti ki jankari de","bhindi ki buwai February se march me karate hai","UTTAR PRADESH","AMBEDKAR NAGAR","BHITI                                             ","2014-11-02 11:01:07.103"
"RABI","AGRICULTURE","Others","Others","Seeds","mashrum ka seed kaha milega?","udyan bighan me sampark kare","UTTAR PRADESH","AMBEDKAR NAGAR","BHIYAWAN                                          ","2014-11-02 12:27:33.790"
"RABI","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-11-02 13:55:10.203"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","gehu ki unnat prajati batae","pbw-343,up-2338,pbw550","UTTAR PRADESH","AMBEDKAR NAGAR","JALAL PUR                                         ","2014-11-02 14:50:19.417"
"RABI","AGRICULTURE","Others","Others","Government Schemes","message sewa band karwani hai","kisan bhai aapke number ki sikayat darj kar di gyi hai","UTTAR PRADESH","AMBEDKAR NAGAR","RAM NAGAR                                         ","2014-11-02 16:29:14.710"
"RABI","HORTICULTURE","Fruits","Aonla","	Plant Protection	","aonla  me phul gir jate hai","PLANOFIX 1ML/4 LITR PANI ME MILA KAR SPRAY KARE","UTTAR PRADESH","AMBEDKAR NAGAR","JALAL PUR                                         ","2014-11-02 16:33:55.990"
"RABI","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","AMBEDKAR NAGAR","RAM NAGAR                                         ","2014-11-02 16:36:41.070"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch ki ppatti sikur rhi hai","mirch me- acidamaiprid @ 30 gm / ecar","UTTAR PRADESH","AMBEDKAR NAGAR","JALAL PUR                                         ","2014-11-02 17:41:56.747"
"RABI","AGRICULTURE","Others","Others","Storage","bakhari ke baare me janklari de","aap up agro industries par sampark kare","UTTAR PRADESH","AMBEDKAR NAGAR","BHIYAWAN                                          ","2014-11-02 20:24:18.677"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","gehu ki jankari de","gehu ki vistarit jankari di gai","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-11-02 20:42:35.690"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","genhu ki prajati bataye","genhu ki prajati – HD-2967, DBW-17, k-307(shatabdi),PBW-343,373,550, SONALIKA","UTTAR PRADESH","AMBEDKAR NAGAR","JAHANGIR GANJ                                     ","2014-11-03 11:07:16.093"
"JAYAD","HORTICULTURE","Vegetables","Potato","Cultural Practices","potato  ki jankari  ke liye","potato  ki jankari di gayi hai","UTTAR PRADESH","AMBEDKAR NAGAR","RAM NAGAR                                         ","2014-11-03 11:08:15.863"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki janakari chahiye","aaj kal me bearish nahi hai","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-11-03 11:32:10.000"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","sms ki suvidhaa band karwani hai","aapke number se sms ki suvidhaa band kar di jayegi","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-11-03 15:08:21.817"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","chillies me virus laga hein","boric acid 2 gram + Imidachloprid 17.8% SL: 70-100 ml/acre","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-11-03 20:20:37.980"
"KHARIF","AGRICULTURE","Others","Others","Varieties","mousam ki jankari de","aapke yaha aaj halke baadal chaye rahenge lekin barsat ki koi sambhawna nahi hai","UTTAR PRADESH","AMBEDKAR NAGAR","BHITI                                             ","2014-11-04 07:53:26.717"
"KHARIF","AGRICULTURE","Others","Others","Market Information","mandi rate aur market information ki suvidha hamare number par laga de","aapke number par mandi rate ki suvidha laga di gayi hai","UTTAR PRADESH","AMBEDKAR NAGAR","BASKHARI                                          ","2014-11-04 08:16:23.803"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Weather","mausam ki jankari chahiy","mausam saph rahega varish nahi hogi","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-11-04 10:06:56.920"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","Allu mai ghas  ho jati hai","Nirai kare","UTTAR PRADESH","AMBEDKAR NAGAR","KATEHARI                                          ","2014-11-04 10:20:45.847"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","Deemak cantrol in mango plant","Cartap Hydrochloride 4G  ,35 gram /poudha","UTTAR PRADESH","AMBEDKAR NAGAR","BHIYAWAN                                          ","2014-11-04 11:34:51.113"
"RABI","AGRICULTURE","Others","Others","Market Information","mandi ki message subidha lena chahte h","kisan bhai aapke number pr mandi subidha di ja rhi h","UTTAR PRADESH","AMBEDKAR NAGAR","BHIYAWAN                                          ","2014-11-04 19:27:15.940"
"JAYAD","HORTICULTURE","Vegetables","Pea (Vegetable)","Cultural Practices","ASKING ABOUT SEED TREATMENT OF PEA","ANSWER GIVEN IN DETAIL","UTTAR PRADESH","AMBEDKAR NAGAR","BHITI                                             ","2014-11-04 21:06:27.857"
"RABI","HORTICULTURE","Flowers","Rose","Agriculture Mechanization","Gulab ke paudhe me phool nahi aa raha hai","gulab kee dusari kalam lagayen","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-11-04 21:11:32.240"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan gehu ke paudhe sukh jaate hai","bowaai se pehle beej aur bhumi sodhan karwaaye","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-11-05 06:18:30.097"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","insect laga hein","monocrotophas 36 % ec 2 ml /litre pani me spray","UTTAR PRADESH","AMBEDKAR NAGAR","BASKHARI                                          ","2014-11-05 06:46:06.103"
"RABI","HORTICULTURE","Fruits","Bail","	Plant Protection	","bail ke fal gir rhe hai","boron @ 2.0gram + calcium sulphate @ 2.0 gram prati liter pani ka spray kare","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-11-05 07:37:19.377"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","genhu ki  prajati  ki jankari ke liye","dbw- 17 , hd-2967 ki buvai kare","UTTAR PRADESH","AMBEDKAR NAGAR","JAHANGIR GANJ                                     ","2014-11-05 08:46:24.150"
"RABI","AGRICULTURE","Cereals","Wheat","Market Information","gehu ki varieties","PBW 343,PBW 550,PBW 502,DBW 17,HD 3043,UP 2382","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-11-05 08:53:43.077"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","MIRCH KI JAD KALI PAD RAHI HAI","Mancozeb 75% WP@ 400-600 gm/acre","UTTAR PRADESH","AMBEDKAR NAGAR","JALAL PUR                                         ","2014-11-05 13:04:25.330"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","baigan me kide lge h","kisan bhai baigan me kide ke liye  Quinalphos 20% ,1.5 ml/litre pani se spray kre","UTTAR PRADESH","AMBEDKAR NAGAR","JAHANGIR GANJ                                     ","2014-11-05 14:07:46.457"
"RABI","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","AMBEDKAR NAGAR","JAHANGIR GANJ                                     ","2014-11-05 14:45:10.810"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Varieties","masur ki kism bta de","masur ki kism - narendra masur-1, pant masur-3, bij ki matra - 20 kg / ecar","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-11-05 19:15:10.290"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","cabbage me insect laga hai","Dichlorvos 76% EC 300-350 mililiter/acre dava ka prayog kare","UTTAR PRADESH","AMBEDKAR NAGAR","JALAL PUR                                         ","2014-11-05 19:27:03.950"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","BUFFALO-FEVER PROBLEM..?","KISAN BHAI NAJDEEKI VETERINARY SURGEON SE SAMPARK KARE.","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-11-05 21:11:27.280"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","messege suvidha band kar dijiye","jankri di gayi","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-11-06 07:37:01.120"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","FERTILIZER DOSE OF MUSTARD","Apply urea 104 kilogram, ssp-100 kilogram, mop 26 kilogram per ekad","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-11-06 09:04:10.147"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","chna me kire lge hai kya kare","Monocrotophos 36% SL @ 2 ml / litar pani ka spray kare","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-11-06 10:21:13.113"
"RABI","AGRICULTURE","Others","Others","Government Schemes","mala ki jankari","mala ki jankari di gai","UTTAR PRADESH","AMBEDKAR NAGAR","JAHANGIR GANJ                                     ","2014-11-06 10:34:15.367"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","genhu ki kheti ke bare me jankari chahiye","genhu ki kheti ke bare me jankari di gai","UTTAR PRADESH","AMBEDKAR NAGAR","JALAL PUR                                         ","2014-11-06 11:38:22.670"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Variety of Wheat","variety of wheat ,DVW-39,PBW-343,PBW-343","UTTAR PRADESH","AMBEDKAR NAGAR","BHIYAWAN                                          ","2014-11-06 15:19:44.747"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","sms suvidha lagwana hi","sms suvidha laga di gyi hi","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-11-06 15:31:22.270"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehun ki jankari","gehun ki jankari di gai","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-11-06 15:37:48.077"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","mausam ki janakri de","aaj kal mausam saaf hai","UTTAR PRADESH","AMBEDKAR NAGAR","KATEHARI                                          ","2014-11-06 15:55:58.373"
"RABI","HORTICULTURE","Fruits","Aonla","Agriculture Mechanization","PROBLEM IN AONLA","PLANOFIX KO 1ML/4LITER KA SPREY KRE","UTTAR PRADESH","AMBEDKAR NAGAR","TANDA                                             ","2014-11-06 18:02:33.027"
"RABI","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","genhu ki buvai ka ucit samay kya hai","genhu ki buvai ka samay chal raha hai","UTTAR PRADESH","AMBEDKAR NAGAR","JAHANGIR GANJ                                     ","2014-11-06 20:29:16.080"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Dhaan me tide lage hai","Dhaan me tiddon ke niyantran ke liye melathiyan dust 5 % 10 kgs / acre ka burkav kare","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-11-07 07:42:33.463"
"RABI","HORTICULTURE","Vegetables","French Bean","Seeds and Planting Material","rajama ki buwai kar kare","rajama  ka bush type .beej  80-90 kg /hectear  lagata hai","UTTAR PRADESH","AMBEDKAR NAGAR","BASKHARI                                          ","2014-11-07 10:07:49.960"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","krishi upakaran par chhoot kanha se se milegi","krishi upkaran par chhoot ke liye krishi vibhag se sampark kare","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-11-07 10:14:40.333"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","GEHU ME KYA KHAD DALE","GEHU ME 1 BOREE UREA , 1.5 BOREE DAP,40 KILO POTASH, / ACRE","UTTAR PRADESH","AMBEDKAR NAGAR","AKBARPUR                                          ","2014-11-07 10:24:37.643"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki kisme BATAYE","gehu ki kisme- DVW-17,PBW-502,UP-2382,PBW-343,","UTTAR PRADESH","AMBEDKAR NAGAR","BHITI                                             ","2014-11-07 10:32:03.353"
