"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","mosam ki jankari","mosam saf rahega baris nahi hogi","UTTAR PRADESH","AURAIYA","BHAGYANAGAR                                       ","2014-11-01 10:02:41.517"
"RABI","HORTICULTURE","Vegetables","Potato","Field Preparation","aalu ki jankari de","aalu ki vistarit jankari di gai","UTTAR PRADESH","AURAIYA","BIDHUNA                                           ","2014-11-01 11:36:04.610"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jaankari","MAUSAM SAAF HAI","UTTAR PRADESH","AURAIYA","ERWA KATRA                                        ","2014-11-01 11:49:28.210"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","SMS LAGVANA HAI","SMS LAGGAYA HAI","UTTAR PRADESH","AURAIYA","ERWA KATRA                                        ","2014-11-01 11:51:13.307"
"RABI","AGRICULTURE","Others","Others","Weather","MASUAM KI JANRKI CHAHIYE","AAJ KAL ME BAARISH NHI HAI","UTTAR PRADESH","AURAIYA","ACHCHALDA                                         ","2014-11-01 13:10:59.980"
"KHARIF","AGRICULTURE","Others","Others","Varieties","sarso(kali)ki variety bataye","maya,rohini,varuna aur aasirvaad ye sarso ki kisme hai","UTTAR PRADESH","AURAIYA","AURAIYA                                           ","2014-11-01 13:47:43.493"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Sowing Time and Weather","CHANA KI BUAI KARNI HAIN..?","KISAN BHAI 15 NOVEMBER TAK UDAY PRAJATI KI BUAI KARE.","UTTAR PRADESH","AURAIYA","BHAGYANAGAR                                       ","2014-11-01 15:02:40.283"
"KHARIF","HORTICULTURE","Vegetables","Potato","Field Preparation","AALO MAI GHAAS KI DAVA","Spray Gramaxone @ 2.5 lit/ha in 500 lit of water as post – emergence.","UTTAR PRADESH","AURAIYA","SAHAR                                             ","2014-11-01 18:51:28.290"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu ki parjati bataye?","WH-1021,HD-2967,PBW-550,DBW-17","UTTAR PRADESH","AURAIYA","SAHAR                                             ","2014-11-01 21:19:43.747"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","genhu ki prajati bataye","DBW-17,PBW-502,550, HD-2967","UTTAR PRADESH","AURAIYA","BHAGYANAGAR                                       ","2014-11-03 13:41:32.797"
