"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","pasupalan ke bare batye","18001805141 pasupalan ke bare","UTTAR PRADESH","AZAMGARH","MOHAMMADPUR                                       ","2014-11-01 12:10:13.217"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","baegan banjha rha hai","baegan ki jar me amino acid 2 gm / plant de aur TIBA- 2 ml / 6 liter pani ka spray kre","UTTAR PRADESH","AZAMGARH","KOILSA                                            ","2014-11-01 15:03:08.497"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","sms ki jankari","sms sewa lagi hai","UTTAR PRADESH","AZAMGARH","KOILSA                                            ","2014-11-01 15:43:07.243"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","VARIETY OF WHEAT","variety of wheat ,DVW-39,PBW-343,PBW-502","UTTAR PRADESH","AZAMGARH","TARWA                                             ","2014-11-01 20:02:07.273"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","onion ki unnat prajati bataye","EAST-west seed co.-prema,prerna, Agrifound light red, Nasik red,pusa red, kalyanpur red","UTTAR PRADESH","AZAMGARH","KOILSA                                            ","2014-11-02 11:19:31.893"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","Variety of Mustard","Narendra swrna rai-8, Rohni, Kranti ,Variety of Mustard","UTTAR PRADESH","AZAMGARH","KOILSA                                            ","2014-11-02 13:55:54.550"
"RABI","AGRICULTURE","Others","Others","Crop Insurance","phasal bima ki jankari de","phasal bima ke liye up krishi nideshak karyalay azamgarh ,sampark kare","UTTAR PRADESH","AZAMGARH","MEHNAGAR                                          ","2014-11-02 14:44:27.637"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kisme bataye","gehu ki kisme- dvw-17,pbw-502,up-2382,pbw-343,","UTTAR PRADESH","AZAMGARH","MARTINGANJ                                        ","2014-11-02 16:58:41.663"
"RABI","HORTICULTURE","Vegetables","Potato","Field Preparation","aalu ki jankari de","aalu ki vistarit jankari di gai","UTTAR PRADESH","AZAMGARH","THEKMA                                            ","2014-11-02 19:18:35.987"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","gehu ki jankari de","gehu ki vistarit jankari di gai","UTTAR PRADESH","AZAMGARH","TAHBARPUR                                         ","2014-11-02 20:54:25.887"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","GEHU KI ASHINCHIT VARIETY BATAYEN","MAGHAR,HD-2888,HDR-77, K-8027 PRAJATI UGAYEN","UTTAR PRADESH","AZAMGARH","MEHNAGAR                                          ","2014-11-03 12:39:32.920"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","any contact number of animal helpline","9415558115","UTTAR PRADESH","AZAMGARH","PHULPUR                                           ","2014-11-03 15:20:30.240"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","gobhi me galan ho rhi hai","hexaconazole @ 1.5 ml/liter pani + streptocyline @ 1.0 gram / tanki pani ka spray kare","UTTAR PRADESH","AZAMGARH","PALHANI                                           ","2014-11-03 15:27:26.550"
"JAYAD","AGRICULTURE","Cereals","Wheat","Cultural Practices","VARITIES OF WHEAT","VARITIES ARE HD-2733,PBW-343,HP-1731 & PBW-443","UTTAR PRADESH","AZAMGARH","AHIRAULA                                          ","2014-11-03 20:20:31.613"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","WHEAT KI VARIETY..?","PBW-343,PBW-502,UP-2382,","UTTAR PRADESH","AZAMGARH","ATRAULIA                                          ","2014-11-03 20:39:39.787"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","Weather condition of forcast","Clean weather condition","UTTAR PRADESH","AZAMGARH","TAHBARPUR                                         ","2014-11-04 06:15:16.153"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Potato Me Blight Laga Hai","Carbendazim 12% + Mancozeb 63% Wp 300-400 Gm/acre dawa ka prayog kare","UTTAR PRADESH","AZAMGARH","JAHANAGANJ                                        ","2014-11-04 06:33:06.090"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","wheat variety ?","pbw-502,pbw-502","UTTAR PRADESH","AZAMGARH","HARAIYA                                           ","2014-11-04 06:37:36.740"
