"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","French Bean","	Plant Protection	","sem ke phul sukh rahe hai","planofix 1 ml/4 li pani ke saath milaakar spray kare","UTTAR PRADESH","BADAUN","SAMRER                                            ","2014-11-01 09:15:02.843"
"RABI","AGRICULTURE","Others","Others","Weather","mausam I janakri chahiye","aaj kal me bearish nahi hai","UTTAR PRADESH","BADAUN","ISLAMNAGAR                                        ","2014-11-01 09:52:09.300"
"RABI","HORTICULTURE","Fruits","Mulberry","Water Management, Micro Irrigation","mausam ki jankari","badal rahega","UTTAR PRADESH","BADAUN","AMBIAPUR                                          ","2014-11-01 09:55:34.900"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ke baare me bataye","baarish ki koi sambhaavna nahi hai halke baadal chaaye rahenge","UTTAR PRADESH","BADAUN","AMBIAPUR                                          ","2014-11-01 09:57:53.050"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JAAN KARI","MAUSAM SAAF HAI","UTTAR PRADESH","BADAUN","ISLAMNAGAR                                        ","2014-11-01 10:52:30.957"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki janrki chahiye","aaj kal me bearish nahi hai","UTTAR PRADESH","BADAUN","ISLAMNAGAR                                        ","2014-11-01 11:47:49.177"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mosam ke bare batye","badal rhe he","UTTAR PRADESH","BADAUN","SAHASWAN                                          ","2014-11-01 12:14:05.600"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki veriety bataie ?","hd 2967,pbw343,up2338,dbw17","UTTAR PRADESH","BADAUN","BISAULI                                           ","2014-11-01 12:23:35.383"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JANAKRI DE","AAJ KAL MAUSAM SAAF HAI","UTTAR PRADESH","BADAUN","MION                                              ","2014-11-01 13:12:32.953"
"RABI","AGRICULTURE","Others","Others","Government Schemes","panjikrat karbana hai","kar diya hai","UTTAR PRADESH","BADAUN","SAHASWAN                                          ","2014-11-01 13:47:37.607"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","sarso  ka paudha such raha hai","kesugamaicyan 3%  2.5 ml/liter pani ke dar se spray ,  Triazophose 40% EC 2 ml/liter pani ke dar se spray","UTTAR PRADESH","BADAUN","DATAGANJ                                          ","2014-11-01 14:09:42.960"
"RABI","AGRICULTURE","Oilseeds","Brown Sarson","Cultural Practices","SARSON ME WEED HAI","SARSON KI NIRAI KARE","UTTAR PRADESH","BADAUN","UJHANI                                            ","2014-11-01 15:05:08.780"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","WHEAT ME FERTILIZER KI MATRA","APPLY N:P:K 120:60:40 KG /HAC","UTTAR PRADESH","BADAUN","UJHANI                                            ","2014-11-01 17:15:44.183"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","genhu ki prajati bataye","DBW-17, pbw-502,550,up-2338, pbw-343,","UTTAR PRADESH","BADAUN","BISAULI                                           ","2014-11-01 19:23:53.190"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu me kaun  si khad dale","proper jankari di gayi","UTTAR PRADESH","BADAUN","MION                                              ","2014-11-01 20:46:39.460"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","gehu ki jankari de","gehu ki vistarit jankari di gai","UTTAR PRADESH","BADAUN","USAWAN                                            ","2014-11-02 17:34:06.760"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","gehu me krptvar ki dva bta de","gehu me-salfosalfeuran + met saluran mithail @  16 gm / ecar","UTTAR PRADESH","BADAUN","JUNAWAI                                           ","2014-11-02 20:14:35.917"
"RABI","AGRICULTURE","Others","Others","Weather","badaun ka mosam","mosam saaf rahaga","UTTAR PRADESH","BADAUN","ISLAMNAGAR                                        ","2014-11-02 20:36:23.173"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","MAUSAM KI JANKARI CHAHIY","MAUSAM SAPH RAHEGA VARISH NAHI HOGI","UTTAR PRADESH","BADAUN","DAHGAVAN                                          ","2014-11-03 12:24:57.020"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Weather","MAUSAM KI JANKARI CHAHIY","MAUSAM SAPH RAHEGA VARISH NAHI HOGI","UTTAR PRADESH","BADAUN","DAHGAVAN                                          ","2014-11-03 13:25:44.273"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tamatr me kit lge hai","tamatr me- traizofas 40% @ 3 ml / liter pani 3 din bad- amino acid @ 5 ml / liter pani","UTTAR PRADESH","BADAUN","BISAULI                                           ","2014-11-03 13:40:13.400"
