"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankri chahiye","aap ke yahaa bearish nahi hai","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-11-01 11:27:48.470"
"RABI","HORTICULTURE","Vegetables","Potato","Crop Insurance","potato ki cultivation","boric acid 2 gram /litre pani me spray","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-11-01 13:43:29.290"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mandi ki jankari","mandi ki sewa lagi hai aap ke number pe","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2014-11-01 17:44:50.470"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism bta de","gehu ki kism - DBW-17,PBW-343,443,550,373","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-11-01 19:38:50.097"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","genhu ki prajati bataye","genhu ki prajati - k-307(shatabdi),PBW-343,373,550, SONALIKA","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-11-01 21:02:25.170"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganeeme insect ki samasya hai","fatera 4-5 kg /ekar ,Carbendazim 12% + Mancozeb 63% WP,300-400 gram dava /ekar 200 liter pani m spray kare","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2014-11-02 15:15:33.090"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki janakri chahiye","aaj kal me bearish nahi hai","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-11-03 11:05:29.160"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Government Schemes","ganne me aag lagne se phasal jal gay hai kya kare","kuchh nahi ho sakta hai, kisi prakar ke bema  pravdhan nahi haui","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2014-11-03 11:41:54.130"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","SARSO KI VARIETY BATYE","ASIRVAD , VARDAN","UTTAR PRADESH","BAGHPAT","BINAULI                                           ","2014-11-03 15:40:57.540"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","some varieties of wheat","pbw-343,550, dbw-17","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-11-04 12:33:32.653"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism-","gehu ki kism- HD-2967,dbw-17,pbw-343,pbw-550 ki buvai kare","UTTAR PRADESH","BAGHPAT","BINAULI                                           ","2014-11-05 07:20:24.753"
"JAYAD","AGRICULTURE","Others","Others","Soil Testing","soil test ki jankari ke liye","soil test ki jankari di gayi hai","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2014-11-05 10:37:26.550"
"RABI","AGRICULTURE","Cereals","Wheat","Market Information","GEHU KI VARIETIES","PBW 343,PBW 550,PBW 502,DBW 17,HD 3043,UP 2382","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2014-11-05 12:42:24.363"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","GEHUN KI PRAJATI BATAYEN","HD-3086 (PUSA GAUTAMI) PRAJATI UGAYEN","UTTAR PRADESH","BAGHPAT","KHEKRA                                            ","2014-11-05 12:48:15.950"
