"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Wheat","Cultural Practices","WEATHER KI JANKRI","abhi mausam saf hein","UTTAR PRADESH","BAHRAICH","MIHINPURWA                                        ","2014-11-01 10:19:43.870"
"RABI","AGRICULTURE","Cereals","Oats ","	Plant Protection	","mausam ki jankari","badal rahega","UTTAR PRADESH","BAHRAICH","SHIVPUR                                           ","2014-11-01 12:21:00.673"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","TOMATO KI PATTI SIKUD RAHI HAI","DIMETHOAT 30 EC 1.5 ML / LITRE  PANI KE SATH SPRAY","UTTAR PRADESH","BAHRAICH","MAHASI                                            ","2014-11-01 12:22:29.520"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","Seeds and Planting Material","DHANIYA KA SEED RAT KI JAANKARI","10-12 KG SEED KI BOVAI KARE","UTTAR PRADESH","BAHRAICH","MIHINPURWA                                        ","2014-11-01 13:41:03.763"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tamatr ki patti pili pr rhi hai","tamatr me- carbendazim @ 500 gm / ecar","UTTAR PRADESH","BAHRAICH","PRAYAGPUR                                         ","2014-11-01 17:06:00.647"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me insect ki samasya hai","fatera  4 kg /ekar","UTTAR PRADESH","BAHRAICH","MIHINPURWA                                        ","2014-11-01 17:58:54.390"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","sarso ki kism bta de","sarso ki kism - pusa basanti","UTTAR PRADESH","BAHRAICH","PHAKHARPUR                                        ","2014-11-01 18:02:30.927"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","onion ki variety bataye","n-53, agri found light red ,agri found dark red , pusa ratnar ,","UTTAR PRADESH","BAHRAICH","TAJWAPUR                                          ","2014-11-01 20:50:44.337"
"KHARIF","HORTICULTURE","Plantation Crops","Sagoan","	Plant Protection	","bag me kya byvai kara de","masur ki buvai kara de ,masur ki prajati-masur-1,masur-5,125,126,pantL-406.639,209,234","UTTAR PRADESH","BAHRAICH","CHITAURA                                          ","2014-11-02 11:05:24.973"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","Seeds and Planting Material","eucaliptus ki nursary kaha se milegi","kisan bhai aap apne jila uddhan adhikari se sampark kare","UTTAR PRADESH","BAHRAICH","MAHASI                                            ","2014-11-02 12:01:35.937"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","chane ki kism bta de","chane ki kism- radhe, avrodhi","UTTAR PRADESH","BAHRAICH","VISHESHWARGANJ                                    ","2014-11-02 14:08:16.870"
"RABI","AGRICULTURE","Others","Others","Government Schemes","mobile me sms nahi khulta hai","kisan bhai mobile set chage kare","UTTAR PRADESH","BAHRAICH","SHIVPUR                                           ","2014-11-02 18:50:09.763"
"KHARIF","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","masur ki jankari","masur ki jankari masur-1,pusa -6,pusa -4,125,pusa sive lik,pusa vabhave","UTTAR PRADESH","BAHRAICH","HUZOORPUR                                         ","2014-11-02 20:17:10.853"
"KHARIF","AGRICULTURE","Cereals","Wheat","Cultural Practices","wheat ki cultivation","pbw-343, DBW- 17, PBW- 550","UTTAR PRADESH","BAHRAICH","CHITAURA                                          ","2014-11-03 11:27:52.533"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","WHEATHER FORCAST ?","ABHI KOI VARSHA NHI HAI","UTTAR PRADESH","BAHRAICH","SHIVPUR                                           ","2014-11-03 14:26:19.410"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","potato fertilizer dose ?","npk-150.80.100/h","UTTAR PRADESH","BAHRAICH","PHAKHARPUR                                        ","2014-11-03 21:09:57.853"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","GEHU KI VARAITY BATAYE","PBW 343, PBW443, DBW17","UTTAR PRADESH","BAHRAICH","MIHINPURWA                                        ","2014-11-04 06:41:10.360"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","KELE ME SARAN","COPPEROXICHLOROID 2 GM/LTR KA SPRAY KARE","UTTAR PRADESH","BAHRAICH","MIHINPURWA                                        ","2014-11-04 07:02:07.103"
"RABI","HORTICULTURE","","Paddy (Dhan)","","papita ki nursery lag sakti hai ?","ab samay nhi hai ,","UTTAR PRADESH","BAHRAICH","MIHINPURWA                                        ","2014-11-04 07:10:40.107"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","wheat  ki prajati ke liye","Dbw-17, hd-2967 ki buvai kare","UTTAR PRADESH","BAHRAICH","MIHINPURWA                                        ","2014-11-04 07:11:40.010"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari","barish ki sambhabanye nhi hai","UTTAR PRADESH","BAHRAICH","MAHASI                                            ","2014-11-04 09:15:10.047"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Root borerof  Brinjal","Cartap Hydrochloride 4G  10 kg /Acre","UTTAR PRADESH","BAHRAICH","MIHINPURWA                                        ","2014-11-04 09:38:42.227"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki prajati batae?","pbw-343,pbw-550,pbw-502","UTTAR PRADESH","BAHRAICH","PHAKHARPUR                                        ","2014-11-04 10:55:58.037"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Gehun kee prajatiyan batayen","Gehun kee prajatiyan -PBW-343,DBW-17,WH-1105,UP-2338,UP-2382","UTTAR PRADESH","BAHRAICH","VISHESHWARGANJ                                    ","2014-11-04 14:10:28.890"
"JAYAD","AGRICULTURE","Oilseeds","","Cultural Practices","WEED PROBLEM IN MUSTARD","SPRAY PENDIMETHILIN @ 1.5 ML./LIT.OF WATER","UTTAR PRADESH","BAHRAICH","KAISARGANJ                                        ","2014-11-04 18:01:50.553"
"JAYAD","AGRICULTURE","Cereals","Wheat","Cultural Practices","FERTILIZER REQUIREMENT OF WHEAT","FERTILIZER ARE N:P:K @ 120:60:40 KG./HECT.","UTTAR PRADESH","BAHRAICH","PRAYAGPUR                                         ","2014-11-04 19:34:06.023"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism bta de","gehu ki kism - DBW-17,PBW-343,PBW-550,502","UTTAR PRADESH","BAHRAICH","NAWABGANJ                                         ","2014-11-04 20:15:25.043"
"RABI","HORTICULTURE","Vegetables","Potato","Vegetative Propagation and Tissue Culture","varities of potatao","kufri chandra mukhi,kufri anand,kufri chipsona-1,kufri badshah","UTTAR PRADESH","BAHRAICH","PRAYAGPUR                                         ","2014-11-05 07:36:20.653"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Gahu ki variety","NW-1012","UTTAR PRADESH","BAHRAICH","PHAKHARPUR                                        ","2014-11-05 07:49:05.120"
