"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mosam ke bare batye","badal rhe ge","UTTAR PRADESH","BALRAMPUR","HARRIYA SATGHARWA                                 ","2014-11-01 11:08:28.037"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","gehu ke liye","50 kg dap or 5 kg micronutriant 30 kg mop 30 kg urea /acre","UTTAR PRADESH","BALRAMPUR","GAINDAS BUJURG                                    ","2014-11-01 12:05:27.307"
"RABI","AGRICULTURE","Millets","Buck Wheat (Kaspat)","	Field Preparation	","varity of wheat","hd2888","UTTAR PRADESH","BALRAMPUR","TULSIPUR","2014-11-01 12:25:20.370"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu m kaun si khad dale bo time","gehu m dap 50 kilo per ekar se dal de khet m","UTTAR PRADESH","BALRAMPUR","PACHPEDWA                                         ","2014-11-01 12:45:56.363"
"RABI","AGRICULTURE","Others","Others","Weather","maosm ki jankari de de","badal rhege baris ki koi sambhavna nhihai","UTTAR PRADESH","BALRAMPUR","TULSIPUR","2014-11-01 18:53:30.573"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","masur me weed ki samasya hai","pandimethaleen 800 ml dava /ekar 200 liter pani me spray kare","UTTAR PRADESH","BALRAMPUR","HARRIYA SATGHARWA                                 ","2014-11-02 11:30:24.457"
"RABI","HORTICULTURE","Vegetables","Brinjal","Seeds and Planting Material","baigan ki unnat prajati bataye","pant rituraj, pant samrat,F1 Hybrid VNR-125,F1 Hybrid VNR-60,Shikha F1","UTTAR PRADESH","BALRAMPUR","BALRAMPUR                                         ","2014-11-02 12:08:07.657"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Agriculture Mechanization","kya is samay ganne ki kheti kar sakte hain","kisan bhai is samay ganne ki kheti kar sakte hain","UTTAR PRADESH","BALRAMPUR","PACHPEDWA                                         ","2014-11-03 13:16:40.193"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Variety of wheat","variety of wheat ,DVW-39,PBW-343,
PBW-343","UTTAR PRADESH","BALRAMPUR","UTRAULA                                           ","2014-11-04 06:48:43.850"
"JAYAD","AGRICULTURE","Cereals","Wheat","	Plant Protection	","WEED PROBLEM IN WHEAT","SPRAY LEADER @ 33 GM./HECT.","UTTAR PRADESH","BALRAMPUR","HARRIYA SATGHARWA                                 ","2014-11-04 19:12:58.130"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","Agriculture Mechanization","dhaniya ki kheti ke bare me jankari chahiye","dhaniya ki kheti ke bare me jankari di gai","UTTAR PRADESH","BALRAMPUR","HARRIYA SATGHARWA                                 ","2014-11-05 07:31:13.837"
"RABI","HORTICULTURE","Vegetables","Mushroom","Vegetative Propagation and Tissue Culture","mushroom ki kheti ki jankari lena","Apne Krishi Vigyan Kendra Par Sampark Kare","UTTAR PRADESH","BALRAMPUR","REHERA BAZAAR                                     ","2014-11-05 10:54:31.487"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki janakri de","aaj kal mausam saaf hai","UTTAR PRADESH","BALRAMPUR","BALRAMPUR                                         ","2014-11-05 15:40:24.253"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WHEAT","PBW 550 ,  PBW 343 , DBW - 17 , PBW-502","UTTAR PRADESH","BALRAMPUR","REHERA BAZAAR                                     ","2014-11-06 06:39:02.233"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","HD 2967 KAISI VARIETY","JANKARI DI GAYI","UTTAR PRADESH","BALRAMPUR","PACHPEDWA                                         ","2014-11-06 08:01:39.803"
"RABI","AGRICULTURE","Oilseeds","Mustard","Seeds","saraso ,chana masur ki jankari","saraso ,chana masur ki jankari di gai","UTTAR PRADESH","BALRAMPUR","HARRIYA SATGHARWA                                 ","2014-11-06 14:40:48.140"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WHEAT","PBW 550 ,  PBW 343 , DBW - 17 , PBW-502","UTTAR PRADESH","BALRAMPUR","HARRIYA SATGHARWA                                 ","2014-11-07 07:22:32.833"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","Gehun me phaisahu kata ho jata hai","Gehun me phaisahu kata ke niyantran ke liye Pyrazosulfuron Ethyl 10% WP  80 gm/acre  ka spray karen","UTTAR PRADESH","BALRAMPUR","HARRIYA SATGHARWA                                 ","2014-11-07 10:22:00.643"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ke beej ki jankari den","pbw-502,343,550 ki bubai karen","UTTAR PRADESH","BALRAMPUR","BALRAMPUR                                         ","2014-11-07 15:24:52.550"
"RABI","HORTICULTURE","Fruits","Mango","Agriculture Mechanization","aam kki pudh m demak lagi hai kya kare","clorophyrihos ka ko pudh ki zad m dal de 500 ml pani m milakar","UTTAR PRADESH","BALRAMPUR","HARRIYA SATGHARWA                                 ","2014-11-07 15:36:14.507"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","	Plant Protection	","weed problem in masur","pendamethaline @ 1.5 liter/acre ka prayog karen","UTTAR PRADESH","BALRAMPUR","GAISRI                                            ","2014-11-07 15:55:30.847"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","bhanta me kida lag rha hi","Triazophose 40% EC 350 ml/ecd spray karein","UTTAR PRADESH","BALRAMPUR","REHERA BAZAAR                                     ","2014-11-07 20:27:57.973"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","arhar me kide hai ?","quinalphose 2 mili/l spray","UTTAR PRADESH","BALRAMPUR","GAISRI                                            ","2014-11-08 07:55:25.587"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","genhu ki prajati bataye","genhu ki prajati – HD-2967, DBW-17, k-307(shatabdi),PBW-343,373,550, SONALIKA","UTTAR PRADESH","BALRAMPUR","SHRIDUTTGANJ                                      ","2014-11-08 08:28:44.380"
"KHARIF","HORTICULTURE","Flowers","Anthurium","Seeds and Planting Material","GENDA KA BEEJ","Pusa Narangi Gainda, Pusa Basanthi Gainda","UTTAR PRADESH","BALRAMPUR","UTRAULA                                           ","2014-11-08 13:10:28.457"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","pasu sambandhi jankari","pasu sambandhi jankari di gai","UTTAR PRADESH","BALRAMPUR","REHERA BAZAAR                                     ","2014-11-08 17:42:29.027"
"RABI","AGRICULTURE","Oilseeds","Indian rapeseed and mustard (yellow sarson)","Seeds","sarso ki unnati kism bataye","narendra ageti rai-4","UTTAR PRADESH","BALRAMPUR","REHERA BAZAAR                                     ","2014-11-10 12:01:19.300"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","GEHU KI PRAJATI KI JAAN KARI","UP-2338,WH-542,PBW-343,UP-2382,HD-2687,PBW-502,DBW-17,PBW-550,PBW-590,WH 1105 and PBW 660 KI BOVAI KARE","UTTAR PRADESH","BALRAMPUR","REHERA BAZAAR                                     ","2014-11-10 17:59:31.810"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","sarson kaun se boen","basanti bo sakte hi","UTTAR PRADESH","BALRAMPUR","UTRAULA                                           ","2014-11-10 19:51:43.950"
