"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mosam ki jankari","mosa saf rahega baris nahi hogi","UTTAR PRADESH","BANDA","KAMASIN                                           ","2014-11-01 09:48:12.680"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","musterd me grasshopper ki samasya hai","monocrotophos 36%- 400 ml/ekd ka spray kare","UTTAR PRADESH","BANDA","KAMASIN                                           ","2014-11-01 09:52:14.820"
"RABI","AGRICULTURE","Others","Others","Varieties","gehu ki variety bta de","gehu ki variety hai pbw 502 pbw 550 pbw 343 bo sakte hai app","UTTAR PRADESH","BANDA","JASPURA                                           ","2014-11-01 10:01:40.530"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Market Information","til ka rate kya hai","kali 12000-6250 rs/q + safed 10005-7000 rs/q ka rate hai","UTTAR PRADESH","BANDA","BABERU                                            ","2014-11-01 15:58:02.080"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","wheat ki ageti prajati bataye","DBW-17, pbw-502,550, HD-2967, PBW-343","UTTAR PRADESH","BANDA","KAMASIN                                           ","2014-11-01 18:47:51.043"
"RABI","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","	Plant Protection	","APHIDS CONTROL IN MUSTARD CROP.","SPRAY MONOCROTOPHOS[36EC]@2ML./LIT.WATER.","UTTAR PRADESH","BANDA","BISANDA                                           ","2014-11-01 21:12:17.607"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","Red rot disease in cane","All informatio  given","UTTAR PRADESH","BANDA","NARAINI                                           ","2014-11-01 21:27:09.510"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Variety of wheat","late variety of wheat ,DVW-39,PBW-343","UTTAR PRADESH","BANDA","NARAINI                                           ","2014-11-02 11:41:47.227"
"RABI","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","aanar me insect laga hai","indexa carb 20ml/tanki dava ka prayog kare","UTTAR PRADESH","BANDA","BADOKHAR KHURD                                    ","2014-11-02 15:14:27.527"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","	Plant Protection	","krashi yanta ki jankari","jila pe agro pe jaye or vaha se jankari prapt kare","UTTAR PRADESH","BANDA","KAMASIN                                           ","2014-11-02 17:17:15.010"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Agriculture Mechanization","masoor ka beej upchaar kisase karen","rhizobium culture se shodhit karen","UTTAR PRADESH","BANDA","JASPURA                                           ","2014-11-03 15:47:49.303"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","fule gobhi me insect ki samasya hai","Cypermethrin 25% EC,2 ml dava /liter pani me spraykare","UTTAR PRADESH","BANDA","BADOKHAR KHURD                                    ","2014-11-04 06:14:09.127"
