"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","mosam ke bare  batye","badal rhe ge","UTTAR PRADESH","BARABANKI","FATEHPUR                                          ","2014-11-01 09:48:30.360"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Field Preparation	","sarad kalin makka ki bubai kar sakte hai","sarad kalin makka ki bubai kar sakte hai","UTTAR PRADESH","BARABANKI","SIRAULI GAUSPUR                                   ","2014-11-01 09:52:29.590"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu ka upchar karne ki dava","eglal ya theram ya kraptan 2.5 gram dava /kg seed se upchar kare","UTTAR PRADESH","BARABANKI","BANKI                                             ","2014-11-01 10:38:43.860"
"RABI","AGRICULTURE","Cereals","Oats ","	Plant Protection	","mausam ki jankari","badal rahega","UTTAR PRADESH","BARABANKI","DEWA                                              ","2014-11-01 11:02:43.103"
"RABI","HORTICULTURE","Fruits","Papaya","	Plant Protection	","PAITA KA BEEJ KAHA MIOLEGA","JILA KRISHI UDHYAN KENDRA PAR MILEGA","UTTAR PRADESH","BARABANKI","SURATGANJ                                         ","2014-11-01 11:11:10.893"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","ganehu ki unnat prajati bataye","PBW-343,502,550, DBW-17, hd-2967","UTTAR PRADESH","BARABANKI","SURATGANJ                                         ","2014-11-01 11:21:12.810"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","GENHU KE BEEJ PAR KITNI CHHOOT MI RAHI HAI","KISAN BHAI IS NO. PAR SAMPARK KARE- 9235629480","UTTAR PRADESH","BARABANKI","SURATGANJ                                         ","2014-11-01 11:49:22.517"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","mosam ki jankari","mosam saf rahega baris nahi hogi","UTTAR PRADESH","BARABANKI","SURATGANJ                                         ","2014-11-01 11:50:06.127"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bta de","gehu ki variety hai pbw 502 pbw 550 pbw 343 bo sakte hai app","UTTAR PRADESH","BARABANKI","RAMNAGAR                                          ","2014-11-01 12:11:11.330"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KE BARE ME JANNA HAI","BARIS KI SAMBHAVNA NAHI HAI BADAL RAHEGE","UTTAR PRADESH","BARABANKI","HAIDARGARH                                        ","2014-11-01 12:45:40.057"
