"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki buvai is samay kar sakte hai?","is samay gehu ki buvai kar sakte hai pbw343,pbw550,up2338,dbw17","UTTAR PRADESH","BAREILLY","NAWABGANJ                                         ","2014-11-01 09:33:11.183"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","matar me growth nahi mil pa rahi hai","NPK-19:19:19- 1 kilo/ekd ka spray kare","UTTAR PRADESH","BAREILLY","BAHERI                                            ","2014-11-01 10:16:26.927"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","lahshun me galan hai","Carbendazim 12% + Mancozeb 63% WP400gram/acre","UTTAR PRADESH","BAREILLY","AALAMPUR JAFARABAD                                ","2014-11-01 11:24:57.190"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER INFORMATION","CLEAR WEATHER","UTTAR PRADESH","BAREILLY","MAJHGAWAN                                         ","2014-11-01 11:55:24.217"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","MAUSAM KI JANKARI LENI HAI","MAUSAM SAHI RAHEGA, BARISH KI SAMBHAVNA KAM HAI","UTTAR PRADESH","BAREILLY","BITHIRI CHAINPUR                                  ","2014-11-01 12:02:28.637"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","gehu ki variety bataye","pbw-43,502, 550","UTTAR PRADESH","BAREILLY","SHERGARH                                          ","2014-11-01 12:47:10.703"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","gehu   ki ageti prajati  bataye","dbw-17,39, pbw-343,443,502,550, up-2382 ,hd-2967   ki buwai kare","UTTAR PRADESH","BAREILLY","AALAMPUR JAFARABAD                                ","2014-11-01 15:11:50.453"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari den","baris nahi hai","UTTAR PRADESH","BAREILLY","MAJHGAWAN                                         ","2014-11-01 15:23:44.800"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ka plat suk raha hai","Carbendazim 12% + Mancozeb 63% WP,3 gram dava and Phosphamidon 40% SL, 2 ml dava /liter pani me dale","UTTAR PRADESH","BAREILLY","NAWABGANJ                                         ","2014-11-01 16:08:30.240"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ka plat suk raha hai","Carbendazim 12% + Mancozeb 63% WP,3 gram dava and Phosphamidon 40% SL, 2 ml dava /liter pani me dale","UTTAR PRADESH","BAREILLY","NAWABGANJ                                         ","2014-11-01 16:10:16.043"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ka plat suk raha hai","Carbendazim 12% + Mancozeb 63% WP,3 gram dava and Phosphamidon 40% SL, 2 ml dava /liter pani me dale","UTTAR PRADESH","BAREILLY","NAWABGANJ                                         ","2014-11-01 16:12:06.073"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ka plat suk raha hai","Carbendazim 12% + Mancozeb 63% WP,3 gram dava and Phosphamidon 40% SL, 2 ml dava /liter pani me dale","UTTAR PRADESH","BAREILLY","NAWABGANJ                                         ","2014-11-01 16:13:56.250"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ka plat suk raha hai","Carbendazim 12% + Mancozeb 63% WP,3 gram dava and Phosphamidon 40% SL, 2 ml dava /liter pani me dale","UTTAR PRADESH","BAREILLY","NAWABGANJ                                         ","2014-11-01 16:14:42.827"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ka plat suk raha hai","Carbendazim 12% + Mancozeb 63% WP,3 gram dava and Phosphamidon 40% SL, 2 ml dava /liter pani me dale","UTTAR PRADESH","BAREILLY","NAWABGANJ                                         ","2014-11-01 16:14:43.153"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ka plat suk raha hai","Carbendazim 12% + Mancozeb 63% WP,3 gram dava and Phosphamidon 40% SL, 2 ml dava /liter pani me dale","UTTAR PRADESH","BAREILLY","NAWABGANJ                                         ","2014-11-01 16:14:43.863"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ka plat suk raha hai","Carbendazim 12% + Mancozeb 63% WP,3 gram dava and Phosphamidon 40% SL, 2 ml dava /liter pani me dale","UTTAR PRADESH","BAREILLY","NAWABGANJ                                         ","2014-11-01 16:14:44.510"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ka plat suk raha hai","Carbendazim 12% + Mancozeb 63% WP,3 gram dava and Phosphamidon 40% SL, 2 ml dava /liter pani me dale","UTTAR PRADESH","BAREILLY","NAWABGANJ                                         ","2014-11-01 16:14:44.880"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ka plat suk raha hai","Carbendazim 12% + Mancozeb 63% WP,3 gram dava and Phosphamidon 40% SL, 2 ml dava /liter pani me dale","UTTAR PRADESH","BAREILLY","NAWABGANJ                                         ","2014-11-01 16:14:45.170"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptous ka plat suk raha hai","Carbendazim 12% + Mancozeb 63% WP,3 gram dava and Phosphamidon 40% SL, 2 ml dava /liter pani me dale","UTTAR PRADESH","BAREILLY","NAWABGANJ                                         ","2014-11-01 16:14:45.667"
