"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari leni h","kisan bhai aapke yhaa mausam saf rhega","UTTAR PRADESH","BASTI","GAUR                                              ","2014-11-01 17:52:00.087"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","WHEAT KI VARIETY","DBW-17, PBW-343, PBW-502","UTTAR PRADESH","BASTI","SALTAUA GOPAL PUR                                 ","2014-11-01 18:42:01.093"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu ki buvai karni hai or khad kya de","120 kg nitrogen,80 kg phophorse,80 kg potas /hacter","UTTAR PRADESH","BASTI","BAHADURPUR                                        ","2014-11-02 12:26:03.210"
"RABI","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha 2 november se 7 november tak badal bane rhene ki sambhawana hai","UTTAR PRADESH","BASTI","KUDARAHA                                          ","2014-11-02 13:23:13.857"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki buvai ka samay","14 novenber se 30 November tak buvai kare","UTTAR PRADESH","BASTI","RUDAULI                                           ","2014-11-02 15:44:11.493"
"RABI","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","BASTI","BASTI                                             ","2014-11-03 13:18:43.767"
"RABI","HORTICULTURE","Vegetables","Chillies","Cultural Practices","mirch ki kisme","kashi surkh, kashi anmol, chanchal, Np-46A","UTTAR PRADESH","BASTI","KAPTANGANJ                                        ","2014-11-03 14:21:25.243"
"RABI","AGRICULTURE","Oilseeds","Indian rapeseed and mustard (yellow sarson)","Varieties","sarson ki kisme","varuna (T-59), rohini, kranti, maya, pusa bold, urvashi","UTTAR PRADESH","BASTI","SALTAUA GOPAL PUR                                 ","2014-11-04 06:58:50.000"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","dbw -17 ke bare me jankari","dbw -17 ke bare me jankari di gyi","UTTAR PRADESH","BASTI","PARAS RAMPUR                                      ","2014-11-04 18:46:24.700"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","mentha ki jankari","mentha ki jankari di gai","UTTAR PRADESH","BASTI","SAU GHAT                                          ","2014-11-04 20:22:55.747"
"RABI","HORTICULTURE","Medicinal and Aromatic Plants","Mentha","Market Information","Mentha ki rate ki jankari leni hai","Information given","UTTAR PRADESH","BASTI","SAU GHAT                                          ","2014-11-05 06:58:44.907"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","PYAJ KI JANKARI CHAHIY","PUSA RED , NASHIK RED, KALYANPUR RED PRAJATIYAN UGAYEN","UTTAR PRADESH","BASTI","BUGAULIYA                                         ","2014-11-05 09:26:18.670"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Mentha","Cultural Practices","Variety of Mentha","Variety of Mentha-Coshi ,HY-77","UTTAR PRADESH","BASTI","SAU GHAT                                          ","2014-11-05 09:57:26.260"
"KHARIF","AGRICULTURE","Pulses","Lentil (Masur)","Cultural Practices","gram me weed control","alachlore 1.5 litre /acre
Pandimethalin 1.5 litre /acre","UTTAR PRADESH","BASTI","KAPTANGANJ                                        ","2014-11-05 10:12:46.243"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Payaij mai galan hai","Carbandazim ka spray kare","UTTAR PRADESH","BASTI","BUGAULIYA                                         ","2014-11-05 12:13:38.550"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","SUGARCANE KEE JANKAREE DE","GANNAE KEE BUVAI KER SAKTE HE","UTTAR PRADESH","BASTI","BUGAULIYA                                         ","2014-11-05 12:13:45.000"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","sarad kalin ganne ki buai kab karte hai","aap sarad kalin ganne ki buai 15 fabruary se 15 march tak kar sakte hai","UTTAR PRADESH","BASTI","RUDAULI                                           ","2014-11-05 13:20:19.790"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Field Preparation	","Sharad Kaleen ganne kee bubai ke Vishay me jankari den","Sharad Kaleen ganne kee bubai ke Vishay me jankari den","UTTAR PRADESH","BASTI","RUDAULI                                           ","2014-11-05 13:22:12.917"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehun ka bij Ankur kedar bij kahan se milega","Apane block se sampark karen","UTTAR PRADESH","BASTI","BANKATI                                           ","2014-11-05 13:39:34.660"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Gehun me sarkarianudan ke Vishay me jankari den","Gehun me sarkarianudan ke Vishay me jankari dee gayi","UTTAR PRADESH","BASTI","SAU GHAT                                          ","2014-11-05 13:54:23.650"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","CULTIVATION OF WHEAT","15 NOVMBER-25NOVMBER TAK BUWAI KRE","UTTAR PRADESH","BASTI","GAUR                                              ","2014-11-05 14:21:54.487"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","wheat ki variety","PBW-343,PBW-502,PBW-550,DBW-17,HD-2967","UTTAR PRADESH","BASTI","BASTI                                             ","2014-11-05 14:54:32.900"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","dhan me kira laga hai","trizophos 2 ml /liter of water","UTTAR PRADESH","BASTI","VIKRAM JOT                                        ","2014-11-05 19:34:56.447"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","gehu ki variety batye","pbw- 502,550,154","UTTAR PRADESH","BASTI","VIKRAM JOT                                        ","2014-11-05 19:37:21.283"
