"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","mosam ke bare batye","badal rhe ge","UTTAR PRADESH","CHANDAULI","CHAHNIYA                                          ","2014-11-01 09:32:54.767"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Smut disease in paddy","Carbendazim 12% + Mancozeb 63% WP 400 gm  dwa ko  250 liter pani me mela krke /Acar spary kre","UTTAR PRADESH","CHANDAULI","SAKALDIHA                                         ","2014-11-01 14:58:10.907"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","gehu ki prajaati chahiye","proper janakri di gai","UTTAR PRADESH","CHANDAULI","BERAHANI                                          ","2014-11-01 19:23:43.700"
"RABI","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","Varieties","sarso ki kisme bataye","sarso ki kisme - asirvad,vardan,","UTTAR PRADESH","CHANDAULI","CHANDAULI                                         ","2014-11-02 11:50:42.067"
"RABI","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha 2 november se 7 november tak badal bane rhene ki sambhawana hai","UTTAR PRADESH","CHANDAULI","CHAHNIYA                                          ","2014-11-02 12:50:35.357"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","MOSAM KE BARE BATYE","BADAL RHE GE","UTTAR PRADESH","CHANDAULI","CHANDAULI                                         ","2014-11-03 14:41:38.300"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari","mausam saaf rahne ki sambhabnaye hai","UTTAR PRADESH","CHANDAULI","BERAHANI                                          ","2014-11-03 15:20:28.950"
"RABI","HORTICULTURE","Fruits","Banana","Cultural Practices","kele me phail nahi lagta hai kya kare","PLANOFIX 1ML/4 LITR PANI ME MILA KAR SPRAY KARE","UTTAR PRADESH","CHANDAULI","SAHABGANJ                                         ","2014-11-04 08:33:14.903"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Agriculture Mechanization","dhaan me baali nahi nikal rahi hai","tricontenol 4-5 kilo gram/acre + urea ka prayog karen","UTTAR PRADESH","CHANDAULI","CHANDAULI                                         ","2014-11-04 09:02:39.160"
"RABI","FISHERIES","Marine","Other","Freshwater pearl culture","machli palan karna hai","machli palan ke liye 1800-180-5661 per call kare","UTTAR PRADESH","CHANDAULI","CHAHNIYA                                          ","2014-11-04 12:29:07.667"
"RABI","HORTICULTURE","Fruits","Citrus","	Plant Protection	","DRYNESS OF CITRUS PLANT.","APPLY COPPER OXYCHLORID[50WP]@3GM./LIT.WATER+MONOCROTOPHOS[36EC]@2ML./LIT.WATER.","UTTAR PRADESH","CHANDAULI","CHAKIYA                                           ","2014-11-04 14:17:19.320"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bta de","gehu ki variety hai pbw 502 pbw 550  pbw 343  ko bo sakte hai app","UTTAR PRADESH","CHANDAULI","SAHABGANJ                                         ","2014-11-04 17:32:34.850"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bta de","gehu ki variety hai pbw 502 pbw 550  pbw 343  ko bo sakte hai app","UTTAR PRADESH","CHANDAULI","SAHABGANJ                                         ","2014-11-04 17:34:25.267"
"RABI","AGRICULTURE","Cereals","Triticale","	Plant Protection	","insect in citrus","Dichlorvos 76% EC
350 ml/acre","UTTAR PRADESH","CHANDAULI","CHANDAULI                                         ","2014-11-05 07:00:15.613"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","pyaj ka beej nahi jam nahi raha hai","beej me kami ho sakti hai","UTTAR PRADESH","CHANDAULI","CHANDAULI                                         ","2014-11-05 09:04:23.273"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAN ME ROG LAGA HAI","TRYCIKLOJOLE@200 GRAM/ACRE SPRAY KAREN","UTTAR PRADESH","CHANDAULI","CHAKIYA                                           ","2014-11-05 11:15:03.017"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","FERTILIZER DOSE IN WHEAT ?","NPK -120.60.40 KG/H","UTTAR PRADESH","CHANDAULI","CHAKIYA                                           ","2014-11-05 12:47:25.363"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","mausam ki jankari ke liye","Aaj  mausam saaf rahega","UTTAR PRADESH","CHANDAULI","DHANAPUR                                          ","2014-11-05 12:57:05.987"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","SMS SEWA UNREGULAL PROBLEM..?","KISAN BHAI IS SEVA KO DETACHED KIYA JAYEGA/OR REGULAR KIYA JAYEGA.","UTTAR PRADESH","CHANDAULI","NIYAMATABAD                                       ","2014-11-05 14:11:23.430"
