"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Fruits","Mango","	Plant Protection	","ANTHRACNOSE IN MANGO","SPRAY CARBENDAZIM @ 1 GM./LIT.OF WATER","UTTAR PRADESH","DEORIA","SALEMPUR                                          ","2014-11-01 09:24:14.687"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","mahogani ke ped mota karne ke liye bataye","khaad aur suchm poshak tatv ka prayog kare","UTTAR PRADESH","DEORIA","BAITALPUR                                         ","2014-11-01 10:02:04.443"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehun me use fartilizar","120kilo naitrojan ,60kilo fasfed ,40kilo potash /hectar","UTTAR PRADESH","DEORIA","SALEMPUR                                          ","2014-11-01 10:41:28.540"
"RABI","AGRICULTURE","Others","Others","Crop Insurance","phasal bima ka labh kaha se milega?","insurance company se sampark kare","UTTAR PRADESH","DEORIA","LAR                                               ","2014-11-01 13:44:43.420"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","baigan aur gobhi me kide lag rahe hai","cypermethrin 25% EC @ 300 mililiter/acre ki dar se prayog kare","UTTAR PRADESH","DEORIA","BHATPAR RANI                                      ","2014-11-01 16:44:06.813"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","brinjal me","Copper Oxy Chloride 50% WP 3 Gram / litre pani + Planofix 1 ml / 5 litre pani ke sath spray karen","UTTAR PRADESH","DEORIA","BANKATA                                           ","2014-11-01 20:57:42.290"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","bringl me insect ki samasya hai","Cypermethrin 25% EC,2-3 ml dava /ekar","UTTAR PRADESH","DEORIA","BARHAJ                                            ","2014-11-02 11:11:38.997"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu ki prajati","gehu ki prajati HD-2967,DBW-17,DBW-550,PBW-343,PBW-443","UTTAR PRADESH","DEORIA","RAMPUR KARKHANA                                   ","2014-11-02 12:08:33.873"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Little leaf disease in Brinjal","Metasystox  2.0 Ml dwa ko /liter pani me mila krke  spary kre","UTTAR PRADESH","DEORIA","GAURI BAZAR                                       ","2014-11-02 15:38:38.407"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bataye","????? ?? ??????? - UP -2338 , ?? ?? ????? -343 ,590 ,550,?? ?? ????? -17,  HD,-3086 (???? ?????),HD,- 3043 (???? ??????),HD,- 2967(???? ????? ????),HD,- 2894(???? ????-109) ?? ????? ???","UTTAR PRADESH","DEORIA","SALEMPUR                                          ","2014-11-02 16:05:06.467"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","pbw-550,gehu ki prajati ke bare me jankari chahie","pbw-550ki buvai 25novmber tak buvai kar sakate hai.","UTTAR PRADESH","DEORIA","DESAI DEORIA                                      ","2014-11-02 18:49:51.550"
"KHARIF","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki prajati","PBW-343, PBW-550, DBW-17","UTTAR PRADESH","DEORIA","BHAGALPUR                                         ","2014-11-03 15:18:19.410"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","late variety of wheat","pbw-373, dbw-14","UTTAR PRADESH","DEORIA","BHATPAR RANI                                      ","2014-11-04 07:10:46.330"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","gobhi me keede lage hai","spray dichlorovas 76 % EC 1.5  ml/ litre of water","UTTAR PRADESH","DEORIA","RUDRAPUR                                          ","2014-11-04 11:35:21.720"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","aam pr mitti char rhi hai","aam me- cloropayrifas@ 5 ml / liter pani","UTTAR PRADESH","DEORIA","BHALUANI                                          ","2014-11-04 17:34:15.147"
"KHARIF","AGRICULTURE","Cereals","Wheat","Cultural Practices","krashi yantra par chhut chahiy","prapar jankari di gai hai","UTTAR PRADESH","DEORIA","DEORIA SADAR                                      ","2014-11-05 06:21:22.763"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","Paudhe mai kida laga hai","Carbofuron ka prayog kare","UTTAR PRADESH","DEORIA","BARHAJ                                            ","2014-11-05 08:33:07.967"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki vairety bta de","gehu ki vauirety hai pbw 550 pbw 343 pbw 17 bo saktre hai app","UTTAR PRADESH","DEORIA","BHALUANI                                          ","2014-11-05 11:27:03.723"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","OTHER KE BARE ME JANKARI","D.D SE SUMPARK KRE","UTTAR PRADESH","DEORIA","SALEMPUR                                          ","2014-11-05 14:47:22.490"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","SEEDS KAHA SE LE","BLOCK SE SAMPARK KARE","UTTAR PRADESH","DEORIA","DEORIA SADAR                                      ","2014-11-05 15:42:08.570"
"RABI","HORTICULTURE","Vegetables","Brinjal","Field Preparation","brinjal ki achchi phasal ke liye kya kare","Aminoacids 10% 8 Kilogram/Acre dava ka prayog kare","UTTAR PRADESH","DEORIA","RUDRAPUR                                          ","2014-11-05 16:58:52.327"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","cultivation of wheat","vl-829,h.s420 ,h.s335,dwb-14 ki buwai kre","UTTAR PRADESH","DEORIA","LAR                                               ","2014-11-05 21:26:27.620"
"RABI","AGRICULTURE","Oilseeds","Mustard","Seeds","variety of mustard","ashirwaad, vardaan","UTTAR PRADESH","DEORIA","DEORIA SADAR                                      ","2014-11-06 07:35:13.983"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WHEAT","PBW 550 ,  PBW 343 , DBW - 17 , PBW-502","UTTAR PRADESH","DEORIA","RAMPUR KARKHANA                                   ","2014-11-06 08:34:12.223"
"RABI","HORTICULTURE","Vegetables","Beans ","Agriculture Mechanization","rajma ki kheti ki jankari de","rajma ki variety - PDR- 14, malviya -134 ,BL-63 ki buwai kare","UTTAR PRADESH","DEORIA","BHALUANI                                          ","2014-11-06 08:49:49.157"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","brinjal  me kide lage hai","KISAN BHAI AAP FURADON DAWA 10-12 KG/ACRE DALE","UTTAR PRADESH","DEORIA","BARHAJ                                            ","2014-11-06 10:39:59.757"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","sahkari samiti kahan par hai","block se sampark kare","UTTAR PRADESH","DEORIA","DEORIA SADAR                                      ","2014-11-06 11:02:04.527"
"KHARIF","AGRICULTURE","Others","Others","Weather","mosam ki jankari","mosam saaf rahega","UTTAR PRADESH","DEORIA","BHAGALPUR                                         ","2014-11-06 21:15:10.010"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mosam ke bare batye","badal rhe  ge","UTTAR PRADESH","DEORIA","BHATNI                                            ","2014-11-07 08:55:59.033"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","pyaj me kharpatwar ki samasya hai","pyaj- Oxyfluorfen 23.5% EC- 2 ml/liter pani ka spray kare, mirch me -copper oxichloride- 2.5 gram/liter pani ka spray kare","UTTAR PRADESH","DEORIA","BHATPAR RANI                                      ","2014-11-07 10:42:47.990"
"RABI","AGRICULTURE","Cereals","Wheat","Nutrient Management","GEHU ME KYA KHAD LAHAYE","?? ??? ???- 150 ????????? ?????????+60 ????????? ????????+40 ????????? ????? ?? ???????? ???? ????? ????? ????????? ?? ??? ?????? ?? ???????? ????? ?? ???? ?????? ????? ?? ??? ?? ,????????? ?? ??? ??? ?????? ?? ???? ????? ?? ??? ?? ???? ??? ???? ?????","UTTAR PRADESH","DEORIA","BHAGALPUR                                         ","2014-11-07 18:35:28.910"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","gehu ki bubai kab karen","kisan bhai 15 november se bubai karen","UTTAR PRADESH","DEORIA","BHATNI                                            ","2014-11-07 21:20:03.183"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","bank me paisa jama hi","aap apni bank me sampark karein","UTTAR PRADESH","DEORIA","SALEMPUR                                          ","2014-11-07 21:21:38.567"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","arhar me keeda","2 ml monocrotophos 36 %/ litre pani me ghol banakar spray kare","UTTAR PRADESH","DEORIA","BANKATA                                           ","2014-11-08 07:43:26.153"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","HD 2967 KA BUAYI KAB TAK HAI","ISKI BUAYI KAR SKTE HAI ABHI SAMAY CHAL RHA HAI","UTTAR PRADESH","DEORIA","TARKALUA                                          ","2014-11-08 07:58:40.070"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Gehun kee prajatiyan batayen","Gehun kee prajatiyan-WH-1105,PBW-343,UP-2338,UP-2382,PBW-502,DBW-17,PBW-550","UTTAR PRADESH","DEORIA","GAURI BAZAR                                       ","2014-11-08 08:43:46.420"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","gehu ki prajati 550 kaisi hai","jankari di gayi","UTTAR PRADESH","DEORIA","BHATPAR RANI                                      ","2014-11-08 10:08:57.530"
"KHARIF","AGRICULTURE","Others","Others","Weather","MOSAM KI JANKARI","MOSAM SAAF RAHEGA","UTTAR PRADESH","DEORIA","RAMPUR KARKHANA                                   ","2014-11-08 14:43:29.397"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Gahu ki variety","DBW-17","UTTAR PRADESH","DEORIA","BHAGALPUR                                         ","2014-11-08 18:19:18.500"
"RABI","AGRICULTURE","Oilseeds","Brown Sarson","Nutrient Management","sarso me sulphur kitna dalwaye","spray sulphur 80 % 500 gram per ekad","UTTAR PRADESH","DEORIA","DEORIA SADAR                                      ","2014-11-09 09:22:17.633"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","aalu ki kheti ke bare me jankari chahiye","aalu ki kheti ke bare me jankari di gai","UTTAR PRADESH","DEORIA","PATHAR DEWA                                       ","2014-11-10 09:04:02.223"
"KHARIF","HORTICULTURE","Fruits","Mango","Fertilizer Use and Availability","FL NAHI AATA","MICRO NUTRENT SPREY 5 GRAM/LITER","UTTAR PRADESH","DEORIA","GAURI BAZAR                                       ","2014-11-10 10:42:11.463"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","kherpatwar nashi ke bare me jankari","Glyphosate 41% SL 1000 ml/ecd spray karein","UTTAR PRADESH","DEORIA","DEORIA SADAR                                      ","2014-11-10 17:26:09.220"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aaloo ke patiya sikud rahi hai aur badhwar bhi nahi ho rahi hai","aap aaloo me Cymoxanil 8% + Mancozeb 64% WP 400 gram dawa ko 120-150 liter pani ke sath prati acare ki dar se spray kare","UTTAR PRADESH","DEORIA","BHATNI                                            ","2014-11-11 11:05:35.803"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","mogani ke bare me bataye","iska hindi name pta kar ke call kare","UTTAR PRADESH","DEORIA","BARHAJ                                            ","2014-11-11 11:35:17.380"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","chane me katu kit laga hai","quinalphos 25ec.1.5litre/hec 700-800 litre pani me spray","UTTAR PRADESH","DEORIA","LAR                                               ","2014-11-11 12:09:08.723"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","GEHU KI VAIRETY BTA DE","GEHU KI VAIRETY HAI PBW 502 PBW 550 PBW 17 BO SAKTE HAI APP","UTTAR PRADESH","DEORIA","BHALUANI                                          ","2014-11-11 12:39:13.053"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","GEHU KI PRAJATI KI JAAN KARI","UP-2338,WH-542,PBW-343,UP-2382,HD-2687,PBW-502,DBW-17,PBW-550,PBW-590,WH 1105 and PBW 660 KI BOVAI KARE","UTTAR PRADESH","DEORIA","PATHAR DEWA                                       ","2014-11-11 15:13:55.210"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","ganne ki jankari","ganne ki jankari di gai","UTTAR PRADESH","DEORIA","BANKATA                                           ","2014-11-11 15:54:01.540"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","HD-2967 ke bare me bataye","143 din ki phasal aur  upaj -51 qui./hactear hai","UTTAR PRADESH","DEORIA","RUDRAPUR                                          ","2014-11-11 16:13:10.037"
