"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","Agriculture Mechanization","Karele kee kheti karana chahata hau","Karele kee kheti july aur farvari me karen","UTTAR PRADESH","FATEHPUR","BHITAURA                                          ","2014-11-01 09:10:21.463"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ke baare me bataye","baarish ki koi sambhaavna nahi hai halke baadal chaaye rahenge","UTTAR PRADESH","FATEHPUR","HATHGAON                                          ","2014-11-01 09:20:47.990"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","mater ki prajati","rmater ki prajati achana ,madhu,rashmi,arpna,ajad mater-1,arkil","UTTAR PRADESH","FATEHPUR","BHITAURA                                          ","2014-11-01 09:29:45.680"
"KHARIF","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","lehsun ke beej ko kisse upcharit kare","aap lehsun ke beej ko trycoderma 2 gram/kigra beej ko upcharit kar saktr hai","UTTAR PRADESH","FATEHPUR","DHATA                                             ","2014-11-01 09:32:06.343"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","weather information de","baris kee sambhavana nahi he","UTTAR PRADESH","FATEHPUR","BHITAURA                                          ","2014-11-01 09:42:26.493"
"KHARIF","HORTICULTURE","Condiments and Spices","Coriander","	Plant Protection	","daniya ki buvai karni hai","dhaniya  ki buvai kara sakte hai","UTTAR PRADESH","FATEHPUR","BAHUA                                             ","2014-11-01 14:02:58.647"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAAN ME FALS SMUT KI PROBLEM","Hexaconazole 5%EC 1.5 ml/ liter pani ka spray kare","UTTAR PRADESH","FATEHPUR","BHITAURA                                          ","2014-11-01 15:25:07.377"
"RABI","AGRICULTURE","Others","Others","Weather","mausum ki jankari de","mausum saaf rahega","UTTAR PRADESH","FATEHPUR","BAHUA                                             ","2014-11-01 15:31:18.643"
"RABI","AGRICULTURE","Others","Others","Training and Exposure Visits","Agri clinic ke bare me jankari leni hai","Agri clinic ke liye trainig kare, labh uthaye","UTTAR PRADESH","FATEHPUR","HATHGAON                                          ","2014-11-01 15:35:08.510"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch ki patti sikud rahi hai","Quinalphos 20% + Cypermethrin 3% @  350-500 ml/acre ka spray karen","UTTAR PRADESH","FATEHPUR","DEVMAI                                            ","2014-11-01 16:44:33.217"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","Variety of Mustard","Rohni, Maya, Narendra rai ,Variety of mustard","UTTAR PRADESH","FATEHPUR","TELYANI                                           ","2014-11-01 17:19:11.580"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","POTATO-SOWING AUR WEATHER EFFECT..?","KISAN BHAI MAUSAM SAF RAHEGA ,POTATO SOWING KARE.","UTTAR PRADESH","FATEHPUR","HASWA                                             ","2014-11-01 17:31:10.937"
"RABI","AGRICULTURE","Others","Others","Market Information","mere number par sms sewa laga den","kisan bhai sms sewa laga dee hai","UTTAR PRADESH","FATEHPUR","BHITAURA                                          ","2014-11-01 20:23:27.023"
"RABI","AGRICULTURE","Others","Others","Market Information","mere number par sms sewa laga den","kisan bhai sms sewa laga dee hai","UTTAR PRADESH","FATEHPUR","BHITAURA                                          ","2014-11-01 20:27:05.540"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","WHEAT VARIETY BATAO.","PBW-343,DBW-17,UP-2382","UTTAR PRADESH","FATEHPUR","HASWA                                             ","2014-11-01 20:39:01.393"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Weather","mausam ki jankari den","clody sky and no rain chance","UTTAR PRADESH","FATEHPUR","BHITAURA                                          ","2014-11-01 21:12:07.160"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Potato ki crop ki jankari leni hai","All information given","UTTAR PRADESH","FATEHPUR","VIJAYIPUR                                         ","2014-11-02 10:43:13.997"
"KHARIF","HORTICULTURE","Vegetables","Cluster Bean","Vegetative Propagation and Tissue Culture","mandi subhida lagaani hai","mandi subhida lagaani hai","UTTAR PRADESH","FATEHPUR","MALWAN                                            ","2014-11-02 13:17:02.283"
"RABI","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","FATEHPUR","KHAJUHA                                           ","2014-11-02 16:15:23.363"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JANKARI CHAHIE?","6NOVMBER TAK BARIS KI SAMBHAVANA NAHI HAI","UTTAR PRADESH","FATEHPUR","BHITAURA                                          ","2014-11-02 16:17:39.080"
"RABI","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","FATEHPUR","VIJAYIPUR                                         ","2014-11-02 18:05:32.053"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","mater ki buvai karni hai","khate ki mitti barabar karke mater ki buvai kare","UTTAR PRADESH","FATEHPUR","HASWA                                             ","2014-11-02 21:01:33.290"
"RABI","HORTICULTURE","Plantation Crops","Sagoan","	Plant Protection	","deemak ke liye kya dale","chlorpyriphos dawa 2 liter/acre spray kare","UTTAR PRADESH","FATEHPUR","BHITAURA                                          ","2014-11-03 11:17:14.650"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki janakri de","aaj kal mausam saaf hai","UTTAR PRADESH","FATEHPUR","AMAULI                                            ","2014-11-03 14:37:26.720"
"KHARIF","AGRICULTURE","Cereals","Wheat","Cultural Practices","weather ki jankri","abhi mausam saf hein","UTTAR PRADESH","FATEHPUR","MALWAN                                            ","2014-11-03 14:37:56.230"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bta DE","GEHU KI VAIRETY HAI PBE 502 PBW 550 HAI","UTTAR PRADESH","FATEHPUR","AMAULI                                            ","2014-11-03 14:40:16.970"
