"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahie","6 nov tak barish ki sambhavna nahi hai.","UTTAR PRADESH","FIROZABAD","NARKHI                                            ","2014-11-01 13:03:16.900"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","WEATHER REPORT BATAO../","KISAN BHAI MAUSAM SAF RAHEGA.","UTTAR PRADESH","FIROZABAD","HATHWANT                                          ","2014-11-01 19:10:21.503"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahiye","aaj kal me bearish nahi hai","UTTAR PRADESH","FIROZABAD","TUNDLA                                            ","2014-11-01 21:12:17.183"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ki jankari de","dhaan ki vistarit jankari di gai","UTTAR PRADESH","FIROZABAD","EKA                                               ","2014-11-02 15:37:45.500"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari","barish ki koi sambhavna nahi hai","UTTAR PRADESH","FIROZABAD","EKA                                               ","2014-11-03 14:29:25.810"
"KHARIF","HORTICULTURE","Fruits","Bail","	Plant Protection	","BAIL ME GOND NIKAL RHI HAI","SULFER SE DULI KAR DE 2GRAM /LITER OF WATER","UTTAR PRADESH","FIROZABAD","HATHWANT                                          ","2014-11-03 15:07:53.583"
"JAYAD","AGRICULTURE","Cereals","Wheat","Cultural Practices","ASKING ABOUT VARITIES OF PBW-343 & DBW-17","ANSWER GIVEN IN DETAIL","UTTAR PRADESH","FIROZABAD","NARKHI                                            ","2014-11-03 15:49:08.520"
"RABI","HORTICULTURE","Fruits","Bail","	Plant Protection	","bail ke fal pile ho rhe hai","blitox @ 2.5 gram /liter pani ka spray kare","UTTAR PRADESH","FIROZABAD","NARKHI                                            ","2014-11-03 21:58:56.063"
"RABI","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha 4november se 9 november tak mausam saf rahega","UTTAR PRADESH","FIROZABAD","EKA                                               ","2014-11-04 06:21:38.363"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","mandi bhav ki jankari  ke liye","mandi bhav ki suvidha ke liye","UTTAR PRADESH","FIROZABAD","EKA                                               ","2014-11-04 10:35:21.353"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","Agriculture Mechanization","Fungas disease in garlic","Blitox - 50, 2.0 gram dva ko / liter pani me mila krke spery kre","UTTAR PRADESH","FIROZABAD","HATHWANT                                          ","2014-11-04 12:17:48.580"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism kon si hai","k.-9107,h.p.-1731,narendra gehu-1012,h.u.w.-468,510,h.d.-2824,2967,p.v.w.-502,d.b.dablu.-17","UTTAR PRADESH","FIROZABAD","SHIKOHABAD                                        ","2014-11-04 14:06:05.407"
"RABI","HORTICULTURE","Vegetables","Potato","Seeds and Planting Material","alu ki jankari","alu  ki jankari di gai","UTTAR PRADESH","FIROZABAD","SHIKOHABAD                                        ","2014-11-04 18:18:17.630"
"JAYAD","HORTICULTURE","Vegetables","Capsicum","	Plant Protection	","LEAF CURL IN CAPSICUM","SPRAY ROGAR @ 2 ML./LIT.OF WATER","UTTAR PRADESH","FIROZABAD","NARKHI                                            ","2014-11-04 18:21:02.580"
"RABI","HORTICULTURE","Vegetables","Cowpea (Vegetable)","	Plant Protection	","mausam ki jankari","mausam saf rahega","UTTAR PRADESH","FIROZABAD","SHIKOHABAD                                        ","2014-11-05 10:17:58.683"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu ki prajati bataye","dbw 17,39, pbw-343,443,550,502 up-2382, hd-2967","UTTAR PRADESH","FIROZABAD","HATHWANT                                          ","2014-11-05 14:33:47.180"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","ghobhi me kit lge hai","ghobhi me- imidacloroprid @ 8 ml / tanki","UTTAR PRADESH","FIROZABAD","HATHWANT                                          ","2014-11-05 17:04:59.430"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","mandi sewa lagwani hi","mandi sewa laga diya gya hi","UTTAR PRADESH","FIROZABAD","HATHWANT                                          ","2014-11-05 21:03:54.330"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","allu me kharpatwar ke liye kya dawa dale","allu me kharpatwar ke liye Oxyflorfen 23.5 % 340 ml/acre spray kare","UTTAR PRADESH","FIROZABAD","MADANPUR                                          ","2014-11-06 07:03:50.637"
"RABI","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha 6 november se 11 november tak mausam saf rahega","UTTAR PRADESH","FIROZABAD","SHIKOHABAD                                        ","2014-11-06 09:39:21.867"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","hamari mobile pe sms aya tha","wo sms aap ki jankari ke liye diya gya tha","UTTAR PRADESH","FIROZABAD","TUNDLA                                            ","2014-11-06 14:29:39.007"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","alu me khad ki matra bta de","alu me - urea 30kg + zaim 10kg / ecar","UTTAR PRADESH","FIROZABAD","JASRANA                                           ","2014-11-06 19:58:14.630"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","WHEAT SOWING VARIETY BATAO..?","KISAN BHAI WHEAT KI AGETI VARIETY[PBW-343,502,DBW-17,UP-2382]","UTTAR PRADESH","FIROZABAD","EKA                                               ","2014-11-06 20:45:46.970"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","LAHSUN KI PATTIYAN PEELI HO RAHI HAIN","Carbofuran 3 G 1 kg a.i./ha PRAYOG KAREN","UTTAR PRADESH","FIROZABAD","ARAON                                             ","2014-11-07 13:47:24.480"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mausam ki jankari den","clean sky and no rain chance","UTTAR PRADESH","FIROZABAD","SHIKOHABAD                                        ","2014-11-07 14:13:32.373"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","POTATO ME FERTILIZER DOSE ?","NPK -150.80.100/H","UTTAR PRADESH","FIROZABAD","FIROZABAD                                         ","2014-11-07 15:46:41.270"
"RABI","AGRICULTURE","Others","Others","Credit","MANDI RATE NAHI AATA HAI","MANDI RATE APKE MOBILE PAR LAGU KAR DI GAYI HAI","UTTAR PRADESH","FIROZABAD","EKA                                               ","2014-11-08 15:07:04.687"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","ALUKA VIKAS NAHI HO RAHA HAI","Aminoacids (16) 10% 8 Kg/Acre KA PRAYOG KARE","UTTAR PRADESH","FIROZABAD","ARAON                                             ","2014-11-10 15:40:49.410"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","sms kee suvidha laga de","suvidha laga dee ja rahee he","UTTAR PRADESH","FIROZABAD","HATHWANT                                          ","2014-11-10 16:55:42.053"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","ALU KA VIAKSH NAHI HORAHA HAI","Aminoacids (16) 10% 8 Kg/Acre +ETHREL KA CHHIDKAV KARE","UTTAR PRADESH","FIROZABAD","HATHWANT                                          ","2014-11-10 17:04:59.033"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","weed problem in potato","pendamethlin 30ec ko 3.3liter /hect ka sprey kre","UTTAR PRADESH","FIROZABAD","JASRANA                                           ","2014-11-10 21:25:30.380"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kisme bataye","gehu ki kisme- DVW-17,PBW-502,UP-2382,PBW-343,","UTTAR PRADESH","FIROZABAD","FIROZABAD                                         ","2014-11-11 07:17:09.417"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","aalu me khad kaun si dalen","urea + amino acid ka prayog karen","UTTAR PRADESH","FIROZABAD","ARAON                                             ","2014-11-11 11:00:09.637"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","potato me weeds ke liye kya dale","paraquat- 200 gram/ekd","UTTAR PRADESH","FIROZABAD","MADANPUR                                          ","2014-11-11 13:57:11.780"
