"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","weather information de","baris kee sambhavana nahi he","UTTAR PRADESH","GHAZIPUR","ZAMANIA                                           ","2014-11-01 09:55:15.393"
"JAYAD","HORTICULTURE","Vegetables","Potato","Cultural Practices","FERTILIZER REQUIREMENT IN POTATO","FERTILIZER ARE N:P:K @ 180:80:100 KG./HECT.","UTTAR PRADESH","GHAZIPUR","DEVKALI                                           ","2014-11-01 10:13:23.240"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","Vegetative Propagation and Tissue Culture","variety of euclyptus","Silver Dollar Eucalyptus,Gum Eucalyptus,Black Box Eucalpytus","UTTAR PRADESH","GHAZIPUR","SADAT                                             ","2014-11-01 11:24:15.597"
"RABI","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","mausam ki jankari","badal rahega","UTTAR PRADESH","GHAZIPUR","JAKHANIA                                          ","2014-11-01 13:20:52.343"
"KHARIF","AGRICULTURE","Others","Others","Weather","mousam ki jankari de","aapke yaha pure hafte halke baadal chaye rahenge lekin barsat ki koi sambhawana nahi hai","UTTAR PRADESH","GHAZIPUR","MARDAH                                            ","2014-11-01 13:35:00.043"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Cultural Practices","Seed rate of lentil","Seed rate of lentil-30 kg /Acre","UTTAR PRADESH","GHAZIPUR","REVATIPUR                                         ","2014-11-01 16:35:44.870"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","payaj ki prajati","payaj ki prajati -Nasik red ,patna red","UTTAR PRADESH","GHAZIPUR","SAIDPUR                                           ","2014-11-01 21:16:18.853"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","Wheat showing time","Variety of wheat ,DVW-39,PBW-343,PBW-502","UTTAR PRADESH","GHAZIPUR","MANIHARI                                          ","2014-11-02 11:38:30.477"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankri chahiye","aaj kal me mausam saaf rahega","UTTAR PRADESH","GHAZIPUR","BHADAURA                                          ","2014-11-02 12:29:47.110"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch ka ful gir rha hai","mirch me- planofix @ 1ml / 5 liter pani","UTTAR PRADESH","GHAZIPUR","JAKHANIA                                          ","2014-11-02 13:35:26.860"
"RABI","HORTICULTURE","Vegetables","Potato","Field Preparation","aalu ki jankari de","aalu ki vistarit jankari di gai","UTTAR PRADESH","GHAZIPUR","JAKHANIA                                          ","2014-11-02 18:10:24.107"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","wheat ki prajati ke liye","dbw-17, pbw-343,443, ki buvai  kare","UTTAR PRADESH","GHAZIPUR","GHAZIPUR                                          ","2014-11-03 11:19:38.670"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","aaloo me urverko ki matra","180 kilogram nitrogen, 80 kilogram phoshphorus, 100 kilogram potash, 25 kilogram zinc prati hectare","UTTAR PRADESH","GHAZIPUR","MANIHARI                                          ","2014-11-03 15:56:19.927"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","lauki ki batia sukh ja rahe hai","spray carbendazim 12 % + mencozeb 63 %   2 gm/liter of water","UTTAR PRADESH","GHAZIPUR","REVATIPUR                                         ","2014-11-04 06:59:46.207"
