"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bta de","gehu ki variety pbw 502 pbw 550 pbw pbw 17 pbw 16 bo sakte hai","UTTAR PRADESH","GORAKHPUR","GAGAHA                                            ","2014-11-01 09:17:49.907"
"KHARIF","AGRICULTURE","Millets","Barnyard Millet (Kundiraivlli/Sawan","	Plant Protection	","gobhi ki ropai  karni hai","ropai kara sakte hai","UTTAR PRADESH","GORAKHPUR","CHARGAWAN                                         ","2014-11-01 13:53:36.350"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","weed problem in potato","pendamethaline @ 1.5 liter/acre ka  spray karen","UTTAR PRADESH","GORAKHPUR","CHARGAWAN                                         ","2014-11-01 16:19:20.770"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","chane ke beej ko kis se upcharit kare","chane ke beej ko Carbendazim 50%WP   se upcharit kare 2.5 gram / kg seed","UTTAR PRADESH","GORAKHPUR","KAURI RAM                                         ","2014-11-02 12:21:27.837"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Seeds and Planting Material","cauliflower ki prajati bataye","pusa synthetic ,pusa deepali, improved japanies, pusa snowbal-1 tatha pusa snowbal k-1","UTTAR PRADESH","GORAKHPUR","CHARGAWAN                                         ","2014-11-02 17:32:10.863"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","deemak ki samsaya ke liye","chaloroparipos  3ml /li ka prayog kare","UTTAR PRADESH","GORAKHPUR","CHARGAWAN                                         ","2014-11-03 11:44:08.293"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","pyaz ki paudh laga sakte hai","haa laga skte hai","UTTAR PRADESH","GORAKHPUR","BHATHAT                                           ","2014-11-03 12:42:38.217"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GEHU KI VARIETY","DVW-17,PWB -343,502","UTTAR PRADESH","GORAKHPUR","SARDARNAGAR                                       ","2014-11-03 20:45:31.723"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","gehu me kitna urea de","proper jankari di gayi","UTTAR PRADESH","GORAKHPUR","BARHALGANJ                                        ","2014-11-03 21:09:07.860"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","GEHU KI VARIETTY","PBW-502,343,154","UTTAR PRADESH","GORAKHPUR","KHORABAR                                          ","2014-11-03 21:52:12.713"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","GEHU KI VARAITY  BATAYE","PBW 343, DBW17 UP2338 DBW443","UTTAR PRADESH","GORAKHPUR","GAGAHA                                            ","2014-11-04 06:35:15.830"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Variety of  wheat","variety of wheat ,DVW-39,PBW-343,PBW-502","UTTAR PRADESH","GORAKHPUR","KAURI RAM                                         ","2014-11-04 09:25:53.187"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","NO SOUND","AWAJ NAHI MIL PAA RAHI HAI","UTTAR PRADESH","GORAKHPUR","BRAHMPUR                                          ","2014-11-04 20:26:01.893"
"RABI","AGRICULTURE","Others","Others","Fertilizer Use and Availability","gulab me phool nahi aa raha hai","npk aur suchm poshak tatv dalwaye","UTTAR PRADESH","GORAKHPUR","KHORABAR                                          ","2014-11-05 06:09:17.617"
"KHARIF","HORTICULTURE","Vegetables","Potato","Cultural Practices","malu ki jankari chahiy","prapar jankari di gai hai","UTTAR PRADESH","GORAKHPUR","PIPRAULI                                          ","2014-11-05 07:35:55.640"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","VARIETY OF WHEAT ?","DBW-17,PBW-343,","UTTAR PRADESH","GORAKHPUR","CHARGAWAN                                         ","2014-11-05 08:20:58.107"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Gahu ki variety","Narendra wheat-1012","UTTAR PRADESH","GORAKHPUR","KHORABAR                                          ","2014-11-05 09:57:22.713"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","wheat ki jankari ke liye","Dbw -17, hd-2967 ki buvai kare","UTTAR PRADESH","GORAKHPUR","CAMPIERGANJ                                       ","2014-11-05 11:26:08.490"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","Hamare yahan lebbi me kharid nahi ho rahi hai","apane jila krashi adhikari (9235629699)se sampark karen","UTTAR PRADESH","GORAKHPUR","SARDARNAGAR                                       ","2014-11-05 12:10:51.887"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","GEHUN KI JANKARI CHAHIY","PRAPAR JANKARI DI GAI HAI","UTTAR PRADESH","GORAKHPUR","BARHALGANJ                                        ","2014-11-05 13:37:10.520"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","sms ke bare me jankari","sms ke bare me jankari di gyi","UTTAR PRADESH","GORAKHPUR","BHATHAT                                           ","2014-11-05 15:40:24.297"
"KHARIF","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","343 KA SAHI SAMAY KYA HAI","20 NOVEMBER TK BUBAI KR DE","UTTAR PRADESH","GORAKHPUR","KHAJNI                                            ","2014-11-05 16:11:39.030"
"KHARIF","AGRICULTURE","Cereals","Wheat","Weather","any contact number of weather","18001801717","UTTAR PRADESH","GORAKHPUR","GOLA                                              ","2014-11-05 16:37:51.770"
"JAYAD","HORTICULTURE","Vegetables","Cauliflower","Cultural Practices","VARITIES OF CAULIFLOWER","VARITIES ARE PUSA SNOWBALL-K-T-25 & PUSA SNOWBALL-1","UTTAR PRADESH","GORAKHPUR","BHATHAT                                           ","2014-11-05 20:27:05.513"
"RABI","AGRICULTURE","Others","Others","Market Information","message band karwana hai","message alert band kar diya hai","UTTAR PRADESH","GORAKHPUR","GOLA                                              ","2014-11-06 06:48:58.413"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bataye","????? ?? ??????? - UP -2338 , ?? ?? ????? -343 ,590 ,550,?? ?? ????? -17,  HD,-3086 (???? ?????),HD,- 3043 (???? ??????),HD,- 2967(???? ????? ????),HD,- 2894(???? ????-109) ?? ????? ???","UTTAR PRADESH","GORAKHPUR","URUWA                                             ","2014-11-06 07:26:50.460"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","MAUSAM KI JANKARI CHAHIY","PRAPAR JANKARI DI GAI HAI","UTTAR PRADESH","GORAKHPUR","BARHALGANJ                                        ","2014-11-06 08:07:39.767"
"KHARIF","AGRICULTURE","Cereals","Wheat","Cultural Practices","wheat ki cultivation","PBW-343, PBW-550, DBW-17, 39","UTTAR PRADESH","GORAKHPUR","BRAHMPUR                                          ","2014-11-06 08:08:41.983"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","gehu ki jankari de","gehu ki vistarit jankari di gai","UTTAR PRADESH","GORAKHPUR","URUWA                                             ","2014-11-06 09:09:25.720"
"KHARIF","AGRICULTURE","Cereals","Wheat","Cultural Practices","wheat ki cultivation","abhi PBW-443, 343, HUW-510,DBW-17","UTTAR PRADESH","GORAKHPUR","SARDARNAGAR                                       ","2014-11-06 09:18:20.173"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","DBW-17 AUR PBW-550 KI BUVAI KAB TAK KARE","20 NOV TAK BUVAI KARA DE","UTTAR PRADESH","GORAKHPUR","JANGAL KAUDIA                                     ","2014-11-06 10:45:58.050"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","GEHUN KI PRAJATI BATAYEN","DBW 17 PRAJATI UGAYEN","UTTAR PRADESH","GORAKHPUR","BARHALGANJ                                        ","2014-11-06 11:18:24.397"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Seed treatment of potato","Carbendazim 50% 2.5 gram/kg seed Treatment kre","UTTAR PRADESH","GORAKHPUR","BHATHAT                                           ","2014-11-06 15:56:48.643"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","gehu me urverko ki matra","120 kilogram nitrogen, 60 kilogram phosphorus, 40 kilogram potash/ hectare","UTTAR PRADESH","GORAKHPUR","KHAJNI                                            ","2014-11-06 20:00:02.777"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","gehu ki DBW-17 kism kaisi hai","gehu ki DBW-17 kisme upaj 60-65 quintal/hectare, 130-135 din me taiyar, ratua rog avrodhi, ageti kisme hai","UTTAR PRADESH","GORAKHPUR","KHAJNI                                            ","2014-11-06 20:16:54.533"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kisme","PBW-343, 443, 502, DBW-17","UTTAR PRADESH","GORAKHPUR","KHAJNI                                            ","2014-11-06 20:40:53.440"
"RABI","AGRICULTURE","Beekeeping","Beekeeping","Cultural Practices","beekeeping karna chahte hai","beekeeping ke liye jila udyan vibhag se sampark kare","UTTAR PRADESH","GORAKHPUR","KHAJNI                                            ","2014-11-07 06:28:33.790"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","GEHU ME PANI KAB LAGAYE","GEHU ME 21 DIN PE PAHALA PANI LAGAYE","UTTAR PRADESH","GORAKHPUR","URUWA                                             ","2014-11-07 06:42:00.920"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","genhu ki prajati bataye","genhu ki prajati – HD-2967, DBW-17, k-307(shatabdi),PBW-343,373,550, SONALIKA","UTTAR PRADESH","GORAKHPUR","URUWA                                             ","2014-11-07 08:36:35.743"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","GEHU KI PANI LAGAHAI","HALKI SICHAI KARE","UTTAR PRADESH","GORAKHPUR","URUWA                                             ","2014-11-07 08:53:50.707"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","BARISH NHI HOGI MOUSAM SAF RAHEGA","UTTAR PRADESH","GORAKHPUR","SARDARNAGAR                                       ","2014-11-07 10:42:00.040"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","pest in red gram","Monocrotophos 36% SC 1.5 - 2 ml / liter pani ka ghool banaker spray kare","UTTAR PRADESH","GORAKHPUR","URUWA                                             ","2014-11-07 12:00:16.100"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Wheat ki crop me urea ke spary ki jankari leni hai","15 gram Urea ko /liter pani me mila krke spray kre","UTTAR PRADESH","GORAKHPUR","BANSGAON                                          ","2014-11-07 12:38:59.197"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","wheat ki jankari ke liye","wheat ki jankaridi gayi hai","UTTAR PRADESH","GORAKHPUR","KHAJNI                                            ","2014-11-07 12:57:51.370"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","control of insect in brinjal","mailathiyan 2 ml /liter spray","UTTAR PRADESH","GORAKHPUR","GAGAHA                                            ","2014-11-07 18:43:22.700"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bta de","gehu ki variety hai pbw 502 pbw 550 pbw 17 bo sakte hai app","UTTAR PRADESH","GORAKHPUR","KAURI RAM                                         ","2014-11-07 18:50:45.640"
"KHARIF","HORTICULTURE","Fruits","Mango","Cultural Practices","mango leaves me rounding  hao","boric acid 2 gram + copper oxicloride 2.5 gram /litre pani me spray","UTTAR PRADESH","GORAKHPUR","KAURI RAM                                         ","2014-11-08 06:16:12.853"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","Gehun kee prajati DBW-17 ke Vishay me jankari den","Gehun kee prajati DBW-17 ke Vishay me jankari dee gayi","UTTAR PRADESH","GORAKHPUR","KHAJNI                                            ","2014-11-08 07:02:47.483"
"RABI","HORTICULTURE","Vegetables","Cluster Bean","Soil Testing","VARITY OF WHEAT","pvw343","UTTAR PRADESH","GORAKHPUR","KHAJNI                                            ","2014-11-08 11:20:09.240"
"RABI","AGRICULTURE","Others","Others","Weather","MOSAM KI JANKARI","MOSAM SAAF RAHEGA","UTTAR PRADESH","GORAKHPUR","BELGHAT                                           ","2014-11-08 13:36:50.240"
"RABI","HORTICULTURE","Fruits","Aonla","Agriculture Mechanization","problem in aonla","planofix 1ml/4liter ka sprey kre","UTTAR PRADESH","GORAKHPUR","URUWA                                             ","2014-11-08 15:43:08.130"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki kheti ke bare me bataye","gehu ki kheti ke bare me jankari di gayi","UTTAR PRADESH","GORAKHPUR","BARHALGANJ                                        ","2014-11-08 15:52:55.770"
"KHARIF","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","some varieties of onion","Bellary Red, Pusa Red, NP 53, Arka Niketan, Arka Kalyan, Arka Lalima,  Arka Kirthiman, Arka Pitamber, Arka Kalyan","UTTAR PRADESH","GORAKHPUR","GOLA                                              ","2014-11-08 18:52:09.850"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Gehun kee prajatiyan batayen","Gehun kee prajatiyan-WH-1105,PBW-343,UP-2338,UP-2382,PBW-502,DBW-17,PBW-550","UTTAR PRADESH","GORAKHPUR","BRAHMPUR                                          ","2014-11-09 11:55:24.323"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","seed treatment of wheat","gehu ka beej sodhan carbendazim 2 gram prati kilogram beej ki dar se sodhit kare","UTTAR PRADESH","GORAKHPUR","PIPRAICH                                          ","2014-11-10 08:52:27.107"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","minikamdhenu yojna ki jankari de","aap WWW.agriculture.up.nic.in  par ya 18001805141 par subah 10 baje se sham ke 5 baje tak sampark kar sakte hai","UTTAR PRADESH","GORAKHPUR","GOLA                                              ","2014-11-10 10:02:27.260"
"RABI","HORTICULTURE","Vegetables","Curry Leaf","Vegetative Propagation and Tissue Culture","MAUSAM KI JASNKARI","mausam saf rahega","UTTAR PRADESH","GORAKHPUR","CAMPIERGANJ                                       ","2014-11-10 10:12:28.440"
"RABI","HORTICULTURE","Fruits","Mulberry","Training and Exposure Visits","mausam ki jankari","mausam saf rahega","UTTAR PRADESH","GORAKHPUR","BRAHMPUR                                          ","2014-11-10 10:53:34.660"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BALI ME KIT LAGE HAI KYA KARE","QYUNALPHAS 25%EC KA PRYOG KARE","UTTAR PRADESH","GORAKHPUR","BHATHAT                                           ","2014-11-10 11:15:34.200"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","sprayer par kya chhoot he","kisan bhai block,kirashi raksha ikai par sammpark karen","UTTAR PRADESH","GORAKHPUR","BELGHAT                                           ","2014-11-10 14:11:58.813"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","WHEAT KI VARIETY","DBW-17, PBW-343, PBW-502, HD-2824, UP-2382","UTTAR PRADESH","GORAKHPUR","KHORABAR                                          ","2014-11-10 16:19:38.783"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Field Preparation	","AK-47 rai kee prajati ke Vishay me batyen","AK-47 rai kee prajati ke Vishay me jankari dee gayi","UTTAR PRADESH","GORAKHPUR","CHARGAWAN                                         ","2014-11-10 16:45:42.453"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","gehun ki fasal ke bare me jankari chaiye ?","gehun ki fasal ke bare me jankari di gayi","UTTAR PRADESH","GORAKHPUR","","2014-11-10 17:58:37.207"
"RABI","HORTICULTURE","Vegetables","Onion","Cultural Practices","Payaij ki variety","Pusa red","UTTAR PRADESH","GORAKHPUR","CAMPIERGANJ                                       ","2014-11-10 20:42:21.317"
