"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Millets","Buck Wheat (Kaspat)","Market Information","varity of musterd","asirvad vardan","UTTAR PRADESH","HAMIRPUR","MUSKARA                                           ","2014-11-01 12:03:31.073"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","mosam ke bare batye","badal rhe ge","UTTAR PRADESH","HAMIRPUR","MAUDAHA                                           ","2014-11-01 12:31:37.137"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","BUFFALO ME HEAT STABILITY PROBLEM.","PLS. CONTACT TO NEAR BLOCK LEVEL VETERINARY SURGEON.","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-11-01 18:09:56.023"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","mater ki seed upchar jankari","theram ya krapatan 2.5 gram dava /kg seed ka upchar","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-11-01 19:22:46.910"
"RABI","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha 2 november se 7 november tak badal bane rhene ki sambhawana hai","UTTAR PRADESH","HAMIRPUR","SARILA                                            ","2014-11-02 11:56:42.717"
"RABI","AGRICULTURE","Others","Others","Weather","?  Mausam ki jankari leni hai","badal rahenge barish ki sambhavna nahi hai","UTTAR PRADESH","HAMIRPUR","KURARA                                            ","2014-11-02 13:01:06.450"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","chane me kata lag gyha hai ?","malathiyan 5%8kg./acre ka prayog kare","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-11-02 18:58:55.000"
"RABI","AGRICULTURE","Others","Others","Varieties","GEHU KI VARIETY BATAYE","????? ?? ??????? - UP -2338 , ?? ?? ????? -343 ,590 ,550,?? ?? ????? -17,  HD,-3086 (???? ?????),HD,- 3043 (???? ??????),HD,- 2967(???? ????? ????),HD,- 2894(???? ????-109) ?? ????? ???","UTTAR PRADESH","HAMIRPUR","MAUDAHA                                           ","2014-11-02 21:21:23.577"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","MAUSAM KI JANKARI CHAHIY","MAUSAM SAPH RAHEGA VARISH NAHI HOGI","UTTAR PRADESH","HAMIRPUR","SUMERPUR                                          ","2014-11-03 12:52:07.680"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","sarson me keeda laga hai","monocrotophos 2 ml/litre paani me milaakar spray karen","UTTAR PRADESH","HAMIRPUR","GOHAND                                            ","2014-11-04 07:30:30.177"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu ki varaity bataye","pbw 343, dbw 17 pbw443,","UTTAR PRADESH","HAMIRPUR","MAUDAHA                                           ","2014-11-04 12:17:45.367"
