"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehun ki variety","pi.bi.dablu 343,di bi dablu -17","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Hapur","2014-11-01 15:42:51.433"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","onion ki prajati bataye","agri found  dark red , agri found light red, pusa ratnar, pusa madhavi,","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Garh Mukteshwar","2014-11-01 18:31:02.893"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","GEHU KI PRAJATI","GEHU KI PRAJATI -HD-2967,HD-3086,DBW-17,DBW-550,PBW-343,PBW-443","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Dhaulana","2014-11-03 13:48:16.010"
"RABI","AGRICULTURE","Cereals","Wheat","Storage","genhu me bhandaran ke bare me jankari chahiye","genhu me bhandaran ke bare me jankari di gai","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Hapur","2014-11-04 06:33:09.777"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki prajati batae","pbw-343,pbw550,dbw17","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Garh Mukteshwar","2014-11-04 09:25:32.660"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","genhu ki prajati bataye","genhu ki prajati – HD-2967, DBW-17, k-307(shatabdi),PBW-343,373,550, SONALIKA","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Simbholi","2014-11-04 10:30:39.590"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","MUSTARD VARIETY ?","VARDAN ,ASHIRVAD","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Hapur","2014-11-05 08:32:58.823"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","	Plant Protection	","dhaniya me chempa lga hai kya kare","methyle-o-dematan 25 EC @ 1.0 liter prati hectare ka spray kare","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Dhaulana","2014-11-05 09:22:00.550"
"RABI","AGRICULTURE","Oilseeds","Mustard","Weather","MAUSAM KI JANKARI CHAHIY","MAUSAM SAPH RAHEGA VARISH NAHI HOGI","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Hapur","2014-11-05 09:28:03.880"
"RABI","HORTICULTURE","Vegetables","Potato","Nutrient Management","aaloo me kya khad lagaye","??? ?? ??? ???- 150 ????????? ?????????+100 ????????? ????????+ 100 ????????? ????? ?? ???????? ???? ????? ????? ????????? ?? ??? ?????? ?? ???????? ????? ?? ???? ?????? ????? ?? ??? ?? ,????????? ?? ??? ??? ?????? ?? ???? ????? ?? ????? ????? ??? ???? ?????","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Hapur","2014-11-05 11:36:09.040"
