"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Millets","Barnyard Millet (Kundiraivlli/Sawan","	Plant Protection	","mausam ki jankari","badal rahega","UTTAR PRADESH","JALAUN","NADIGAON                                          ","2014-11-01 09:37:45.920"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","	Plant Protection	","varity  of wheat","pvw343 pvw443 npvw17 narendra gehu1012","UTTAR PRADESH","JALAUN","JALAUN                                            ","2014-11-01 09:50:44.070"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","mosam ki jankari","mosam saf rahega baris nahi hogi","UTTAR PRADESH","JALAUN","DAKORE                                            ","2014-11-01 09:57:33.880"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","HD 2967 wheat KA BEEJ SE MIL JAYEGA","Pusa Helpline: 011-25841670 / 25841039, Pusa Agricom (1800-11-8989 Toll free)","UTTAR PRADESH","JALAUN","DAKORE                                            ","2014-11-01 10:18:32.823"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JAAN KARI","MAUSAM SAAAF HAI","UTTAR PRADESH","JALAUN","MAHEVA                                            ","2014-11-01 12:32:46.187"
"KHARIF","AGRICULTURE","Fiber Crops","Roselle (Mesta)","	Plant Protection	","MOSAM KE BARE BATYE","BADAL RHE GE","UTTAR PRADESH","JALAUN","NADIGAON                                          ","2014-11-01 13:48:59.230"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari leni hai","mausam sahi rahega","UTTAR PRADESH","JALAUN","NADIGAON                                          ","2014-11-01 13:54:48.600"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mosam ki jankari","mosam saf rahega baris nahi hogi","UTTAR PRADESH","JALAUN","KUTHAUND                                          ","2014-11-01 14:50:22.167"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION IN JALAUN","HALKI BADLI HAI","UTTAR PRADESH","JALAUN","MAHEVA                                            ","2014-11-01 16:08:33.830"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION IN JALAUN","HALKI BADLI HAI","UTTAR PRADESH","JALAUN","MAHEVA                                            ","2014-11-01 16:12:39.627"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION IN JALAUN","HALKI BADLI HAI","UTTAR PRADESH","JALAUN","MAHEVA                                            ","2014-11-01 16:14:30.627"
"KHARIF","AGRICULTURE","Others","Others","Weather","about weather","told about weather","UTTAR PRADESH","JALAUN","DAKORE                                            ","2014-11-01 16:39:54.423"
"RABI","AGRICULTURE","Pulses","Lentil (Masur)","Agriculture Mechanization","masur ki kheti ki jankari de","????????? ????? 200 ????? ?? 10 ???? ????? ???? ?? ??? ?? ??????? ???? ????? ??","UTTAR PRADESH","JALAUN","DAKORE                                            ","2014-11-01 17:38:06.113"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","til ki prajati","til ki prajati -panjab til,pratap,vinayak,hima","UTTAR PRADESH","JALAUN","KONCH                                             ","2014-11-01 20:14:53.893"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","kabuli chane ki variety bataye","kabuli chane ki variety - pusa - 1003,chamtkar, shubhra , ki buwai kare","UTTAR PRADESH","JALAUN","KONCH                                             ","2014-11-02 11:33:00.280"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Cultural Practices","Fertilizer  dose in pea","52 kg DAP+26 Kg MOP/Acre","UTTAR PRADESH","JALAUN","DAKORE                                            ","2014-11-02 12:19:54.167"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","genhu ki unnat prajati bataye","DBW-17,PBW-343,hd-2967,PBW-502.550","UTTAR PRADESH","JALAUN","KUTHAUND                                          ","2014-11-02 14:11:35.070"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","kharpatwar ke liye dawa bataye","glyphosate dawa 41% 500-600 ml acre spray kare","UTTAR PRADESH","JALAUN","DAKORE                                            ","2014-11-02 16:26:16.583"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","SARSON KI PATTI SAFED HO RHI HAI KYA KARE","mancozeb 63 % @ 2 g / litar pani ka spray kare","UTTAR PRADESH","JALAUN","MADHOGARH                                         ","2014-11-02 18:24:09.173"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","pyaj ki jankari chahiy","prapar jankari di gai hai","UTTAR PRADESH","JALAUN","JALAUN                                            ","2014-11-03 11:08:48.770"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","AGRICULTURE MACHINARY KI JANKARI LENI HAI","Apne Krishi Jila Adhikari Se Sampark Kare","UTTAR PRADESH","JALAUN","DAKORE                                            ","2014-11-03 11:29:48.550"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","	Plant Protection	","matar ki prajaati chahiye","pant matar 5, 74, 42 , aparna , uttara, sati","UTTAR PRADESH","JALAUN","KONCH                                             ","2014-11-03 12:52:19.610"
"KHARIF","AGRICULTURE","Cereals","Wheat","Cultural Practices","wheat ki variety","pbw- 343, pbw-443, DBW-17","UTTAR PRADESH","JALAUN","KADAURA                                           ","2014-11-03 13:14:55.547"
