"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aloo me motha ke liye dawa bataye","neeraai karwa kar kharpatwaar prabandhan karwaye","UTTAR PRADESH","JAUNPUR","KERAKAT                                           ","2014-11-01 09:44:04.980"
"RABI","AGRICULTURE","Others","Others","Weather","mosam ki jankari","kisan bhai apake yahan 6 novembar tak mosam saf hai","UTTAR PRADESH","JAUNPUR","MACHCHALI SHAHAR                                  ","2014-11-01 10:13:14.140"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","wheat kee variety bata de","PBW-343,PBW-16 VAR-OF WHEAT","UTTAR PRADESH","JAUNPUR","BAKSHA                                            ","2014-11-01 11:12:01.300"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JANAKRI DE","aaj kal mausam saaf hai","UTTAR PRADESH","JAUNPUR","MACHCHALI SHAHAR                                  ","2014-11-01 12:01:33.807"
"RABI","AGRICULTURE","Others","Others","Market Information","message alert karwana hai","message alert laga diya  ja raha hai jald hi message prapt hone lagenge","UTTAR PRADESH","JAUNPUR","MACHCHALI SHAHAR                                  ","2014-11-01 12:11:10.193"
"KHARIF","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","gehu ki parjati","gehu  ki parjati HD-2967,HD-17,HD-550,PBW-343,PBW-443","UTTAR PRADESH","JAUNPUR","RAM NAGAR                                         ","2014-11-01 12:42:23.880"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","Zero seed dril machine kahan se milegi","Zero seed dril machine ke liye aap apane U P agro se sampark karen","UTTAR PRADESH","JAUNPUR","SHAH GANJ                                         ","2014-11-01 13:12:12.343"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehun 2967 ki jankari","gehun 2967 ki jankari di gai","UTTAR PRADESH","JAUNPUR","MUFTI GANJ                                        ","2014-11-01 13:32:25.373"
"RABI","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha 1 november se 6 november tak badal bane rhene ki sambhawana hai","UTTAR PRADESH","JAUNPUR","SIKRARA                                           ","2014-11-01 15:34:04.993"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism bta de","gehu ki kism- PBW-343,PBW-550","UTTAR PRADESH","JAUNPUR","DOBHI                                             ","2014-11-01 16:00:02.693"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","AAM KE BAARE ME JANAKRI CHAHIYE","PROPER JANAKRI DI GAI","UTTAR PRADESH","JAUNPUR","MACHCHALI SHAHAR                                  ","2014-11-01 16:02:15.647"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","wheat ki variety bataye","PBW-502.550, DBW-17, HD-2967","UTTAR PRADESH","JAUNPUR","MUFTI GANJ                                        ","2014-11-01 16:24:23.360"
"KHARIF","HORTICULTURE","Vegetables","Onion","Market Information","pyaaj ki jankari.","40 din ka nursary hone ke baad ropaai kare","UTTAR PRADESH","JAUNPUR","RAM PUR                                           ","2014-11-01 17:15:22.630"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","genhu ki prajati bataye","genhu ki prajati -DBW-17 k-307(shatabdi),PBW-343,373,550, SONALIKA","UTTAR PRADESH","JAUNPUR","KERAKAT                                           ","2014-11-01 17:30:29.857"
"RABI","HORTICULTURE","Vegetables","Onion","Cultural Practices","pyaj ki kheti ki jankari den","poori jankari dee gayi hai","UTTAR PRADESH","JAUNPUR","RAM PUR                                           ","2014-11-01 17:33:52.083"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","mosam ki jankari","mosam saf rahega baris nahi hogi","UTTAR PRADESH","JAUNPUR","MACHCHALI SHAHAR                                  ","2014-11-01 19:46:14.367"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ki bali bhuri horhi hai kya kare","??? ??? ????????????? @ 200 ml /150 ????  ????  ??  ??????  ???","UTTAR PRADESH","JAUNPUR","BAKSHA                                            ","2014-11-01 21:41:53.763"
"RABI","AGRICULTURE","Cereals","Wheat","Nutrient Management","gehu me kya khad lagaye","150 ????????? ?????????+60 ????????? ???????? 40 ????????? ????? ?? ???????? ???? ????? ????? ????????? ?? ??? ?????? ?? ???????? ????? ?? ???? ?????? ????? ?? ??? ??","UTTAR PRADESH","JAUNPUR","BAKSHA                                            ","2014-11-01 21:52:24.760"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki kisme bataye","gehu ki kisme-dvw 17,pbw 550,dvw 14,pbw 373,","UTTAR PRADESH","JAUNPUR","KARANJA KALA                                      ","2014-11-02 10:55:02.257"
"RABI","AGRICULTURE","Others","Others","Government Schemes","phaslo ke bare me massege suvidha chahie","massage subidha activate kar diya gaya","UTTAR PRADESH","JAUNPUR","SUITHA KALA                                       ","2014-11-02 12:14:45.247"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me khad","100 quntal gober ki khad ,3 bori DAP,60 kg MOP /ekar","UTTAR PRADESH","JAUNPUR","SHAH GANJ                                         ","2014-11-02 13:04:02.060"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki kisme bataye","gehu ki kisme- dvw-17,pbw-502,up-2382,pbw-343,","UTTAR PRADESH","JAUNPUR","KARANJA KALA                                      ","2014-11-02 13:23:09.490"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","baegan me fal chedk lge hai","baegan me - daimethoet @ 2 ml / liter pani","UTTAR PRADESH","JAUNPUR","DOBHI                                             ","2014-11-02 13:23:18.417"
"RABI","HORTICULTURE","Fruits","Aonla","Cultural Practices","aonla ka phul gir ja rahe hai dava batae","plenophix @1ml. dava4lit.pani me milakar spray kare.","UTTAR PRADESH","JAUNPUR","KERAKAT                                           ","2014-11-02 13:33:07.300"
"RABI","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha 2 november se 7 november tak badal bane rhene ki sambhawana hai","UTTAR PRADESH","JAUNPUR","BADLA PUR                                         ","2014-11-02 14:05:50.313"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Variety of WHEAT","variety of wheat ,DVW-39,PBW-343,PBW-502","UTTAR PRADESH","JAUNPUR","MACHCHALI SHAHAR                                  ","2014-11-02 14:14:36.197"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","paddy me dane me kalapan hai","Netivo 75%- 80 gram/ekd","UTTAR PRADESH","JAUNPUR","RAM PUR                                           ","2014-11-02 16:37:24.170"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","genhu ki prajati bataye","genhu ki prajati – HD-2967, DBW-17, k-307(shatabdi),PBW-343,373,550, SONALIKA","UTTAR PRADESH","JAUNPUR","KERAKAT                                           ","2014-11-02 18:45:47.833"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","lea curl proble in brinjal, which treatment is applied","imidachlorpid 100 ml/ekd+200 liter pani ka spray kare","UTTAR PRADESH","JAUNPUR","KERAKAT                                           ","2014-11-02 19:17:54.360"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki achhi kism batae?","pbw343,pbw550 dbw17","UTTAR PRADESH","JAUNPUR","SHAH GANJ                                         ","2014-11-02 19:32:33.617"
"RABI","AGRICULTURE","Others","Others","Weather","mausum ki jaqnkari de","mausum saaf rahega","UTTAR PRADESH","JAUNPUR","BADLA PUR                                         ","2014-11-02 20:14:07.760"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","alu me krptvar ki dva bta de","alu me matribuzin @ 100 ml // ecar","UTTAR PRADESH","JAUNPUR","SUJAN GANJ                                        ","2014-11-02 21:00:32.253"
"RABI","HORTICULTURE","Vegetables","Spinach (Palak)","Cultural Practices","palak ke bij ko ko kisase upcharit karenge","2.5gm trichoderma /kilo bij ko upcharit kare","UTTAR PRADESH","JAUNPUR","KHUTHAN                                           ","2014-11-02 21:01:14.140"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan me kalapan ho gaya hai","propiconazol 2 ml/li pani me milaakar spray kare","UTTAR PRADESH","JAUNPUR","SIKRARA                                           ","2014-11-03 11:22:04.883"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","GEHU KI JANKARI CHAHIY","PRAPAR JANKARIDI GAI HAI","UTTAR PRADESH","JAUNPUR","JALAL PUR                                         ","2014-11-03 12:28:22.983"
"KHARIF","AGRICULTURE","Others","Others","Weather","MOSAM KI JANKARI","MOSAM SAAF RAHEGA","UTTAR PRADESH","JAUNPUR","SUJAN GANJ                                        ","2014-11-03 15:25:22.010"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","ASKING ABOUT WHEAT CROP","ANSWER GIVEN IN DETAIL","UTTAR PRADESH","JAUNPUR","RAM NAGAR                                         ","2014-11-03 18:52:17.963"
"RABI","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","gehun ka seed rate","100 kg/hai prayog karen","UTTAR PRADESH","JAUNPUR","DOBHI                                             ","2014-11-04 08:26:47.170"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Variety of wheat","variety of wheat ,DVW-14,PBW-373,HD*2824,PBW-502","UTTAR PRADESH","JAUNPUR","BAKSHA                                            ","2014-11-04 10:32:07.650"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism bta de","gehu ki kism- PBW-343,PBW443,DBW-17,PBW550,PBW-502","UTTAR PRADESH","JAUNPUR","RAM NAGAR                                         ","2014-11-04 18:07:49.397"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","WHEAT KEE VARIETY BATA DE","PBW-343,DBW-17 WHEAT VARIETY","UTTAR PRADESH","JAUNPUR","RAM NAGAR                                         ","2014-11-04 18:09:46.383"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","dbw-17 ke bare me jankari","dbw-17 ke bare me jankari di gyi","UTTAR PRADESH","JAUNPUR","RAM PUR                                           ","2014-11-04 21:15:33.213"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","fungas in chillies","Carbendazim 12% + Mancozeb 63% WP400 gm/acre","UTTAR PRADESH","JAUNPUR","RAM NAGAR                                         ","2014-11-05 06:54:07.477"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","fertilizer dose of wheat","Apply urea 85 kilogram, DAP 52 kilogram ,mop 26 kilogram per ekad","UTTAR PRADESH","JAUNPUR","SIRKONI                                           ","2014-11-05 08:33:32.553"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","Cultural Practices","MASHROOM KI JANKARI CHAHIY","PRAPAR JANKARI DI GAI HAI","UTTAR PRADESH","JAUNPUR","DHARMA PUR                                        ","2014-11-05 08:40:28.673"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Little leaf disease in brinjal","Metasystox 2.0 Ml dwa ko/ liter pani me mila krke spary kre","UTTAR PRADESH","JAUNPUR","MUNGRA BADSHAH PUR                                ","2014-11-05 09:35:12.927"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","AALOO GHASS KI DWA KO BATAYE","??? ??? ??? ?? ??? - ????????????? 23.5 % EC @ 340 ml / 150 ???? ????  ??  ??????  ???","UTTAR PRADESH","JAUNPUR","MAHARAJ GANJ                                      ","2014-11-05 10:10:13.450"
"RABI","AGRICULTURE","Cereals","Oats ","	Field Preparation	","manure in brinjal","npk-19 19 19 2kg\acr","UTTAR PRADESH","JAUNPUR","MUNGRA BADSHAH PUR                                ","2014-11-05 10:23:26.847"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","kya gehun kee PBW-502 kee bubai kar sakata  hai","gehun kee PBW-502 kee bubai kar sakata  hai","UTTAR PRADESH","JAUNPUR","BADLA PUR                                         ","2014-11-05 10:31:57.453"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","GEHU KI VARAITY BATAYE","PBW 343, PBW443, UP2338","UTTAR PRADESH","JAUNPUR","KHUTHAN                                           ","2014-11-05 10:53:04.527"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","	Plant Protection	","varity of wheat","pvw343 pvw443 narendra gehu1012","UTTAR PRADESH","JAUNPUR","BAKSHA                                            ","2014-11-05 12:02:26.487"
"RABI","AGRICULTURE","Cereals","Oats ","Weed Management","mausam ki jankari","mausam saf rahega","UTTAR PRADESH","JAUNPUR","SUITHA KALA                                       ","2014-11-05 13:08:56.760"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","genhu ki prajati ke bare me jankari chahiye","PBW-343,443,502,550, DBW-17, HD-2967, HD-1105,","UTTAR PRADESH","JAUNPUR","SUJAN GANJ                                        ","2014-11-05 13:38:38.343"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","weather ki jankri","abhi mausam saf hein","UTTAR PRADESH","JAUNPUR","KHUTHAN                                           ","2014-11-05 13:42:07.983"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Agriculture Mechanization","gobhi ki variety bataye","pusa hybrid - 2, pusa subhra, pusa agahani , pant gobhi - 4 ki buwai kare","UTTAR PRADESH","JAUNPUR","SUITHA KALA                                       ","2014-11-05 13:52:11.890"
"RABI","HORTICULTURE","Flowers","Rose","Field Preparation","gulab ki jankari de","gulab ki vistari jankari di gai","UTTAR PRADESH","JAUNPUR","DOBHI                                             ","2014-11-05 15:42:15.973"
"KHARIF","AGRICULTURE","Cereals","Wheat","Government Schemes","sms aay hai beej ke anudaan ka kahan se milega","block ya society pe sampark kare","UTTAR PRADESH","JAUNPUR","SUJAN GANJ                                        ","2014-11-05 15:50:24.623"
