"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aaloo me pilapan ho gaya hai","NPK 19-19-19  10 GRAAM + ZINK 2 GRAAM + MANCOZEB 2 GRAAM /LI PANI ME MILAAKAR SPRAY KARE","UTTAR PRADESH","JPNAGAR","GANGESHWARI                                       ","2014-11-01 15:43:14.627"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki ageti kism bataye","gehu ki  unnatishil kism: pbw-343, dbw-17, up-2382,pbw-443, pbw-550,pbw-502","UTTAR PRADESH","JPNAGAR","HASANPUR                                          ","2014-11-01 20:52:18.173"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","DBW -17 ki jankari ke liye","DBW -17 ki jankari di gayi hai","UTTAR PRADESH","JPNAGAR","HASANPUR                                          ","2014-11-03 12:14:50.890"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","some varieties of wheat","pbw-343,550,dbw-17","UTTAR PRADESH","JPNAGAR","JOYA                                              ","2014-11-03 14:34:55.153"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","GEHU KI VAIRETY BTA DE","GEHU KI VAIRETY HAI PBW 343 PBWV 502 PBW 550 BO SAKTE HAI APP","UTTAR PRADESH","JPNAGAR","AMROHA                                            ","2014-11-03 15:16:40.070"
"KHARIF","AGRICULTURE","Others","Others","Weather","mosam ki jankari","mosam saaf rahega","UTTAR PRADESH","JPNAGAR","HASANPUR                                          ","2014-11-03 19:07:53.697"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aaloo me bhunga lg rha hai","dimathoate 30 E.C. @ 1.5 ml/liter pani ka spray kare","UTTAR PRADESH","JPNAGAR","GANGESHWARI                                       ","2014-11-04 09:02:08.207"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","gehu ki early kisme west UP ke liye","PBW-343, 443, 502, 550, DBW-17, WH-542, HD-2851, 2967, 2894
HD-2967, 2733, 2824, DBW-39, k-307, HUW-468, PBW-343, HP-1761, 1731","UTTAR PRADESH","JPNAGAR","HASANPUR                                          ","2014-11-04 13:02:08.743"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","ganne me khad ke liye kya de","kisan bhai ganne me khad ke liye 150 kg nitrogen,80 kg phosphorus,40 kg potash/hactayer se de","UTTAR PRADESH","JPNAGAR","GANGESHWARI                                       ","2014-11-04 17:28:56.887"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","MESSEGE SUVIDHA LAGA DIJIYE","MESSEGE SUVIDHA LAGA DIYA GAYA HAI","UTTAR PRADESH","JPNAGAR","DHANAURA                                          ","2014-11-04 20:02:05.060"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","AALOO SOOKH RAHA HAI","MANCOZEB+CARBENDAZIM 2 GM/LTR KA SPRAY KARE","UTTAR PRADESH","JPNAGAR","AMROHA                                            ","2014-11-05 06:50:54.337"
"RABI","AGRICULTURE","Others","Others","Market Information","amaroha mandi me gehu ka ret kya hai","1470 Rs/Quintal","UTTAR PRADESH","JPNAGAR","JOYA                                              ","2014-11-05 14:16:54.107"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism bta de","gehu ki kism- DBW-17,PBW-343,PBW550,502,PBW373,HD-2967","UTTAR PRADESH","JPNAGAR","DHANAURA                                          ","2014-11-05 18:58:49.190"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","aalu ki achchhi paidawar ke liye kya karen","amino acid 6-8 kilo gram/acre + urea ka prayog karen","UTTAR PRADESH","JPNAGAR","GAJRAULA                                          ","2014-11-06 07:13:07.427"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Artificial Insemination","gaai gyabhin nahi ho rahi hai","contact your block vetrinary officer or 18001805141","UTTAR PRADESH","JPNAGAR","GANGESHWARI                                       ","2014-11-06 07:18:39.590"
"RABI","AGRICULTURE","Cereals","Wheat","Market Information","GEHUN KA MARKET RATE","1450 RUPAY / QUINTAL","UTTAR PRADESH","JPNAGAR","AMROHA                                            ","2014-11-06 11:21:52.370"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalo mai jhulsa","Mancozeb 75% WP 600 gram/acre","UTTAR PRADESH","JPNAGAR","HASANPUR                                          ","2014-11-06 14:47:49.587"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","	Plant Protection	","matar me wilting ke liye kya kare","trichoderma @ 1.0 kilogram / acre ka prayog kare","UTTAR PRADESH","JPNAGAR","HASANPUR                                          ","2014-11-06 15:09:44.760"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","VARIETY OF WHEAT","VL-829, HS-420, HS-335,DWB-14,NW-2036 KI BUWAI KRE","UTTAR PRADESH","JPNAGAR","GANGESHWARI                                       ","2014-11-06 16:18:45.447"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","Seeds and Planting Material","Varieties: ginger","Rio de Janeiro, Maran Nadan, Suruchi, Suravi, Suprabha, Himagiri,IISR Varada, IISR Mahima and IISR Rejatha Athira and Karthika are the popular varieties","UTTAR PRADESH","JPNAGAR","JOYA                                              ","2014-11-06 17:20:51.923"
