"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","BOVAI KE BAD JIPSUM KA PRAYOG KAR SAKTE HAI","JIPSUM KA PRAYOG BOVAI KE TIME KARE","UTTAR PRADESH","KANNAUJ","GUGHRAPUR                                         ","2014-11-01 09:28:26.740"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","mosam ki jankari","mosam saf rahega baris nahi hogi","UTTAR PRADESH","KANNAUJ","KANNAUJ                                           ","2014-11-01 09:49:25.493"
"RABI","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","Seeds","PEELI SARSO KI KISM BATAYE","PEELI SARSO KI KISM-BASNTI,","UTTAR PRADESH","KANNAUJ","GUGHRAPUR                                         ","2014-11-01 11:12:18.067"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","weather information de","baris kee sambhavana nahi he","UTTAR PRADESH","KANNAUJ","UMARDA                                            ","2014-11-01 12:24:46.577"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KE BARE ME JANNA HAI","BARIS KI SAMBHAVNA NAHI HAI BADAL RAHEGE","UTTAR PRADESH","KANNAUJ","SAURIKH                                           ","2014-11-01 13:33:03.343"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KE BARE ME JANNA HAI","BARIS KI SAMBHAVNA NAHI HAI BADAL RAHEGE","UTTAR PRADESH","KANNAUJ","UMARDA                                            ","2014-11-01 13:47:43.777"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER CONDITION IN KANNAUJ","HALKI BADLI HAI","UTTAR PRADESH","KANNAUJ","UMARDA                                            ","2014-11-01 14:41:43.810"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","mater me insect ki samasya hai","Cypermethrin 25% EC,2 ml dava /liter pani me spray kare","UTTAR PRADESH","KANNAUJ","JALALABAD                                         ","2014-11-01 16:44:16.810"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me ghas ho gayi hai","aalu me ghas ki nikai kare","UTTAR PRADESH","KANNAUJ","UMARDA                                            ","2014-11-01 17:15:08.777"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahiye","badal chhaye rahege barsa ki sambhavna nahi hai","UTTAR PRADESH","KANNAUJ","CHHIBRAMAU                                        ","2014-11-01 19:59:08.913"
"RABI","HORTICULTURE","Vegetables","Colocasia (Arvi, Arbi)","	Plant Protection	","ghuiya me buwai se pahele kya dawa dale","Jaivik Khad Ke Sath buberiya basiyana Dale, Aur  Cartap Hydrochloride dawa Dale","UTTAR PRADESH","KANNAUJ","HASERAN                                           ","2014-11-01 20:16:38.833"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha 1 october se 6 november tak mausam saf rahega","UTTAR PRADESH","KANNAUJ","HASERAN                                           ","2014-11-01 20:23:51.850"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism bta de","gehu ki kism- DBW-17,PBW-343,PBW550,502,PBW373","UTTAR PRADESH","KANNAUJ","UMARDA                                            ","2014-11-02 11:48:33.093"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me chechak lagta hai","boran ka estemal kare","UTTAR PRADESH","KANNAUJ","JALALABAD                                         ","2014-11-02 17:17:21.313"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Potato Me Blight Lagta hai kya kare","Carbendazim 12% + Mancozeb 63% Wp 300-400 Gm/acre dawa ka prayog kare","UTTAR PRADESH","KANNAUJ","CHHIBRAMAU                                        ","2014-11-02 21:09:37.027"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Allu mai kida laga hai","Fipronil ka prayog kare","UTTAR PRADESH","KANNAUJ","TALGRAM                                           ","2014-11-03 21:07:16.290"
"RABI","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","gehu ki bobai kb kre","kisan bhai gehu ki bobai 15 november kt kre","UTTAR PRADESH","KANNAUJ","CHHIBRAMAU                                        ","2014-11-04 14:08:47.640"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aloo me kher hi","terga super 400 ml/ecd spray karein","UTTAR PRADESH","KANNAUJ","UMARDA                                            ","2014-11-04 18:32:34.770"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","alu me khad ki matra bta de","alu me- NPK-17:44@ 2 kg / ecar","UTTAR PRADESH","KANNAUJ","CHHIBRAMAU                                        ","2014-11-04 19:56:14.570"
"KHARIF","AGRICULTURE","Others","Others","Varieties","mausham ke bare me jankari","10 tak mausham safrb rhega","UTTAR PRADESH","KANNAUJ","KANNAUJ                                           ","2014-11-04 20:27:22.887"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki early kisme west UP ke liye","PBW-343, 443, 502, 550, DBW-17, WH-542, HD-2851, 2967, 2894
HD-2967, 2733, 2824, DBW-39, k-307, HUW-468, PBW-343, HP-1761, 1731","UTTAR PRADESH","KANNAUJ","UMARDA                                            ","2014-11-05 06:30:33.413"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","mausum ki jankari de","mausum saaf rahega","UTTAR PRADESH","KANNAUJ","SAURIKH                                           ","2014-11-05 06:57:37.990"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu ke kand fat rahe hain","amino acid 6-8 kilo gram + boron 500 gram prati acre prayog karen","UTTAR PRADESH","KANNAUJ","TALGRAM                                           ","2014-11-05 07:15:39.110"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aaloo ka tana jamin ke andar se kala pad jata hai","Carbendazim 12% + Mancozeb 63% WP 2 gram / litre spray karen","UTTAR PRADESH","KANNAUJ","TALGRAM                                           ","2014-11-05 11:51:57.020"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","AALOO KA TNA KALA HO RHA HAI KYA KARE","carbendazim 12 % + mancozeb 63 % @ 2 g / litar pani ka spray kare","UTTAR PRADESH","KANNAUJ","TALGRAM                                           ","2014-11-05 11:58:27.550"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","khet me deemak ki samasya hai","clorpyriphos 1.0 litre prati acre prayog karen","UTTAR PRADESH","KANNAUJ","CHHIBRAMAU                                        ","2014-11-05 12:11:21.230"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","MOSAIC DISEASE IN POTATO CROP..?","REMOVERD OF EFFECTED PLANTS JUST BURNED,SPRAY EMIDACHLOPRID[17SL]@1.0ML./2LIT.WATER.","UTTAR PRADESH","KANNAUJ","UMARDA                                            ","2014-11-05 19:38:47.237"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","problem in garlic","cartap hydrochloride 4g ko 8-10 kg/acer prayog kre","UTTAR PRADESH","KANNAUJ","SAURIKH                                           ","2014-11-05 20:36:40.763"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me rog laga hai","Mancozeb 75% WP 400 gram/ecar ka sprey kare","UTTAR PRADESH","KANNAUJ","UMARDA                                            ","2014-11-06 06:30:35.910"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","mausam ki jankari","barish ki koi sambhavna nahi hai","UTTAR PRADESH","KANNAUJ","KANNAUJ                                           ","2014-11-06 07:22:58.380"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","genhu me kharpatwar ke liye kaun si dawa daalen","sulfosalfuran + metsulfuran methyl 13.5 gram/acre prayog karen","UTTAR PRADESH","KANNAUJ","CHHIBRAMAU                                        ","2014-11-06 07:44:24.270"
"RABI","HORTICULTURE","Vegetables","Potato","Field Preparation","aalu ki jankari de","aalu ki vistarit jankari di gai","UTTAR PRADESH","KANNAUJ","CHHIBRAMAU                                        ","2014-11-06 08:52:30.343"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu  me badwar ke liye kya dale","Amino Acids (16) 10% 8 Kg/Acre","UTTAR PRADESH","KANNAUJ","HASERAN                                           ","2014-11-06 08:52:53.993"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","alu me NPK ka spray kar sakte hai","1.5 kg NPK (19:19:19:)/ ACRE ME 150 LITRE PANI ME GHOL BANAKAR SPRAY KARE","UTTAR PRADESH","KANNAUJ","CHHIBRAMAU                                        ","2014-11-06 10:57:36.710"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","urea phosphate ka prayog aalu me kaise karen","urea phosphate 1-1.5 % ke ghol ka buwai ke 40-45 din par chhidkaav karen","UTTAR PRADESH","KANNAUJ","CHHIBRAMAU                                        ","2014-11-06 11:15:09.087"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","aam me pila pan hai","coperoxicloraid 2 gram /liter of water","UTTAR PRADESH","KANNAUJ","HASERAN                                           ","2014-11-06 13:58:25.243"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aloo ke bare me jankari","aloo ke bare me jankari di gyi","UTTAR PRADESH","KANNAUJ","GUGHRAPUR                                         ","2014-11-06 14:35:38.923"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","alu me krptvar ki dva bta de","alu me matribuzin @ 100 ml // ecar","UTTAR PRADESH","KANNAUJ","CHHIBRAMAU                                        ","2014-11-06 17:37:25.437"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","kisan call center ke baren me jankari","kisan call center ke baren me jankari di gyi","UTTAR PRADESH","KANNAUJ","KANNAUJ                                           ","2014-11-06 20:17:43.790"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","genhu ki prajatiyon ke bare me jankari chaiye","PBW-343,PBW-443, PBW-373, UP-368, PBW-502, DBW-17, HD-2967, HD-1105","UTTAR PRADESH","KANNAUJ","JALALABAD                                         ","2014-11-07 06:24:48.163"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","aalu sahi nahi hai","mitti chek kara le","UTTAR PRADESH","KANNAUJ","JALALABAD                                         ","2014-11-07 06:27:47.167"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu me dag ho rahe hai","Carbendazim 12%+ Mancozeb 63% WP 3 gram / liter pani ka spray kare","UTTAR PRADESH","KANNAUJ","UMARDA                                            ","2014-11-07 07:28:59.797"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","potato me leaf curl, spot ki samasya hai","copper oxi chloride- 2 gram/liter pani+dimethoet- 2 ml/liter pani, calcium+boran ka spray kare","UTTAR PRADESH","KANNAUJ","GUGHRAPUR                                         ","2014-11-07 09:08:09.377"
"RABI","AGRICULTURE","Fodder Crops","Barseem","Seeds","barseam ka beej kitna lagta hai","barseem ka beej- 6-8 kilo/ekd lagta hai","UTTAR PRADESH","KANNAUJ","GUGHRAPUR                                         ","2014-11-07 09:15:23.250"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu ki phasal  kali ho rhi hai kya spray kare","Carbendazim 12% + Mancozeb 63% Wp 300-400 Gm/acre dawa ka prayog kare","UTTAR PRADESH","KANNAUJ","CHHIBRAMAU                                        ","2014-11-07 09:40:26.317"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","Allu mai kya dale","NPK 19:19:19 1kg /acre ka spray kare","UTTAR PRADESH","KANNAUJ","KANNAUJ                                           ","2014-11-07 14:49:53.530"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","bhindi ka growth shi nhi hai","bhindi me- amino acid @ 4  ml / liter pani","UTTAR PRADESH","KANNAUJ","KANNAUJ                                           ","2014-11-07 15:10:22.043"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Khet mai kida laga hai","Phorate ka prayog kare","UTTAR PRADESH","KANNAUJ","HASERAN                                           ","2014-11-07 15:35:33.573"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","control of leaf curl in potato","metasystox, 2 gram /liter spray","UTTAR PRADESH","KANNAUJ","KANNAUJ                                           ","2014-11-07 15:48:08.770"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","hamare khet me paidawar kam hai","mitti ki janch karayre","UTTAR PRADESH","KANNAUJ","TALGRAM                                           ","2014-11-07 17:56:24.100"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aloo me chechak ke dag hai","250 gram boran + 500 gram multiplux ko 150 litre pani ke sath milakar chidcav kare","UTTAR PRADESH","KANNAUJ","TALGRAM                                           ","2014-11-07 18:32:30.950"
