"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JAAN KARI","MAUSAM SAAF HAI","UTTAR PRADESH","KANPUR CITY","KAKWAN                                            ","2014-11-01 09:19:17.190"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","gehu ki buai kab tak kare","aap gehu ki buai november ke pratham saptah se 21 november tak kar sakte hai","UTTAR PRADESH","KANPUR CITY","SHIVRAJPUR                                        ","2014-11-01 09:21:07.400"
"RABI","AGRICULTURE","Cereals","Oats ","	Field Preparation	","manure in wheat","potash40kg\acr  micronutrients10kg\acr uriya30kg\acr","UTTAR PRADESH","KANPUR CITY","SARSOL                                            ","2014-11-01 09:45:45.680"
"KHARIF","HORTICULTURE","Vegetables","Pointed Gourd","	Plant Protection	","aaloo ka beej kaha se prapt hoga","aap apne block par ya krishi raksha ekai se sampark kare","UTTAR PRADESH","KANPUR CITY","BHITARGAON                                        ","2014-11-01 11:23:13.377"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","potato me urea dalne se jhulsa lag gaya hai","sinchai karte rahe Metalaxyl-8% + Mancozeb-64% WP-300 gram/ekd,multiplex navjeevan ka prayog kare","UTTAR PRADESH","KANPUR CITY","VIDHUNU                                           ","2014-11-01 13:01:00.470"
"RABI","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha 1 november se 6 november tak badal bane rhene ki sambhawana hai","UTTAR PRADESH","KANPUR CITY","BILHAUR                                           ","2014-11-01 15:04:28.103"
"RABI","AGRICULTURE","Others","Others","Weather","maosm ki jankari de de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","KANPUR CITY","BILHAUR                                           ","2014-11-01 15:17:15.770"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Seeds","kya chana abhi bo sakate hai","chana abhi bo sakate hai","UTTAR PRADESH","KANPUR CITY","CHAUBEYPUR                                        ","2014-11-01 17:28:08.513"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bataye","????? ?? ??????? - UP -2338 , ?? ?? ????? -343 ,590 ,550,?? ?? ????? -17,  HD,-3086 (???? ?????),HD,- 3043 (???? ??????),HD,- 2967(???? ????? ????),HD,- 2894(???? ????-109) ?? ????? ???","UTTAR PRADESH","KANPUR CITY","CHAUBEYPUR                                        ","2014-11-01 20:53:21.457"
"KHARIF","AGRICULTURE","Others","Others","Weather","mosam ki janakri","mosam saaf rahega","UTTAR PRADESH","KANPUR CITY","VIDHUNU                                           ","2014-11-01 21:34:42.323"
