"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","alu ko upcharit ke liye","carbandazim 5 gram /liter of water","UTTAR PRADESH","KAUSHAMBI","NEVADA                                            ","2014-11-01 09:46:05.953"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","MIRCHA ME SAFED MAKHILAG RAHI HAI","Acetamiprid 20% SP+2 g MnSO4 + 5 g MgSO4 + 1 g FeSO4 + 5 g B  (2g of the mixture is dissolved in one litre of water)","UTTAR PRADESH","KAUSHAMBI","MANJHANPUR                                        ","2014-11-01 09:46:41.290"
"RABI","AGRICULTURE","Cereals","Oats ","	Plant Protection	","manure in potato","micronutrients10kg\acr","UTTAR PRADESH","KAUSHAMBI","MANJHANPUR                                        ","2014-11-01 09:57:28.370"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","Weed Management","insect in chillies","Monocrotophos 36% SL
500 ml/acre","UTTAR PRADESH","KAUSHAMBI","MANJHANPUR                                        ","2014-11-01 10:00:15.347"
"RABI","HORTICULTURE","Fruits","Acid Lime","	Plant Protection	","fungas in chillies","Carbendazim 12% + Mancozeb 63% WP
400 gm/acre","UTTAR PRADESH","KAUSHAMBI","MANJHANPUR                                        ","2014-11-01 10:02:40.450"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","MIRCH KI PATI SECUR RAHI HAI","Dimethoate 30%EC 1.5-2 ml / liter pani ka ghool banaker spray kare","UTTAR PRADESH","KAUSHAMBI","MANJHANPUR                                        ","2014-11-01 16:55:54.600"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu me krptvar ki dva bta de","gehu me- salfosalfeuran + met salfeuran mithail @ 16 gm / ecar","UTTAR PRADESH","KAUSHAMBI","CHAIL                                             ","2014-11-02 15:42:05.337"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","mere nomber par massege seva band ki jaye","aapke nomber par massege seva ki deactivation kar di gai hai","UTTAR PRADESH","KAUSHAMBI","MANJHANPUR                                        ","2014-11-02 17:05:17.480"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","is samau lagane wali aaloo ki variety bataye","aap is samay kufari chandramukhi,ku.lalima ya ku.bahar laga sakte hai","UTTAR PRADESH","KAUSHAMBI","MANJHANPUR                                        ","2014-11-03 11:02:44.460"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","sinchaai par anudaan kaise praapt hote hota hai","kisan bhai aap apne block par sampark karen","UTTAR PRADESH","KAUSHAMBI","MOORATGANJ                                        ","2014-11-03 11:14:22.083"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch ki pattiyan sikud rahi hain","fipronil 5% 2 ml + spiromesifen 22.9% 1 ml prati litre paani me milaakar spray karen","UTTAR PRADESH","KAUSHAMBI","SIRATHU                                           ","2014-11-04 07:14:24.370"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","	Plant Protection	","dhaniye me krptvar ki koi dva bta de","dhaniye me krptvar ki koi dva nhi hai","UTTAR PRADESH","KAUSHAMBI","KARA                                              ","2014-11-04 17:28:27.990"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me kandua laga hai","spray hexaconazole 5 % EC   400 ml/acre","UTTAR PRADESH","KAUSHAMBI","SIRATHU                                           ","2014-11-05 08:25:52.350"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Variety of wheat","variety of wheat ,DVW-39,PBW-343,PBW-502","UTTAR PRADESH","KAUSHAMBI","KARA                                              ","2014-11-05 09:02:12.000"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","wheat variety dbw-17 ki yield  ?","55-60 kg/q","UTTAR PRADESH","KAUSHAMBI","MOORATGANJ                                        ","2014-11-05 13:57:58.840"
"JAYAD","HORTICULTURE","Vegetables","Potato","	Plant Protection	","LEAF CURL IN POTATO","SPRAY METASISTI @ 1.5 ML./LIT.OF WATER","UTTAR PRADESH","KAUSHAMBI","KARA                                              ","2014-11-05 15:33:10.073"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch  me sikoda hai","clorfenapry 300ml/acre","UTTAR PRADESH","KAUSHAMBI","MOORATGANJ                                        ","2014-11-05 16:49:11.947"
"RABI","AGRICULTURE","Others","Others","Government Schemes","SMS alart lagbana hai","SMS alart laga diya hai","UTTAR PRADESH","KAUSHAMBI","KARA                                              ","2014-11-05 17:07:54.110"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Weather","any contact number of weather","18001801717","UTTAR PRADESH","KAUSHAMBI","KARA                                              ","2014-11-05 19:34:54.693"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki 502 kism ke bare me bataye","gehu ki pbw-502 kism ke bare me  jankari di gayi","UTTAR PRADESH","KAUSHAMBI","CHAIL                                             ","2014-11-06 15:30:28.540"
"KHARIF","AGRICULTURE","Others","Others","Weather","mosam ki jankari","mosam saaf rahega","UTTAR PRADESH","KAUSHAMBI","KAUSHAMBI                                         ","2014-11-06 16:54:09.130"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","CULTIVATION OF POTATO","150KG-N,80KG-P,60KG-K KO PRATI HECT PRAYOG KRE","UTTAR PRADESH","KAUSHAMBI","SARSAWAN                                          ","2014-11-06 16:58:22.563"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism bta de","gehu ki kism- DBW-17,PBW-343,PBW550,502,PBW373,HD-2967","UTTAR PRADESH","KAUSHAMBI","MOORATGANJ                                        ","2014-11-06 20:52:23.670"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","asking about cultural practices in potato","could not complete the suggestion due to call disconnection","UTTAR PRADESH","KAUSHAMBI","CHAIL                                             ","2014-11-07 16:32:46.763"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Field Preparation	","GEHU MAI KHAAD","N-120:P-80:K-60 KG/HECTARE","UTTAR PRADESH","KAUSHAMBI","KARA                                              ","2014-11-07 18:10:20.550"
"RABI","AGRICULTURE","Millets","Buck Wheat (Kaspat)","	Water Management	","varity of wheat","dbw17","UTTAR PRADESH","KAUSHAMBI","CHAIL                                             ","2014-11-08 07:18:07.283"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","	Plant Protection	","varity of wheat","pvw343 dbw17","UTTAR PRADESH","KAUSHAMBI","NEVADA                                            ","2014-11-08 12:28:00.460"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","MIRCHA KI PATTIYAN SIKUD RAHI HAI","Buprofezin 25 % SC 8.0 ml/10 lit.Diafenthiuron 50 % WP 8.0 g/10 lit.KA CHHIDKAV KARE","UTTAR PRADESH","KAUSHAMBI","MANJHANPUR                                        ","2014-11-08 15:09:31.813"
"RABI","AGRICULTURE","Others","Others","Weather","khet me motha hai kya kare","Glyphosate 41% SL @ 800-1200 ml/acre","UTTAR PRADESH","KAUSHAMBI","KARA                                              ","2014-11-08 19:02:22.397"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch me rog laga hai","Dichlorvos 76% EC 300-350 mililiter/acre dava ka prayog kare","UTTAR PRADESH","KAUSHAMBI","NEVADA                                            ","2014-11-08 20:40:29.280"
"KHARIF","ANIMAL HUSBANDRY","Avian","Duck","Animal Production (Piggery, Goatery, Sheep Farming etc.)","murgi palan ki jankari de","aap murgi palan ki jankari ke liye 0581-2301261 par subah 10 baje se sham 5 baje tak kar sakte hai","UTTAR PRADESH","KAUSHAMBI","NEVADA                                            ","2014-11-10 09:20:07.397"
"RABI","AGRICULTURE","Others","Others","Weather","mausam kee jankari chahiye","Aapake yahan 16 November tak  mausam saaf rahega","UTTAR PRADESH","KAUSHAMBI","KAUSHAMBI                                         ","2014-11-11 08:04:20.363"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahiye","aaj kal me bearish nahi hai","UTTAR PRADESH","KAUSHAMBI","SIRATHU                                           ","2014-11-11 08:51:14.733"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahie?","16 novmber tak mausam saf rahega","UTTAR PRADESH","KAUSHAMBI","KAUSHAMBI                                         ","2014-11-11 09:35:31.257"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mircha ki patti   sikud rahi hai","mirch ki jad me furadan  3 g lagaye aur  imidacloroprid  1 ml /liter  pani  ke dar se spray kare   aur AISHWARYA GRANULES","UTTAR PRADESH","KAUSHAMBI","SARSAWAN                                          ","2014-11-11 18:54:36.703"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahiye","aapke yahan barish ki sambhawna nahi hai","UTTAR PRADESH","KAUSHAMBI","KAUSHAMBI                                         ","2014-11-12 08:41:00.450"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","MIRCH KI PATTIYAN SIKUD RAHI HAIN","FIPRONIL 5%, 2 ML + SPIROMESIFEN 22.9%, 1 ML + CARBENDAZIM 2 GRAM PRATI LITRE PAANI ME MILAAKAR SPRAY KAREN","UTTAR PRADESH","KAUSHAMBI","CHAIL                                             ","2014-11-12 10:18:28.923"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","aalu me kya khad dale","aalu me 104 kilo urea , 150 kilo DAP,70 KILO POTASH,10 kilo zink,/acre","UTTAR PRADESH","KAUSHAMBI","SIRATHU                                           ","2014-11-12 11:16:19.553"
"JAYAD","AGRICULTURE","Cereals","Wheat","	Plant Protection	","GEHU KI SEED RATE KAYA HOGI","GEHU KI 100 KG SEED RATE /HACTEYAR","UTTAR PRADESH","KAUSHAMBI","MOORATGANJ                                        ","2014-11-12 12:25:59.960"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","bhains me chechak h","kisan bhai chechak ke liye apne pasi chikitsadhikari se sampark kre","UTTAR PRADESH","KAUSHAMBI","KARA                                              ","2014-11-12 14:25:11.480"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","Allu mai kya kare","Urea ka prayog kam kare","UTTAR PRADESH","KAUSHAMBI","MANJHANPUR                                        ","2014-11-12 15:29:12.750"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","mirch ki patti pili ho rhi hai kya kare","carbendazim ki 30 gm matraa/15 liter pani me milakar chidkaw kare","UTTAR PRADESH","KAUSHAMBI","KARA                                              ","2014-11-12 16:15:07.240"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","Gahu mai kya dale","SSP ka prayog kare","UTTAR PRADESH","KAUSHAMBI","KAUSHAMBI                                         ","2014-11-12 20:04:22.120"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Mirch mai rog laga hai","Dichlorvas ka spray kare","UTTAR PRADESH","KAUSHAMBI","SARSAWAN                                          ","2014-11-12 20:22:47.410"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki prajaati chahiye","HD-1105 , 2824 , 2733 , PBW-343 , 443 , 154 , 302 , PUSHA VISHESH","UTTAR PRADESH","KAUSHAMBI","KARA                                              ","2014-11-13 06:34:05.410"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki prajaati chahiye","HD-1105 , 2824 , 2733 , PBW-343 , 443 , 154 , 302 , PUSHA VISHESH","UTTAR PRADESH","KAUSHAMBI","KARA                                              ","2014-11-13 06:41:46.927"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch ki patti sikur rhi hai kya kare","carbendazim 12 % + mancozeb 63 % @ 2 g / litar pani ka spray kare","UTTAR PRADESH","KAUSHAMBI","KARA                                              ","2014-11-13 07:38:38.773"
