"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JANAKRI DE","AAJ KAL MAUSAM SAAF HAI","UTTAR PRADESH","KUSHI NAGAR","FAZILNAGAR                                        ","2014-11-01 11:57:01.437"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Field Preparation	","GEHU MAI SEED TREATMENT","Treat the seeds with Carbendazim or Thiram at 2 g/kg of seeds 24 hours before sowing","UTTAR PRADESH","KUSHI NAGAR","MOTICHAK                                          ","2014-11-01 16:43:00.560"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","mater me deemak ki samasya hai","fatera 4 kg ekar","UTTAR PRADESH","KUSHI NAGAR","DUDHAHI                                           ","2014-11-02 11:54:14.917"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","genhu ki prajati bataye","genhu ki prajati – HD-2967, DBW-17, k-307(shatabdi),PBW-343,373,550, SONALIKA","UTTAR PRADESH","KUSHI NAGAR","MOTICHAK                                          ","2014-11-02 12:55:52.300"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki late kism bta de","gehu ki kism- hlna, unnt hlna","UTTAR PRADESH","KUSHI NAGAR","MOTICHAK                                          ","2014-11-02 13:02:49.550"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","gehu ki jankari de","gehu ki vistarit jankari di gai","UTTAR PRADESH","KUSHI NAGAR","SUKRAULI                                          ","2014-11-02 17:19:18.007"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Field Preparation	","sarso ki jankari de","sarso ki vistarit jankari di gai","UTTAR PRADESH","KUSHI NAGAR","HATA                                              ","2014-11-02 17:45:57.567"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki kisme bataye","gehu ki kisme- dvw-17,pbw-502,up-2382,pbw-343,","UTTAR PRADESH","KUSHI NAGAR","KHADDA                                            ","2014-11-03 11:27:02.233"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","MOSAM KI JANKARI","MOSAM SAAF RAHEGA","UTTAR PRADESH","KUSHI NAGAR","FAZILNAGAR                                        ","2014-11-03 16:14:16.880"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","hd-2967 kitane din variety hai ?","Yield : 50.4 q/ha 
maturity day -142","UTTAR PRADESH","KUSHI NAGAR","KAPTAINGANJ                                       ","2014-11-03 20:14:19.150"
"RABI","AGRICULTURE","Others","Others","Soil Testing","soil test ki jankari ke liye","soil test ke  block par  samparak kare","UTTAR PRADESH","KUSHI NAGAR","HATA                                              ","2014-11-05 08:30:15.490"
"RABI","AGRICULTURE","Others","Others","Market Information","mitti ki jaach karwani hai","mrida parikshar me sampark kare","UTTAR PRADESH","KUSHI NAGAR","RAMKOLA                                           ","2014-11-05 09:23:46.457"
"RABI","AGRICULTURE","Oilseeds","Mustard","Seeds","Sarso ki variety","Type-42","UTTAR PRADESH","KUSHI NAGAR","NEBUA NAURANGIA                                   ","2014-11-05 11:45:38.890"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aalu ki varaity bataye","kuphari bahar , ku. deva, ku anand","UTTAR PRADESH","KUSHI NAGAR","KAPTAINGANJ                                       ","2014-11-05 13:13:58.240"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Field Preparation	","balui me lagane wali variety bataye","aap PBW-226 ya NW-1067 ye gehu ki variety balui mitti me laga sakte hai","UTTAR PRADESH","KUSHI NAGAR","KHADDA                                            ","2014-11-05 17:52:48.137"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","sarso ki prajati  bataye","ta.42, k-88","UTTAR PRADESH","KUSHI NAGAR","VISHUNPURA                                        ","2014-11-05 18:36:14.357"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","gehu ki prajati bataye","dbw-17,  pbw-550,343, up-2382","UTTAR PRADESH","KUSHI NAGAR","VISHUNPURA                                        ","2014-11-05 18:37:29.810"
"RABI","AGRICULTURE","Others","Others","Government Schemes","mandi bhaw aur message subidha lagwani hai","kisan bhai aake number par sabhi subidha laga di gyi hai","UTTAR PRADESH","KUSHI NAGAR","TAMKUHIRAJ                                        ","2014-11-06 06:53:57.940"
"RABI","AGRICULTURE","Cereals","Oats ","	Field Preparation	","insect in sugarcane","fatera","UTTAR PRADESH","KUSHI NAGAR","KASAYA                                            ","2014-11-06 07:10:03.457"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Agriculture Mechanization","GANNE KI KHETI KE BARE ME JANKARI CHAHIYE","GANNE KI KHETI KE BARE ME JANKARI DI GAI","UTTAR PRADESH","KUSHI NAGAR","NEBUA NAURANGIA                                   ","2014-11-06 08:36:37.257"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","mandi bhaav ki jankari sms ke madhyam se chahiye","kisan bhai aapke number sms ki suvidha laga di gai hai","UTTAR PRADESH","KUSHI NAGAR","HATA                                              ","2014-11-06 08:54:15.863"
"RABI","AGRICULTURE","Cereals","Wheat","Sowing Time and Weather","gehun ka seed rate","100 kg/hai seed dalen","UTTAR PRADESH","KUSHI NAGAR","KAPTAINGANJ                                       ","2014-11-06 11:01:39.500"
"RABI","AGRICULTURE","Pulses","Black Gram (urd bean)","Weed Management","mausam ki jankari","saf rahega","UTTAR PRADESH","KUSHI NAGAR","MOTICHAK                                          ","2014-11-06 11:05:49.497"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","genhu ki prajati ke bare me jankari chahiye","genhu ki prajati ke bare me jankari di gai","UTTAR PRADESH","KUSHI NAGAR","PADRAUNA                                          ","2014-11-06 13:55:40.760"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","sarso ki kism bta de","sarso ki kism- varuna, pusa bold, pusa gold, kranti, ashirbad, bardan","UTTAR PRADESH","KUSHI NAGAR","DUDHAHI                                           ","2014-11-06 17:25:16.373"
"JAYAD","AGRICULTURE","Cereals","Wheat","Cultural Practices","VARITIES OF WHEAT","VARITIES ARE PUSA GOLD,HD-2985,HW-2045 & HP-1744","UTTAR PRADESH","KUSHI NAGAR","TAMKUHIRAJ                                        ","2014-11-06 18:04:27.163"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","Gahu ki variety","Narendra wheat-1012","UTTAR PRADESH","KUSHI NAGAR","FAZILNAGAR                                        ","2014-11-06 19:04:08.130"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","kya genhu ki fasal me gypsum ka prayog kar sakte hain","kisan bhai aap gypsum ka prayog kar sakte hain","UTTAR PRADESH","KUSHI NAGAR","PADRAUNA                                          ","2014-11-07 08:44:00.773"
"RABI","FISHERIES","Marine","Marine","Fish Fingerling Production","fisheries samasya","kisan bhai aap 18001805141 par sampark kare","UTTAR PRADESH","KUSHI NAGAR","SEORAHI                                           ","2014-11-07 10:27:18.370"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","couliflower Me Kide Lage Hai","Triazophose 40% Ec350-500 Ml/Acre  Spray Kare","UTTAR PRADESH","KUSHI NAGAR","VISHUNPURA                                        ","2014-11-08 07:38:45.367"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","GEHU ME FERTILIZER","GEHU ME FERTILIZER  - 110 KG UREA ,70 KG NPK , 36 KG POTSH , 10 KG ZINC SULPHATE/ ACRE ME SPRAY KARE","UTTAR PRADESH","KUSHI NAGAR","KAPTAINGANJ                                       ","2014-11-08 08:02:20.200"
"KHARIF","HORTICULTURE","Vegetables","Beet Root (Garden Beet/Stock Beet)","Cultural Practices","weather ki jankrui","abhi mausam saf hein","UTTAR PRADESH","KUSHI NAGAR","FAZILNAGAR                                        ","2014-11-08 08:30:11.970"
"RABI","AGRICULTURE","Oilseeds","Karan Rai","Varieties","RAI KI PRAJATI BATAYE","RAI KI PRAJATI - KISAN BHAI VARUNA , BARDAN,ROHINI,PUSA BOLD","UTTAR PRADESH","KUSHI NAGAR","VISHUNPURA                                        ","2014-11-08 09:14:15.373"
"RABI","HORTICULTURE","Vegetables","Cabbage","Agriculture Mechanization","tamatar ki prajati","Tamatar  PRAJATI – swarna vaibhav  , AVINASH 2","UTTAR PRADESH","KUSHI NAGAR","RAMKOLA                                           ","2014-11-08 12:19:10.130"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahie","mausam saf rahega","UTTAR PRADESH","KUSHI NAGAR","SUKRAULI                                          ","2014-11-10 08:16:22.097"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","gobhi me dimak lagti hai","phoret 8 kilo / acre","UTTAR PRADESH","KUSHI NAGAR","HATA                                              ","2014-11-10 09:13:07.623"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","Wheat ki variety ki information leni hai","All Information given","UTTAR PRADESH","KUSHI NAGAR","PADRAUNA                                          ","2014-11-10 09:44:14.623"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki prajati batae","gehu ki pbw550,pbw502 dbw17 ki buvai kare","UTTAR PRADESH","KUSHI NAGAR","VISHUNPURA                                        ","2014-11-10 10:02:28.620"
"RABI","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","ganne ki bubai kar sakte hai","ganne ki bubai kar sakte","UTTAR PRADESH","KUSHI NAGAR","PADRAUNA                                          ","2014-11-10 15:29:38.297"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","genhu ke bare me jankari","genhu ke bare me jankari di gyi","UTTAR PRADESH","KUSHI NAGAR","KHADDA                                            ","2014-11-10 15:32:07.160"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","mausam ki jankari chahiye","aap  ke yaha  barsat ki sambhawana nahi hai","UTTAR PRADESH","KUSHI NAGAR","PADRAUNA                                          ","2014-11-10 17:12:09.763"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","gehu ki prajati","gehu ki prajati - HD 2967","UTTAR PRADESH","KUSHI NAGAR","KAPTAINGANJ                                       ","2014-11-10 17:22:29.337"
