"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","marketing ki jankri","abhi mandi ki jankri","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","SADABAD                                           ","2014-11-01 09:33:03.230"
"KHARIF","AGRICULTURE","Millets","Buck Wheat (Kaspat)","	Plant Protection	","mosam ke bare bataye","badal rhe ge","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","HASAYAN                                           ","2014-11-01 09:37:58.750"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mosam ke bare batye","badal rhe ge","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","HASAYAN                                           ","2014-11-01 09:39:24.850"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","weather ki jankri","abhi mausam saf hein","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","HASAYAN                                           ","2014-11-01 09:53:29.477"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JAAN KARI","MAUSAM SAAF HAI","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","MURSAN                                            ","2014-11-01 11:00:08.830"
"JAYAD","HORTICULTURE","Vegetables","Pea (Vegetable)","Cultural Practices","WEED PROBLEM IN PEA","SPRAY PENDIMETHILIN @ 1 KG./HECT.","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","HASAYAN                                           ","2014-11-01 11:37:11.677"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","Weed cantrol of potato","Metribuzin 70%WP 100 Gram/Acre","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","SEHPAU                                            ","2014-11-01 15:26:08.213"
"RABI","AGRICULTURE","Others","Others","Varieties","maosm ki jankari de de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","SASNI                                             ","2014-11-01 17:31:41.020"
"RABI","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha 1 november se 6 november tak badal bane rhene ki sambhawana hai","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","HATHRAS                                           ","2014-11-01 17:49:55.157"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Reporting","pasu ki jankari de de","pasu ki jankari ke lie- 18001805141","UTTAR PRADESH","HATHARAS (MAHAMAYA NAGAR)","MURSAN                                            ","2014-11-02 16:41:25.813"
