"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","PASU ME SARRA BIMARI HO RHI H","kisan bhai psu me sarra bimari ke liye apne psu chikitsadhikari se sampark kre","UTTAR PRADESH","MAHARAHGANJ","MAHRAJGANJ                                        ","2014-11-01 14:41:59.440"
"RABI","HORTICULTURE","Vegetables","Potato","Fertilizer Use and Availability","alu me khad ki matra bta de","alu me- DAP-60 kg + Potas-30 kg + salfar 8 kg / ecar","UTTAR PRADESH","MAHARAHGANJ","PHARENDA                                          ","2014-11-01 14:42:25.953"
"KHARIF","AGRICULTURE","Pulses","Lentil (Masur)","	Field Preparation	","MASOOR KI BUBAI","ABHI KR SAKTE HAI","UTTAR PRADESH","MAHARAHGANJ","MAHRAJGANJ                                        ","2014-11-01 15:33:56.477"
"RABI","HORTICULTURE","Fruits","Banana","	Plant Protection	","BANANA ME ROTTING HOTI HAI.","APPLY COPPER OXYCHLORID[50WP]@3GM./LIT.WATER+MONOCROTOPHOS[36EC]@2ML./LIT.WATER.","UTTAR PRADESH","MAHARAHGANJ","PANIYARA                                          ","2014-11-01 16:33:45.387"
"RABI","AGRICULTURE","Oilseeds","Toria","Fertilizer Use and Availability","GROWTH PROBLEM OF MUSTARD[TORAI]..?","APPLY UREA@20KG./ACAR-AFTER LIGHT IRRIGATION.","UTTAR PRADESH","MAHARAHGANJ","SISWA                                             ","2014-11-01 17:55:20.283"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","genhu ki prajati bataye","genhu ki prajati – HD-2967, DBW-17, k-307(shatabdi),PBW-343,373,550, SONALIKA","UTTAR PRADESH","MAHARAHGANJ","MITHAURA                                          ","2014-11-01 21:38:12.873"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","genhu ki prajati bataye","genhu ki prajati-dbw-17, pbw-502,550, up 2338","UTTAR PRADESH","MAHARAHGANJ","GHUGHLI                                           ","2014-11-02 16:28:16.433"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","GEHU KI VARIETY BATAYE","????? ?? ??????? - UP -2338 , ?? ?? ????? -343 ,590 ,550,?? ?? ????? -17,  HD,-3086 (???? ?????),HD,- 3043 (???? ??????),HD,- 2967(???? ????? ????),HD,- 2894(???? ????-109) ?? ????? ???","UTTAR PRADESH","MAHARAHGANJ","PANIYARA                                          ","2014-11-02 19:06:04.280"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki prajati batae?","pbw343,pbw550,dbw17","UTTAR PRADESH","MAHARAHGANJ","LAKSHMIPUR                                        ","2014-11-02 20:23:36.447"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","kaddu ki kisme bataye","Arka suryamuki and Arka Chandan ye kaddu ki kisme hai","UTTAR PRADESH","MAHARAHGANJ","SISWA                                             ","2014-11-04 10:28:49.410"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","beej kee jankaree de","block per sampark kr le","UTTAR PRADESH","MAHARAHGANJ","BRIDGEMANGANJ                                     ","2014-11-04 18:17:20.980"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","gehu ki variety bta de","gehu ki variety hai pbw 502 pbw 550 pbw 509 bo sakte hai app","UTTAR PRADESH","MAHARAHGANJ","SISWA                                             ","2014-11-04 18:26:12.300"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Organic Farming","ALU ME KITANI KHAD DALEN","150 KG N, 80 KG P, 120 KG/K+25 KG ZINC / HAI DALEN","UTTAR PRADESH","MAHARAHGANJ","GHUGHLI                                           ","2014-11-05 12:28:28.260"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","VNR SEEDS PVT LTD KI JANKARI CHAHIY","PRAPAR JANKARI DI GAI HAI","UTTAR PRADESH","MAHARAHGANJ","PARTAWAL                                          ","2014-11-05 12:34:09.973"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","Maosm ki jankari de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","MAHARAHGANJ","SISWA                                             ","2014-11-05 14:07:22.927"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","MOSAM KE BARE BARE","BADAL RHE GE","UTTAR PRADESH","MAHARAHGANJ","LAKSHMIPUR                                        ","2014-11-05 15:02:51.020"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","mousam ki jankari de","aapke yaha aaj halke baadal chaye rahenge","UTTAR PRADESH","MAHARAHGANJ","MITHAURA                                          ","2014-11-05 15:13:53.610"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","sms ke bare me jankari","sms ke bare me jankari di gyi","UTTAR PRADESH","MAHARAHGANJ","GHUGHLI                                           ","2014-11-05 16:13:39.417"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","hamare khet me genhu ka utpadan kam hi","mitti ki janch karwain","UTTAR PRADESH","MAHARAHGANJ","NICHLAUL                                          ","2014-11-05 16:43:00.800"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Agriculture Mechanization","cropping of pea","p-1.p-6 ki buwai kre","UTTAR PRADESH","MAHARAHGANJ","LAKSHMIPUR                                        ","2014-11-05 19:01:46.410"
"RABI","AGRICULTURE","Others","Others","	Plant Protection	","khad beej ke rajistetion ka nambar","18002001050 par call kare","UTTAR PRADESH","MAHARAHGANJ","NAUTANWA                                          ","2014-11-05 20:03:45.567"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","baigan ka patta sikud raha hai","Imidachloprid 17.8% SL 1 ml/liter ka spray karen","UTTAR PRADESH","MAHARAHGANJ","DHANI                                             ","2014-11-06 06:31:22.077"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","weed control ke liye","Glyphosate 41% ka 1li /ecar ka prayog kare","UTTAR PRADESH","MAHARAHGANJ","MAHRAJGANJ                                        ","2014-11-06 09:57:36.183"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism","gehu ki kism- Dbw-17,hd-2967 ki buvai kare","UTTAR PRADESH","MAHARAHGANJ","NICHLAUL                                          ","2014-11-06 11:49:14.003"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Nutrition","cow ka plecenta(Jer) 24-26 ghante ho gaye lekin abhi tak gira nahi hai","aap cow ko riplenta 110 gram + 100 gram gur (bheli)+ 1/2 kigra himalya batisa ko milakar pilaye","UTTAR PRADESH","MAHARAHGANJ","GHUGHLI                                           ","2014-11-06 12:03:44.680"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","gehu ki jankari de","gehu ki vistarit jankari di gai","UTTAR PRADESH","MAHARAHGANJ","GHUGHLI                                           ","2014-11-06 12:12:11.283"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","KISHAN WAHI I JANKARI CHAHIY","PRAPAR JANKARI DI GAI HAI","UTTAR PRADESH","MAHARAHGANJ","LAKSHMIPUR                                        ","2014-11-06 13:50:11.033"
