"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Mahoba jile ke liye gehun kee prajatiyan batayen","Mahoba jile ke liye gehun kee prajatiyan-DL-803,Raj-1555,HI-8381,HI-8498,,K-9107,UP-2338,WH-147,GW-273,PBW-343Lok-1","UTTAR PRADESH","MAHOBA","KABRAI                                            ","2014-11-01 11:46:03.733"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch me insect ki samasya hai","koperxikloride 3 gram dava + Cypermethrin 25% EC,2 ml dava /liter pani me spray kare","UTTAR PRADESH","MAHOBA","JAITPUR                                           ","2014-11-01 13:09:41.310"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","lahi ke chote-chote poudho par safed rang ke kide lag rahe hai","aap lahi me kide ke liye mailathian 50 EC ki dawa ko 1.5 liter ko 300-400 liter pani ke sath/haktare ki dar se spray kare","UTTAR PRADESH","MAHOBA","CHARKHARI                                         ","2014-11-01 13:14:51.477"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","gehu ki jankari","HD-2967 ko pusa new delhi me sampark kare ya agriculture university me sampark kare","UTTAR PRADESH","MAHOBA","KABRAI                                            ","2014-11-01 21:57:30.020"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","gehu me khad ki matra bta de","gehu me-DAP-60 kg + urea 20 kg + potas 30 kg / ecar","UTTAR PRADESH","MAHOBA","PANWARI                                           ","2014-11-02 18:23:11.620"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","keedon ki wajah se chane ka ankuran nahi ho pa raha hai","triazophos 2 ml/litre  paani me milaakar spray karen","UTTAR PRADESH","MAHOBA","PANWARI                                           ","2014-11-04 08:58:24.060"
"RABI","HORTICULTURE","Vegetables","Peas (field peas/ garden peas/matar)","	Plant Protection	","Matar me pola ghas jami hai","Matar me nirai karwayen","UTTAR PRADESH","MAHOBA","PANWARI                                           ","2014-11-04 18:09:50.600"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Chane me sudiyan lagi hai","Chane me sudiyon ke niyantran ke liye 2 ml monocrotophas 36 % SL / litre pani me milaakar spray karen","UTTAR PRADESH","MAHOBA","KABRAI                                            ","2014-11-04 18:15:44.667"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Varieties","chane ki kism bta de","chane ki kism- avrodhi, radhe,gujrat chana-2","UTTAR PRADESH","MAHOBA","PANWARI                                           ","2014-11-04 20:21:31.830"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahiye","aapke yahan mausam saaf rahega barish ki sambhawna nahi hai","UTTAR PRADESH","MAHOBA","JAITPUR                                           ","2014-11-05 07:05:43.150"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","weather information de","baris kee sambhavana nahi he","UTTAR PRADESH","MAHOBA","JAITPUR                                           ","2014-11-05 09:57:27.520"
"RABI","HORTICULTURE","Fruits","Almond","Weather","mausam ki jankari ke liye","Aaj  mausam  saaf rahega","UTTAR PRADESH","MAHOBA","JAITPUR                                           ","2014-11-05 13:25:20.490"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GEHU KI VARIETY BATYE","PBW-343,502,550,","UTTAR PRADESH","MAHOBA","KABRAI                                            ","2014-11-05 15:08:37.250"
