"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER INFORMATION","CLEAR WEATHER","UTTAR PRADESH","MAINPURI","KISHNI                                            ","2014-11-01 09:52:48.807"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JAAN KARI","MAUSAM SAAF HAI","UTTAR PRADESH","MAINPURI","GHIROR                                            ","2014-11-01 10:20:37.060"
"KHARIF","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","lahsun pila ho raha hai","gober ki khad dale + DAP ko dale or pani lagaye fir gurai kare","UTTAR PRADESH","MAINPURI","MAINPURI                                          ","2014-11-01 10:50:29.867"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","usar mitti hetu gehu ki unnati kism bataye","pbw-65, krl-19, k-8434, raj-3077, lok-1","UTTAR PRADESH","MAINPURI","GHIROR                                            ","2014-11-01 14:10:09.050"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aaloo me ghass ki dwa bataye","??? ??? ??? ?? ??? - ????????????? 23.5 % EC @ 340 ml / 150 ???? ????  ??  ??????  ???","UTTAR PRADESH","MAINPURI","JAGEER                                            ","2014-11-01 16:45:22.410"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","gehu ki kan si kisme laga sakte hai","DBW-17 , PBW-550, PBW-502 , HD-2967  AUR WH-1105 gehu ki kisme hai","UTTAR PRADESH","MAINPURI","KISHNI                                            ","2014-11-02 12:53:44.087"
"RABI","AGRICULTURE","Others","Others","Weather","?  Mausam ki jankari leni hai","badal rahenge barish ki sambhavna nahi hai","UTTAR PRADESH","MAINPURI","KURAOLI                                           ","2014-11-02 16:06:18.173"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","Mango ke plant se gum Nikal rha hai","250 Gm Caper sulphate,+250 Gm Zinc sulphate, 125 Gm Borex, 100 Gm Bujha hua chuna / plant de","UTTAR PRADESH","MAINPURI","KISHNI                                            ","2014-11-02 16:27:53.910"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Nutrition","any contact number of animal helpline","18001805141","UTTAR PRADESH","MAINPURI","BEWAR                                             ","2014-11-03 15:08:19.880"
"KHARIF","HORTICULTURE","Vegetables","Amarphophallus (Surankand/Elephant Foot Yam)","	Plant Protection	","LAHSUN ME KHAR HAI","NIRAI KAR SAKTE HAI","UTTAR PRADESH","MAINPURI","SULTANGANJ                                        ","2014-11-03 20:15:35.430"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","Allu mai kya kare","Nirai kare","UTTAR PRADESH","MAINPURI","BARNAHAL                                          ","2014-11-04 06:49:47.153"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","sungndh variety mandi bhav","1850 rs/q","UTTAR PRADESH","MAINPURI","MAINPURI                                          ","2014-11-04 10:56:50.240"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","dhan bikri ke sambandh me janakri","dhan ki bikri apne anusar kare","UTTAR PRADESH","MAINPURI","MAINPURI                                          ","2014-11-04 11:02:35.500"
"RABI","AGRICULTURE","Pulses","Horse Gram (kulthi/kultha)","Weather","MAUSAM KI JANKARICHAHIY","MAUSAM SAPH RAHEGA VARISH NAHI HOGI","UTTAR PRADESH","MAINPURI","GHIROR                                            ","2014-11-05 09:57:01.770"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","sheesham Ke Ped Ko Sukhne Se Bachane Ke Liye Kya Kare","Jaivik Khad Ke Sath buberiya basiyana Dale, suchm poshak tatw Aur  Cartap Hydrochloride dawa Dale","UTTAR PRADESH","MAINPURI","GHIROR                                            ","2014-11-05 10:10:51.830"
"RABI","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","MAINPURI","KURAOLI                                           ","2014-11-05 16:14:17.703"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu m kityni khad dale","gehu m dap 560kilo dal de khet m","UTTAR PRADESH","MAINPURI","KARHAL                                            ","2014-11-06 11:32:57.513"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","WHEAT KI LATE SOWING VARIETY..?","PBW-343,DBW-17,UP-2382,K-9107","UTTAR PRADESH","MAINPURI","BARNAHAL                                          ","2014-11-06 14:19:53.050"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","WHEAT KI VARIETY BATAO..?","PBW-343,PBW-550,PBW-502,UP-2382,DBW-2338.","UTTAR PRADESH","MAINPURI","BARNAHAL                                          ","2014-11-06 14:23:17.520"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","gehu me khad ki matra kya de","kisan bhai gehu me khad ki matra,100kh nitrogen,60 kg phosphorus,40 kg potash ki matra/hactayer de","UTTAR PRADESH","MAINPURI","BARNAHAL                                          ","2014-11-06 15:05:55.197"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","bakla ke bare me jankari","bakla ke bare me jankari di gyi","UTTAR PRADESH","MAINPURI","SULTANGANJ                                        ","2014-11-06 15:11:17.190"
