"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","aaloo me kitani khad daalen","Aaloo me 150 kilogram Naitrogen,100 kilogram Phasphoras,100 kilogram Potas / Hac. kee aawashyakata padati hai","UTTAR PRADESH","MAU","MOHAMMADABAD GOHANA                               ","2014-11-01 09:24:09.017"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehun ki jankari","gehun ki jankari di gai","UTTAR PRADESH","MAU","RANIPUR                                           ","2014-11-01 12:16:21.820"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","HD 2733 ayr HD-2967 kon see prajati achchhi hai","HD 2733 ayr HD-2967 ke Vishay me jankari dee gayi","UTTAR PRADESH","MAU","RANIPUR                                           ","2014-11-01 12:25:44.940"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mosam ke bare batye","mosam saf rhe ga","UTTAR PRADESH","MAU","MOHAMMADABAD GOHANA                               ","2014-11-01 12:41:37.640"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","WHEAT KI VARIETY","PBW-550, PBW-343, PBW-502, DBW-17","UTTAR PRADESH","MAU","RANIPUR                                           ","2014-11-01 16:48:23.997"
"RABI","AGRICULTURE","Others","Others","Weather","mausum ki jankari de","mausum saaf rahega","UTTAR PRADESH","MAU","GHOSI                                             ","2014-11-02 13:19:50.330"
"RABI","HORTICULTURE","Vegetables","Pea (Vegetable)","Cultural Practices","Seed treatment in potato","Carbendazim 50% 2.5 gram dwa /seed treatment kre","UTTAR PRADESH","MAU","KOPAGANJ                                          ","2014-11-04 06:17:18.330"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","dhaan ki baaliyo ko kide chus le rahe hai","aap dhaan me kide ke liye Imidachloprid 17.8% SL ki dawaa ko 200 ml 120 liter pani ke sath prati acare ki dar se chidkaw kare","UTTAR PRADESH","MAU","KOPAGANJ                                          ","2014-11-04 08:33:33.710"
"KHARIF","AGRICULTURE","Cereals","Barley (Jau)","	Field Preparation	","sarso ki variety bataye","narendra ageti rai-4, varuna aur vardan ye sarso ki variety hai","UTTAR PRADESH","MAU","PARDAHA                                           ","2014-11-04 10:14:24.240"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","GEHU KI KISME BATAYE","gehu ki kisme- DVW-17,PBW-502,UP-2382,PBW-343,","UTTAR PRADESH","MAU","MOHAMMADABAD GOHANA                               ","2014-11-04 10:49:05.710"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","gram Ka Beej Sodhan Karna Hai","4 Gram /Kg Beej Tarychoderma Ya Rhizobium Culture Se 1 Packet/10 Kg Beej Sodhan Kare","UTTAR PRADESH","MAU","RANIPUR                                           ","2014-11-04 11:16:20.470"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","genhu ki prajati ke bare me jankari chahiye","genhu ki prajati ke bare me jankari  di gai","UTTAR PRADESH","MAU","RANIPUR                                           ","2014-11-04 13:37:31.123"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehun ki variety","pi bi dablu 550 ,di.bi.dablu -17","UTTAR PRADESH","MAU","RANIPUR                                           ","2014-11-04 18:33:35.380"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Mirch mai kya kare","Mancozeb ka spray kare","UTTAR PRADESH","MAU","RANIPUR                                           ","2014-11-05 06:12:05.383"
"RABI","HORTICULTURE","Condiments and Spices","Bishops Weed","Agriculture Mechanization","varity of wheat","pvw343  pvw443","UTTAR PRADESH","MAU","MOHAMMADABAD GOHANA                               ","2014-11-05 06:29:14.810"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism","HD-2967 ki buvai kare","UTTAR PRADESH","MAU","MOHAMMADABAD GOHANA                               ","2014-11-05 08:35:49.107"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","genhu ki prajati bataye","genhu ki prajati – HD-2967, DBW-17, k-307(shatabdi),PBW-343,373,550, SONALIKA","UTTAR PRADESH","MAU","MOHAMMADABAD GOHANA                               ","2014-11-05 08:52:59.967"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","Fasal mai kya dale","Khad ka prayog kare","UTTAR PRADESH","MAU","BADRAON                                           ","2014-11-05 08:53:12.993"
