"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","TAMATAR PAR KALE DHABBE ARAHE HAI","Mancozeb 2 g/lit or Copper oxychloride 2.5 g/lit.   2g MnSO4 + 5g MgSO4 + 5 g FeSO4 + 5 g B  (2g of the mixture is dissolved in one litre of water)","UTTAR PRADESH","MIRZAPUR","RAJGARH                                           ","2014-11-01 10:16:37.870"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahiye","aaj kal me bearish nahi hai","UTTAR PRADESH","MIRZAPUR","HALLIA                                            ","2014-11-01 11:17:21.367"
"RABI","AGRICULTURE","Millets","Barnyard Millet (Kundiraivlli/Sawan","	Field Preparation	","mausam ki jankari","badal rahega","UTTAR PRADESH","MIRZAPUR","HALLIA                                            ","2014-11-01 11:47:33.900"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","GAY KI PROBLEM","DOCTER KO DIKHAYE","UTTAR PRADESH","MIRZAPUR","RAJGARH                                           ","2014-11-01 14:08:42.207"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","GAY KI PROBLEM","DOCTER KO DIKHAYE","UTTAR PRADESH","MIRZAPUR","RAJGARH                                           ","2014-11-01 14:10:51.770"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","GARLIC ME WEED CONTROL..?","KISAN BHAI MANUAL WEEDING KARE.","UTTAR PRADESH","MIRZAPUR","JAMALPUR                                          ","2014-11-01 15:19:12.553"
"RABI","HORTICULTURE","Plantation Crops","Poplar","Cultural Practices","technical kheti ke liye kaun si fasal lagaye","poplar ki kheti kare","UTTAR PRADESH","MIRZAPUR","LALGANJ                                           ","2014-11-01 15:56:39.817"
"RABI","AGRICULTURE","Others","Others","Weather","mausum ki jankari de","kisan bhai aapke yhaa mausum saaf rahega","UTTAR PRADESH","MIRZAPUR","NARAINPUR                                         ","2014-11-01 17:31:39.793"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAAN MAI SAFED ROG","Tricyclazole 75% WP 120 GRAM/ACRE","UTTAR PRADESH","MIRZAPUR","HALLIA                                            ","2014-11-01 17:49:56.800"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan ki plant suk raha hai","propikonajol 200 ml dava /ekar 150 liter pani me spray kare","UTTAR PRADESH","MIRZAPUR","HALLIA                                            ","2014-11-01 19:17:04.890"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","gram ki prajati","gram ki prajati -radhe ,awrodhi,pusa -372,pusa391,uday,chamatakar,vishal,PBg-1,KGD-1168,GNG-469","UTTAR PRADESH","MIRZAPUR","NARAINPUR                                         ","2014-11-03 13:03:56.740"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","MOSAM KE BARE  BARE BATYE","BADAL RHE GE","UTTAR PRADESH","MIRZAPUR","SHIKHAR                                           ","2014-11-03 16:22:49.127"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","1121  ka ret bataye","3180  ru./qui.","UTTAR PRADESH","MIRZAPUR","HALLIA                                            ","2014-11-03 20:26:24.850"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","RAI KI PRAJATI BATAYE","RAI KI PRAJATI - KISAN BHAI VARUNA , BARDAN,ROHINI,PUSA BOLD","UTTAR PRADESH","MIRZAPUR","NAGAR (CITY)                                      ","2014-11-04 07:00:12.123"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch ki patiya sikud rhi hai","dimathoate 30 E.C. @ 1.5 ml/liter pani ka spray kare 
STREPTOCYCLINE @6 GRAM,+ HEXACONAZOL @ 300 GRAM PRATI ACRE KA SPRAY KARE","UTTAR PRADESH","MIRZAPUR","SHIKHAR                                           ","2014-11-04 09:33:33.280"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","BRINGAL ME INSECT KI SAMASYA HAI","Carbendazim 12% + Mancozeb 63% WP 3 GRAM DAVA AND Cypermethrin 25% EC,3 ML DAVA /LITER PANI ME SPRAY KARE","UTTAR PRADESH","MIRZAPUR","PATEHRA                                           ","2014-11-04 13:04:16.213"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me nek blast hai","Tricyclazole 75% WP 160gram/acre ,streptocyclin 15gram/acre","UTTAR PRADESH","MIRZAPUR","JAMALPUR                                          ","2014-11-04 18:56:02.543"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Gehun kee prajatiyan batayen","Gehun kee prajatiyan-PBW-343,DBW-17,WH-1105,UP-2338,UP-2382","UTTAR PRADESH","MIRZAPUR","PATEHRA                                           ","2014-11-04 20:19:24.187"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","dhaan ki baali dhabbe ho rahe hain","propiconazole 200 ml/acre prayog karen","UTTAR PRADESH","MIRZAPUR","HALLIA                                            ","2014-11-05 08:46:45.447"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki janakri de","aaj kal mausam saaf hai","UTTAR PRADESH","MIRZAPUR","PATEHRA                                           ","2014-11-05 11:42:04.103"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","TAMATAR KI PATTI SIKUD RAHI HAI","Mancozeb 75% WP@400-600 gm/acre","UTTAR PRADESH","MIRZAPUR","RAJGARH                                           ","2014-11-05 13:52:51.987"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","AAM ME PILA PAN HAI","COPEROXICLORAID 2 GRAM /LITER OF WATER","UTTAR PRADESH","MIRZAPUR","NARAINPUR                                         ","2014-11-05 14:49:35.383"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tamatar ki patti sikud rahi hai","2 mili metasystox / litre pani me ghol banakar spray kare","UTTAR PRADESH","MIRZAPUR","SHIKHAR                                           ","2014-11-06 08:47:14.350"
"RABI","HORTICULTURE","Fruits","Banana","Seeds and Planting Material","kela  ka paudha kaha milega","jila udhan  bibhag se samperk kare","UTTAR PRADESH","MIRZAPUR","RAJGARH                                           ","2014-11-06 11:27:21.413"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","seed rate of wheat","100 kg seed of wheat /hecter","UTTAR PRADESH","MIRZAPUR","RAJGARH                                           ","2014-11-06 14:17:57.437"
"RABI","HORTICULTURE","Vegetables","Onion","Nursery Management","onion ki nursery dalna chahte hai","pyaj ki nursry dalne kie bare me jankari di gayi hai","UTTAR PRADESH","MIRZAPUR","LALGANJ                                           ","2014-11-06 14:18:29.447"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Fungas disease in Brinjal","Hexaconazole 5 EC  ,1.5 ml dava ko / liter pani me mela karke  spary kare","UTTAR PRADESH","MIRZAPUR","PAHARI                                            ","2014-11-06 14:20:25.340"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","Weather condition of forcast","Clean weather condition","UTTAR PRADESH","MIRZAPUR","PATEHRA                                           ","2014-11-06 14:43:51.707"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tamatar me fal ban rahe hai kya sichai kar sakte hai","tamatar me halki sichai kar de","UTTAR PRADESH","MIRZAPUR","SHIKHAR                                           ","2014-11-06 17:42:23.653"
"RABI","HORTICULTURE","Vegetables","Potato","Nutrient Management","aalu ka ped bahut kamjor hai kya kare","(AISHWARYA GRANULES) Aminoacids (16) 10%  @ 8 kilogram/acre ki dar se prayog kare","UTTAR PRADESH","MIRZAPUR","NARAINPUR                                         ","2014-11-06 18:20:39.340"
"JAYAD","AGRICULTURE","Cereals","Wheat","Cultural Practices","ASKING ABOUT WHEAT CROP","ANSWER GIVEN IN DETAIL","UTTAR PRADESH","MIRZAPUR","PATEHRA                                           ","2014-11-06 18:42:16.493"
"JAYAD","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","LEAF BLIGHT OF GARLIC","SPRAY CARBENDAZIM @ 1 GM./LIT.OF WATER","UTTAR PRADESH","MIRZAPUR","RAJGARH                                           ","2014-11-06 19:46:42.450"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","any contact number of animal helpline","18001805141","UTTAR PRADESH","MIRZAPUR","RAJGARH                                           ","2014-11-06 20:04:50.793"
"KHARIF","HORTICULTURE","Vegetables","Onion","Cultural Practices","onion me fungus laga hein","PUSA HYBRID-1, ABHINSH , AVNESH","UTTAR PRADESH","MIRZAPUR","LALGANJ                                           ","2014-11-07 07:48:02.207"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhan me false sumat laga hai","coper oxy cchaloride + strptosiklin ka spray kare","UTTAR PRADESH","MIRZAPUR","LALGANJ                                           ","2014-11-07 08:43:51.227"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","DHAN ME KIDA LAGA HAI","CARBOFURAN@10.0 KG/ACDE DALEN","UTTAR PRADESH","MIRZAPUR","PAHARI                                            ","2014-11-07 09:02:02.697"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","matar ki kheti ke bare me jankari chahiye","matar ki kheti ke bare me jankari di gai","UTTAR PRADESH","MIRZAPUR","HALLIA                                            ","2014-11-07 09:40:27.133"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","MAUSAM KI JANKARI CHAHIY","MAUSAM SAPH RAHEGA BARISH NAHI HOGI","UTTAR PRADESH","MIRZAPUR","NARAINPUR                                         ","2014-11-07 09:44:01.863"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","PATTI SIKUD RHI HAI KYA KARE","DAIMETHOATE 30%EC KA PRYOG KARE","UTTAR PRADESH","MIRZAPUR","SHIKHAR                                           ","2014-11-07 10:52:50.897"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Variety of Wheat","late variety of wheat ,PBW-502,PBW-343","UTTAR PRADESH","MIRZAPUR","CHHANVEY                                          ","2014-11-07 12:26:31.877"
