"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","FISHERIES","Inland","Others","Water Testing for Fish Production","machali ki samsya hai","machali ki jankari ke lie- 18001805661 pr fon kre","UTTAR PRADESH","PILIBHIT","LALAURIKHERA                                      ","2014-11-01 16:19:16.313"
"RABI","FISHERIES","Inland","Others","Water Testing for Fish Production","machali ki samsya hai","machali ki jankari ke lie- 18001805661 pr fon kre","UTTAR PRADESH","PILIBHIT","LALAURIKHERA                                      ","2014-11-01 16:19:16.763"
"RABI","FISHERIES","Inland","Others","Water Testing for Fish Production","machali ki samsya hai","machali ki jankari ke lie- 18001805661 pr fon kre","UTTAR PRADESH","PILIBHIT","LALAURIKHERA                                      ","2014-11-01 16:19:17.157"
"RABI","FISHERIES","Inland","Others","Water Testing for Fish Production","machali ki samsya hai","machali ki jankari ke lie- 18001805661 pr fon kre","UTTAR PRADESH","PILIBHIT","LALAURIKHERA                                      ","2014-11-01 16:19:17.240"
"RABI","FISHERIES","Inland","Others","Water Testing for Fish Production","machali ki samsya hai","machali ki jankari ke lie- 18001805661 pr fon kre","UTTAR PRADESH","PILIBHIT","LALAURIKHERA                                      ","2014-11-01 16:19:17.317"
"RABI","FISHERIES","Inland","Others","Water Testing for Fish Production","machali ki samsya hai","machali ki jankari ke lie- 18001805661 pr fon kre","UTTAR PRADESH","PILIBHIT","LALAURIKHERA                                      ","2014-11-01 16:19:17.697"
"RABI","AGRICULTURE","Oilseeds","Indian rapeseed and mustard (yellow sarson)","Seeds","PILI SARSON KI VARIETY","BASANTI","UTTAR PRADESH","PILIBHIT","BARKHERA                                          ","2014-11-01 19:50:58.383"
"RABI","HORTICULTURE","Plantation Crops","Poplar","	Plant Protection	","poplar ki pattiyo me chend hai","Carbofuran 3%CG  12 kg/acre  ka prayog kare.","UTTAR PRADESH","PILIBHIT","BILSANDA                                          ","2014-11-02 12:07:32.343"
"RABI","HORTICULTURE","Plantation Crops","Eculeptous","Fertilizer Use and Availability","liptash ke paudhe peeli ho rahe hai","liptash ke paudho me urea dale","UTTAR PRADESH","PILIBHIT","BISALPUR                                          ","2014-11-02 12:25:46.440"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","variety of wheat","variety of wheat ,DVW-39,PBW-343,PBW-502","UTTAR PRADESH","PILIBHIT","PURANPUR                                          ","2014-11-02 16:34:08.457"
