"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fodder Crops","rajka bajri.","	Plant Protection	","mosam ke bare batye","mosam saf rhe ge","UTTAR PRADESH","PRATAPGARH","KALAKANKAR                                        ","2014-11-01 09:24:58.680"
"KHARIF","ANIMAL HUSBANDRY","Animal","Others","Market Information","mousam ki jankari de","aapke yaha pure hafte halke baadal chaye rahenge lekin barsat ki koi sambhawana nahi hai","UTTAR PRADESH","PRATAPGARH","ASPUR DEOSARA                                     ","2014-11-01 09:37:25.853"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ke baare me bataye","baarish ki koi sambhaavna nahi hai halke baadal chaaye rahenge","UTTAR PRADESH","PRATAPGARH","SANDWA CHANDRIKA                                  ","2014-11-01 10:21:29.720"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankri chahiye","aaj kal me bearish nahi hai","UTTAR PRADESH","PRATAPGARH","KUNDA                                             ","2014-11-01 11:21:06.940"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","	Plant Protection	","varity of wheat","pvw343 pvw443 narendra gehu1012","UTTAR PRADESH","PRATAPGARH","BABA BELKHARNATH DHAM                             ","2014-11-01 11:23:56.090"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","gehu ki buvai karni hai","gehu ki prajati -HD-2967,HD-3086,DBW-17,DBW-550,PBW-343,PBW-443","UTTAR PRADESH","PRATAPGARH","BABAGANJ                                          ","2014-11-01 15:20:08.203"
"RABI","HORTICULTURE","Fruits","Papaya","Cultural Practices","papya ki plantation kab karen","kisan bhai july-august me karen","UTTAR PRADESH","PRATAPGARH","KUNDA                                             ","2014-11-01 16:57:39.023"
"RABI","AGRICULTURE","Others","Others","Weather","MAAUSAM KI JANAKRI CHAHIYE","AAJ KAL ME BAARISH NAHI HAI","UTTAR PRADESH","PRATAPGARH","LAKSHAMANPUR                                      ","2014-11-01 17:00:12.000"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki kaun si kism boye","gehu ki  unnatishil kism: pbw-343, dbw-17, up-2382,pbw-443, pbw-550,pbw-502","UTTAR PRADESH","PRATAPGARH","SHIVGARH                                          ","2014-11-01 17:31:12.113"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki verities","pbw-343,up-2338","UTTAR PRADESH","PRATAPGARH","BABA BELKHARNATH DHAM                             ","2014-11-01 18:10:59.010"
