"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","gehu me potas kitna de","60 kg gram potas/heckter dale","UTTAR PRADESH","SAHARANPUR","GANGOH                                            ","2014-11-01 10:11:30.957"
"JAYAD","HORTICULTURE","Vegetables","Potato","Cultural Practices","ASKING ABOUT POTATO CROP","ANSWER GIVEN IN DETAIL","UTTAR PRADESH","SAHARANPUR","NAGAL                                             ","2014-11-01 10:43:02.907"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","VARIETY OF WHEAT","PBW 550 ,  PBW 343 , DBW - 17 , PBW-502","UTTAR PRADESH","SAHARANPUR","NAKUR                                             ","2014-11-01 10:48:36.300"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","wheat kee jankaree de","gaihu beej upcharit kr ke buvai kere","UTTAR PRADESH","SAHARANPUR","NAGAL                                             ","2014-11-01 10:57:26.227"
"KHARIF","AGRICULTURE","Cereals","Wheat","Varieties","GEHU KI PRAJATI KI JAANKARI","PBW-660.WH-1105 ,KA KHETI KARE","UTTAR PRADESH","SAHARANPUR","NAGAL                                             ","2014-11-01 12:06:14.127"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","mosam ke bare","badal rhe ge","UTTAR PRADESH","SAHARANPUR","MUZAFFARABAD                                      ","2014-11-01 12:26:31.893"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","VARIETY OF WHEAT","PBW 550 ,  PBW 343 , DBW - 17 , PBW-502","UTTAR PRADESH","SAHARANPUR","MUZAFFARABAD                                      ","2014-11-01 12:48:10.320"
"RABI","AGRICULTURE","Cereals","Wheat","Weed Management","VARIETY OF WHEAT","dbw-17,wh-711","UTTAR PRADESH","SAHARANPUR","NAKUR                                             ","2014-11-01 13:09:03.567"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","	Plant Protection	","eculeptoue ki ropai kab karni hai","jun-julay me ropai kare","UTTAR PRADESH","SAHARANPUR","NAKUR                                             ","2014-11-01 14:42:21.577"
"RABI","AGRICULTURE","Others","Others","Fertilizer Use and Availability","rasaynik khad ka prayog nahi karan hai","jaibik khad ka prayog kare","UTTAR PRADESH","SAHARANPUR","SADAULI QADEEM                                    ","2014-11-01 14:45:23.973"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ke unnati beej ke bare me bataye","gehu ki  unnatishil kism: pbw-343, dbw-17, up-2382,pbw-443, pbw-550,pbw-502,","UTTAR PRADESH","SAHARANPUR","BALLIA KHERI                                      ","2014-11-01 16:34:18.380"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehun ki variety","eh di 3086","UTTAR PRADESH","SAHARANPUR","RAMPUR MANIHARAN                                  ","2014-11-01 16:48:38.687"
"RABI","AGRICULTURE","Cereals","Wheat","Government Schemes","pasu sambandhi jankari","pashu sambandhi jankari ke liye  18001805141 par call kare","UTTAR PRADESH","SAHARANPUR","BALLIA KHERI                                      ","2014-11-01 17:00:11.647"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","gehu ki jankari","gehu ki prajati -HD-2967,HD-3086,DBW-17,DBW-550,PBW-343,PBW-443","UTTAR PRADESH","SAHARANPUR","RAMPUR MANIHARAN                                  ","2014-11-01 19:55:44.203"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","genhu ki prajati bataye","genhu ki prajati – HD-2967, DBW-17, k-307(shatabdi),PBW-343,373,550, SONALIKA","UTTAR PRADESH","SAHARANPUR","GANGOH                                            ","2014-11-02 12:17:52.990"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki prajaati chaahiye","pbw 175 , 502 , 550","UTTAR PRADESH","SAHARANPUR","NAKUR                                             ","2014-11-02 13:02:27.300"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","gehu ki variety bataye","????? ?? ??????? - UP -2338 , ?? ?? ????? -343 ,590 ,550,?? ?? ????? -17,  HD,-3086 (???? ?????),HD,- 3043 (???? ??????),HD,- 2967(???? ????? ????),HD,- 2894(???? ????-109) ?? ????? ???","UTTAR PRADESH","SAHARANPUR","NANAUTA                                           ","2014-11-02 13:37:17.197"
"RABI","AGRICULTURE","Others","Others","Market Information","mandi ki jankari chahie?","mandi ki seva laga di","UTTAR PRADESH","SAHARANPUR","BALLIA KHERI                                      ","2014-11-02 16:44:12.650"
"RABI","AGRICULTURE","Oilseeds","Karan Rai","	Plant Protection	","RAI KI PRAJATI BATAYE","RAI KI PRAJATI - KISAN BHAI VARUNA , BARDAN,ROHINI,PUSA BOLD","UTTAR PRADESH","SAHARANPUR","NAGAL                                             ","2014-11-02 17:56:49.443"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","wheat ki unnat prajati bataye","HD-2967, DBW-17,pbw-502,550,343","UTTAR PRADESH","SAHARANPUR","NAKUR                                             ","2014-11-02 18:05:07.703"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","gehu ki jankari de","gehu ki vistarit jankari di gai","UTTAR PRADESH","SAHARANPUR","GANGOH                                            ","2014-11-02 21:05:36.613"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu ki varaity bataye","pbw 343, pbw 443 , dbw 17 ,up 2338","UTTAR PRADESH","SAHARANPUR","NAGAL                                             ","2014-11-03 11:21:25.887"
"RABI","HORTICULTURE","Fruits","Aonla","Post Harvest Management (Cleaning, Grading, Packaging, Food Processing, Cool Chain etc.)","Aonla  ke murabba ki jankari ke liye  jankari","Aonla  ke murabba banana ki jankari di gayi hai","UTTAR PRADESH","SAHARANPUR","NAGAL                                             ","2014-11-03 12:42:21.630"
"KHARIF","HORTICULTURE","Vegetables","Butter Pea (Vegetable)","	Plant Protection	","KIDA LAGA HAI","QUINALPHOS@2.0 ML/LI WATER SPRAY KAREN","UTTAR PRADESH","SAHARANPUR","SADAULI QADEEM                                    ","2014-11-03 14:38:40.037"
"JAYAD","AGRICULTURE","Cereals","Wheat","Cultural Practices","VARITIES OF WHEAT","ANSWER GIVEN IN DETAIL","UTTAR PRADESH","SAHARANPUR","PUWARKA                                           ","2014-11-03 14:59:53.160"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","gehu ki jankari de","gehu ki vistarit jankari di gai","UTTAR PRADESH","SAHARANPUR","GANGOH                                            ","2014-11-03 15:05:25.043"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","MOSAM KE BARE BATYE","BADAL RHE GE","UTTAR PRADESH","SAHARANPUR","SARSAWAN                                          ","2014-11-03 15:47:00.213"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JANAKRI DE","AAJ KAL MAUSAM SAAF HAI","UTTAR PRADESH","SAHARANPUR","SARSAWAN                                          ","2014-11-03 15:56:07.817"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","messege suvidha laga dijiye","messege suvidha laga diya gaya hai","UTTAR PRADESH","SAHARANPUR","BALLIA KHERI                                      ","2014-11-03 15:58:07.530"
"RABI","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","Lahsun mai rog laga hai","Carbandazim ka spray kare","UTTAR PRADESH","SAHARANPUR","NAGAL                                             ","2014-11-03 20:03:09.497"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","WEED CONTROL IN WHEAT CROP AS PRE-EMERSENCE..?","KISAN BHAI PENDIMETHYLIN@3.3LIT./HAC+1000LIT.WATER-BACK SPRAY.","UTTAR PRADESH","SAHARANPUR","BALLIA KHERI                                      ","2014-11-03 20:33:07.373"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kisme bataye","gehu ki kisme- DVW-17,PBW-502,UP-2382,PBW-343,","UTTAR PRADESH","SAHARANPUR","PUWARKA                                           ","2014-11-04 07:07:25.947"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","hd-2967 variety ki yield ?","52 q/h","UTTAR PRADESH","SAHARANPUR","DEOBAND                                           ","2014-11-04 07:44:35.733"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","some varieties of wheat","pbw-343,550, dbw-17","UTTAR PRADESH","SAHARANPUR","NAKUR                                             ","2014-11-04 10:20:40.380"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","genhu ki prajati bataye","genhu ki prajati – HD-2967, DBW-17, k-307(shatabdi),PBW-343,373,550, SONALIKA","UTTAR PRADESH","SAHARANPUR","NANAUTA                                           ","2014-11-04 10:39:07.773"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","wheat variety ?","pbw-502,pbw-343,","UTTAR PRADESH","SAHARANPUR","MUZAFFARABAD                                      ","2014-11-04 12:21:24.017"
"RABI","HORTICULTURE","Vegetables","Brinjal","Cultural Practices","Variety  of Brinjal","Variety of Brinjal-Pusa Uttam ,Pusa upkar","UTTAR PRADESH","SAHARANPUR","MUZAFFARABAD                                      ","2014-11-04 12:53:07.273"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Gehun kee prajatiyan batayen","variety of wheat-PBW-343,DBW-17,WH-1105,UP-2338,UP-2382","UTTAR PRADESH","SAHARANPUR","GANGOH                                            ","2014-11-04 14:04:33.020"
