"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki kisme bataye","gehu ki kisme- pbw-343, dvw-17,","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2014-11-01 12:58:44.400"
"RABI","AGRICULTURE","Others","Others","Weather","mosam ki jankari","kisan bhai apake yahan 6 novembar tak mosam saf hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2014-11-01 17:35:10.033"
"RABI","AGRICULTURE","Others","Others","Market Information","mandi bhaw ki jankari lagwana ha","kisan bhai aap ke number par mandi bhaw ki jankari laga di gyi","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Pawasa","2014-11-03 11:00:54.150"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","mausam ki jankari chahiy","mausam saph rahega barish nahi hogi","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2014-11-03 11:05:50.037"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","pusa basmati ka rate","2500-2600 Rs./quintal","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Baniyakheda","2014-11-03 14:51:32.380"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Leaf curl disease in potato","Metasystox  400 Ml dwa ko 250 liter pani me mila krke /Acre spary kre","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Gunnor","2014-11-04 07:46:49.320"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bataye","????? ?? ??????? - UP -2338 , ?? ?? ????? -343 ,590 ,550,?? ?? ????? -17,  HD,-3086 (???? ?????),HD,- 3043 (???? ??????),HD,- 2967(???? ????? ????),HD,- 2894(???? ????-109) ?? ????? ???","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2014-11-04 09:08:52.903"
"RABI","HORTICULTURE","Vegetables","Carrot","Cultural Practices","carrot ki jankari ke liye","pusa meghali ki buvai kare","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2014-11-04 10:23:37.093"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","soil test ki jankari ke liye","soil test ke liye block  par samparak kare","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Asmoli","2014-11-04 11:51:13.750"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","aaloo  ki jankari ke liye","Aaloo ki jankari di gayi hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Baniyakheda","2014-11-05 11:14:38.423"
"RABI","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","aalu ki pattiyon me keede hain aur dhabbe hain","Dimethoate 30 EC 2 ml + copper oxy cloride 2 gram/litre paani me milaakar spray karen","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Pawasa","2014-11-06 12:10:41.683"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","SMS KI SUVIDHA LAGWANI HAI","AAPKE NUMBER PAR SMS KI SUVIDHA LAGA DI GAI HAI","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2014-11-07 07:13:59.550"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehun ki vareity","pi.bi.dablu 343,di.bi.dablu -17","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Baniyakheda","2014-11-07 15:30:39.310"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","late variety of wheat","pbw-373, dbw-14","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2014-11-08 06:57:16.380"
"RABI","AGRICULTURE","Others","Others","Cultural Practices","SMS JO AAYE HAI WO SAMJH ME NAHI AA RHE HAI","BAT KARAYI GYI","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2014-11-08 09:50:09.513"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","potato me weeds ki samasya hai","kisan bhai paraquat dichloride 200 gram ya metribuzin-10 gram/ekd ka spray kare","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Asmoli","2014-11-08 11:37:15.920"
