"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Tomato","Cultural Practices","planting space for tomato","line to line 90 cm aur plant to plant space 75 cm","UTTAR PRADESH","SANT KABIR NAGAR","SANTHA                                            ","2014-11-01 09:54:20.663"
"RABI","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","SANT KABIR NAGAR","NATH NAGAR                                        ","2014-11-02 14:59:36.320"
"RABI","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","Cultural Practices","sarso me sichai kab kare","sarso me sichai bone ke  30-35 din bad kare","UTTAR PRADESH","SANT KABIR NAGAR","NATH NAGAR                                        ","2014-11-02 16:54:50.450"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","GEHUN KI PRAJATI BATAYEN","DBW17, PBW 550, PBW 343, PBW372 PRAJATIYAN UGAYEN","UTTAR PRADESH","SANT KABIR NAGAR","KHALILABAD                                        ","2014-11-03 13:28:07.720"
"RABI","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","SANT KABIR NAGAR","NATH NAGAR                                        ","2014-11-03 13:59:10.750"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","some varieties of wheat","pbw-343, pbw-550, dbw-17","UTTAR PRADESH","SANT KABIR NAGAR","KHALILABAD                                        ","2014-11-03 14:57:44.897"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","sarson ki pili prajati batayen","pitamvari prajati ugayen","UTTAR PRADESH","SANT KABIR NAGAR","KHALILABAD                                        ","2014-11-04 10:27:16.663"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","WHEAT VARIETY..?","PBW-343,DBW-17,UP-2382,UP-2338,K-9107[DEVA]","UTTAR PRADESH","SANT KABIR NAGAR","BAGHAULI                                          ","2014-11-04 20:46:09.743"
"RABI","AGRICULTURE","Pulses","Rajmash Bean","Cultural Practices","rajama ki kheti ki jankari ke liye","arka komal ki buvai kare","UTTAR PRADESH","SANT KABIR NAGAR","NATH NAGAR                                        ","2014-11-05 09:46:40.650"
"KHARIF","AGRICULTURE","Cereals","Wheat","Cultural Practices","WHEAT KI VARIETY ki jankri","DBW-17, PBW-343, PBW-443, PBW-550","UTTAR PRADESH","SANT KABIR NAGAR","MEHDAWAL                                          ","2014-11-05 11:42:40.467"
"RABI","AGRICULTURE","Others","Others","Weather","Maosm ki jankari de","badal rhege baris ki koi sambhavna nhi hai","UTTAR PRADESH","SANT KABIR NAGAR","BELHAR KALA                                       ","2014-11-05 14:34:38.287"
"JAYAD","HORTICULTURE","Vegetables","Onion","Cultural Practices","VARITIES OF ONION","VARITIES ARE PUSA RED,KALYANPUR & NASIK RED","UTTAR PRADESH","SANT KABIR NAGAR","HAINSAR BAZAR                                     ","2014-11-05 18:28:59.700"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","gehu ki variety","pbw-343.550,502,154,","UTTAR PRADESH","SANT KABIR NAGAR","SEMARIYAWAN                                       ","2014-11-05 18:47:44.167"
