"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JAAMNKARI","MAUSAM SAAF HAI","UTTAR PRADESH","SHAHJAHANPUR","KANTH                                             ","2014-11-01 09:10:50.037"
"KHARIF","AGRICULTURE","Pulses","Faba Bean (Horse Bean/windsor Bean)","	Plant Protection	","mosam ke  bare batye","badal rhe ge","UTTAR PRADESH","SHAHJAHANPUR","KHUTAR                                            ","2014-11-01 09:21:07.190"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JAAN KARI","MAUSAM SAAF HAI","UTTAR PRADESH","SHAHJAHANPUR","MIRZAPUR                                          ","2014-11-01 10:22:35.110"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari chahie","6 novmber ta mausam saf rahega","UTTAR PRADESH","SHAHJAHANPUR","NIGOHI                                            ","2014-11-01 13:09:03.813"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Livestock Products Processing and Packaging","pasu ke bare me janna hai","1800-180-5141 per call kare","UTTAR PRADESH","SHAHJAHANPUR","KANTH                                             ","2014-11-01 13:15:23.343"
"RABI","AGRICULTURE","Others","Others","Weather","MAUSAM KI JAAN KARI","MAUSAM SAAF HAI","UTTAR PRADESH","SHAHJAHANPUR","POWAYAN                                           ","2014-11-01 13:25:44.873"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","sarso me rogr ki samasya hai","Monocrotophos 36% SL,2 ml dava  and,  Carbendazim 12% + Mancozeb 63% WP,3 gram dava /liter pani me spray kare","UTTAR PRADESH","SHAHJAHANPUR","KANTH                                             ","2014-11-01 16:56:12.003"
"KHARIF","AGRICULTURE","Cereals","Wheat","Seeds","some varieties of wheat","pbw-550,pbw-343,dbw-17","UTTAR PRADESH","SHAHJAHANPUR","MIRZAPUR                                          ","2014-11-01 18:26:37.200"
"RABI","AGRICULTURE","Others","Others","Weather","Mausam Ki Jankari Leni Hai","Kisan bhai aapke yaha 2 november se 7 november tak badal bane rhene ki sambhawana hai","UTTAR PRADESH","SHAHJAHANPUR","BANDA                                             ","2014-11-02 11:51:24.457"
"RABI","AGRICULTURE","Others","Others","Fertilizer Use and Availability","Siol fertilityki jankari leni hai","All information given","UTTAR PRADESH","SHAHJAHANPUR","KANTH                                             ","2014-11-02 11:57:04.190"
