"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER INFORMATION","CLEAR WEATHER","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-11-01 10:19:56.547"
"JAYAD","AGRICULTURE","Others","Others","Weather","ASKING ABOUT WEATHER INFORMATION","CLEAR WEATHER","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-11-01 10:26:52.320"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","Weather","mausam ki jankaRI","saf rahega","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-11-01 10:47:21.313"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","WEATHER INFORMATION DE","baris kee sambhavana nahi he","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-11-01 11:20:31.137"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","gehu ke khate me deemak ki samasya hai","fatera 4 kg /ekar buvai ke samay dale","UTTAR PRADESH","SHIVASTI","SIRSIYA                                           ","2014-11-01 12:33:38.743"
"RABI","AGRICULTURE","Cereals","Barley (Jau)","Weather","varity of wheat","hd2888","UTTAR PRADESH","SHIVASTI","SIRSIYA                                           ","2014-11-01 13:43:58.223"
"RABI","AGRICULTURE","Cereals","Wheat","Cultural Practices","gehu ki unnati kism bataye","gehu ki  unnatishil kism: pbw-343, dbw-17, up-2382,pbw-443","UTTAR PRADESH","SHIVASTI","EKONA                                             ","2014-11-01 15:12:19.877"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bataye","????? ?? ??????? - UP -2338 , ?? ?? ????? -343 ,590 ,550,?? ?? ????? -17,  HD,-3086 (???? ?????),HD,- 3043 (???? ??????),HD,- 2967(???? ????? ????),HD,- 2894(???? ????-109) ?? ????? ???","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-11-01 17:56:23.433"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Variety of wheat","Variety of wheat, BPW -502","UTTAR PRADESH","SHIVASTI","HARIHARPUR RANI                                   ","2014-11-01 19:35:48.210"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Deemak cantrol in gram","Cartap Hydrochloride 4G  10 kg /Acre","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-11-02 13:02:26.310"
"RABI","AGRICULTURE","Cereals","Wheat","Seeds","gehu ki kisme bataye","gehu ki kisme- dvw-17,pbw-502,up-2382,pbw-343,","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-11-02 14:42:49.173"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","Deemak cantrol in gram","Cartap Hydrochloride 4G, 10 kg /Acar","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-11-02 15:59:53.757"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","gehu ki variety bataye","????? ?? ??????? - UP -2338 , ?? ?? ????? -343 ,590 ,550,?? ?? ????? -17,  HD,-3086 (???? ?????),HD,- 3043 (???? ??????),HD,- 2967(???? ????? ????),HD,- 2894(???? ????-109) ?? ????? ???","UTTAR PRADESH","SHIVASTI","SIRSIYA                                           ","2014-11-02 17:29:56.750"
"RABI","AGRICULTURE","Cereals","Wheat","Weather","gehu ki unnat prajati batae?","pbw-343,pbw-550,dbw-17 up-2338","UTTAR PRADESH","SHIVASTI","HARIHARPUR RANI                                   ","2014-11-03 12:33:47.040"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","wheta ki prajati bataye","DBW-17,HD-2967,,PBW-550,502","UTTAR PRADESH","SHIVASTI","EKONA                                             ","2014-11-03 13:58:55.890"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","wheat me fertilizer","apply n:p:k 120:60:40 kg /hac","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-11-03 14:52:33.453"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","deemak ke liye kya dale","chlorpyriphos dawa 2 liter/acre spray kare","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-11-04 06:07:23.740"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","chane me deemak lagi hai","apply cartop hydrochloride  4 G  10  kg/acre","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-11-04 06:22:15.153"
"RABI","AGRICULTURE","Others","Others","Weather","mausam ki jankari","barish ki sambhabanye nhi hai","UTTAR PRADESH","SHIVASTI","SIRSIYA                                           ","2014-11-04 06:27:17.113"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki variety bataye","????? ?? ??????? - UP -2338 , ?? ?? ????? -343 ,590 ,550,?? ?? ????? -17,  HD,-3086 (???? ?????),HD,- 3043 (???? ??????),HD,- 2967(???? ????? ????),HD,- 2894(???? ????-109) ?? ????? ???","UTTAR PRADESH","SHIVASTI","EKONA                                             ","2014-11-04 06:36:28.463"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","sms kee suvidha laga de","suvidha laga dee ja rahee he","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-11-04 17:44:06.943"
"RABI","AGRICULTURE","Cereals","Wheat","Agriculture Mechanization","GEHU KI PARJATI","GEHU KI PARJATI - DBW 17 , PBW 550 , PBW 502","UTTAR PRADESH","SHIVASTI","EKONA                                             ","2014-11-04 19:58:27.083"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","GEHU KI VARIETY BATAYE","????? ?? ??????? - UP -2338 , ?? ?? ????? -343 ,590 ,550,?? ?? ????? -17,  HD,-3086 (???? ?????),HD,- 3043 (???? ??????),HD,- 2967(???? ????? ????),HD,- 2894(???? ????-109) ?? ????? ???","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-11-05 12:07:49.930"
"RABI","HORTICULTURE","Vegetables","Tomato","Cultural Practices","weed control of tomato.","manual weeding kare.","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-11-06 18:01:01.700"
"RABI","AGRICULTURE","Cereals","Wheat","Fertilizer Use and Availability","fertilizer dose of wheat","Apply urea 85 kilogram, DAP 52 kilogram ,mop 26 kilogram per ekad","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-11-07 06:22:02.667"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","Gehun kee prajatiyan Batayen","Gehun kee prajatiyan-WH-1105,PBW-343,UP-2338,UP-2382,PBW-502,DBW-17,PBW-550","UTTAR PRADESH","SHIVASTI","HARIHARPUR RANI                                   ","2014-11-07 11:54:12.283"
"JAYAD","FISHERIES","Marine","Other","Deep Sea Fishing and Processing","varity of wheat","pvw343 pvw550 pvw443 dbw17","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-11-07 12:12:06.940"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki jankari de","gehu ki vistarit jankari di gai","UTTAR PRADESH","SHIVASTI","EKONA                                             ","2014-11-07 14:22:36.790"
"RABI","AGRICULTURE","Cereals","Wheat","Varieties","gehu ki kism bta de","gehu ki kism- DBW-17,PBW-343,PBW550,502,PBW373,HD-2967","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-11-07 16:15:47.793"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","gehu ki kheti ke ke bare me bataye","gehu ki kheti ke ke bare me puri jankari di  gayi","UTTAR PRADESH","SHIVASTI","SIRSIYA                                           ","2014-11-07 21:29:44.823"
"RABI","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","piyaj ki nusery kab lagaye -","15 oct-15 nov tak nursery dale","UTTAR PRADESH","SHIVASTI","HARIHARPUR RANI                                   ","2014-11-08 07:22:21.133"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","DAIRY KHOLNIHAI KOI YOJNA HAI","contact your block vetrinary officer or 18001805141","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-11-08 12:12:23.697"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Field Preparation	","sarso ki jankari de","sarso ki vistarit jankari di gai","UTTAR PRADESH","SHIVASTI","SIRSIYA                                           ","2014-11-08 14:42:46.437"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","pasu sambandhi  jankari","pasu sambandhi  jankari  di gai","UTTAR PRADESH","SHIVASTI","GILAULA                                           ","2014-11-08 15:27:47.993"
"RABI","AGRICULTURE","Cereals","Wheat","Nutrient Management","gehu  me kitana khad dale","DAP-52KG+  potash -25 kg + urea  20 kg + danedr salpher   8-10 kg /acre  buwai ke samay daale","UTTAR PRADESH","SHIVASTI","EKONA                                             ","2014-11-08 17:40:45.563"
"RABI","AGRICULTURE","Others","Others","Agriculture Mechanization","d.a.p ke parikshan ke bare me jankari","chune ke sath milaker rgde to amoniya ki gandh ayegi","UTTAR PRADESH","SHIVASTI","JAMUNAHA                                          ","2014-11-08 17:58:53.487"
"RABI","HORTICULTURE","Fruits","Papaya","Seeds and Planting Material","papaya ki prajati","papaya ki prajati -pusa nnaha ,pusa delisiyas,kurag hani due,vasigatan,pusa dwarf pusa majesti,pant papita 1,2,3,4","UTTAR PRADESH","SHIVASTI","HARIHARPUR RANI                                   ","2014-11-09 08:17:50.373"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","mirch me samsya hi","Carbendazim 12% + Mancozeb 63% WP 2 gm /liter ghol bana ke jadon ko sodhit karein","UTTAR PRADESH","SHIVASTI","HARIHARPUR RANI                                   ","2014-11-10 14:13:24.590"
